ENTLMT_RSN_CURR,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_N,TOTAL_N,PER_100K
Aged,Alabama,1,"Autauga County",1001,.,.,53.14437555358724
Aged,Alabama,1,"Baldwin County",1003,20,30834,64.86346241162353
Aged,Alabama,1,"Barbour County",1005,.,.,28.17695125387433
Aged,Alabama,1,"Bibb County",1007,.,.,47.82400765184123
Aged,Alabama,1,"Butler County",1013,.,.,64.72491909385113
Aged,Alabama,1,"Calhoun County",1015,11,16180,67.98516687268233
Aged,Alabama,1,"Chambers County",1017,.,.,77.53440589261484
Aged,Alabama,1,"Cherokee County",1019,.,.,23.53494939985879
Aged,Alabama,1,"Chilton County",1021,.,.,48.1811611659841
Aged,Alabama,1,"Choctaw County",1023,.,.,79.93605115907275
Aged,Alabama,1,"Cleburne County",1029,.,.,44.150110375275936
Aged,Alabama,1,"Coffee County",1031,.,.,40.955631399317404
Aged,Alabama,1,"Colbert County",1033,.,.,22.048285745783268
Aged,Alabama,1,"Conecuh County",1035,.,.,46.8384074941452
Aged,Alabama,1,"Coosa County",1037,.,.,113.7009664582149
Aged,Alabama,1,"Covington County",1039,.,.,30.31221582297666
Aged,Alabama,1,"Crenshaw County",1041,.,.,196.078431372549
Aged,Alabama,1,"Cullman County",1043,.,.,16.859141869678833
Aged,Alabama,1,"Dale County",1045,.,.,103.78057820607859
Aged,Alabama,1,"Dallas County",1047,.,.,59.358923624851606
Aged,Alabama,1,"DeKalb County",1049,.,.,42.780748663101605
Aged,Alabama,1,"Elmore County",1051,.,.,52.50997689561017
Aged,Alabama,1,"Escambia County",1053,.,.,54.85463521667581
Aged,Alabama,1,"Etowah County",1055,.,.,47.017732401934445
Aged,Alabama,1,"Fayette County",1057,.,.,69.71070059254096
Aged,Alabama,1,"Geneva County",1061,.,.,44.82294935006723
Aged,Alabama,1,"Greene County",1063,.,.,218.34061135371178
Aged,Alabama,1,"Hale County",1065,.,.,43.15925766076823
Aged,Alabama,1,"Houston County",1069,11,14991,73.37735974918284
Aged,Alabama,1,"Jackson County",1071,.,.,23.084025854108955
Aged,Alabama,1,"Jefferson County",1073,113,58853,192.00380609314735
Aged,Alabama,1,"Lamar County",1075,.,.,76.80491551459293
Aged,Alabama,1,"Lauderdale County",1077,.,.,33.34889615153738
Aged,Alabama,1,"Lawrence County",1079,.,.,38.69969040247678
Aged,Alabama,1,"Lee County",1081,13,14941,87.0089016799411
Aged,Alabama,1,"Limestone County",1083,.,.,42.54232961796988
Aged,Alabama,1,"Macon County",1087,.,.,163.19869441044472
Aged,Alabama,1,"Madison County",1089,29,43643,66.4482276653759
Aged,Alabama,1,"Marengo County",1091,.,.,31.113876789047914
Aged,Alabama,1,"Marion County",1093,.,.,79.66540529774944
Aged,Alabama,1,"Marshall County",1095,.,.,73.77895824110963
Aged,Alabama,1,"Mobile County",1097,49,37314,131.31800396633972
Aged,Alabama,1,"Montgomery County",1101,32,22455,142.50723669561344
Aged,Alabama,1,"Morgan County",1103,11,17629,62.39718645413807
Aged,Alabama,1,"Perry County",1105,.,.,66.35700066357
Aged,Alabama,1,"Pickens County",1107,.,.,125.43116964565694
Aged,Alabama,1,"Pike County",1109,.,.,55.24861878453039
Aged,Alabama,1,"Russell County",1113,12,6297,190.56693663649355
Aged,Alabama,1,"St. Clair County",1115,.,.,34.18803418803419
Aged,Alabama,1,"Shelby County",1117,12,20417,58.774550619581724
Aged,Alabama,1,"Sumter County",1119,.,.,54.054054054054056
Aged,Alabama,1,"Talladega County",1121,.,.,68.65437426441741
Aged,Alabama,1,"Tallapoosa County",1123,.,.,42.62574595055413
Aged,Alabama,1,"Tuscaloosa County",1125,16,22186,72.11755160912287
Aged,Alabama,1,"Walker County",1127,.,.,67.99637352674524
Aged,Alabama,1,"Wilcox County",1131,.,.,114.67889908256882
Aged,Alabama,1,"Winston County",1133,.,.,50.658561296859176
Aged,Alaska,2,"Anchorage Borough",2020,33,29168,113.13768513439386
Aged,Alaska,2,"Bethel Census Area",2050,.,.,85.6898029134533
Aged,Alaska,2,"Denali Borough (created after 1990)",2068,.,.,462.96296296296293
Aged,Alaska,2,"Fairbanks North Star Borough",2090,.,.,55.16328331862312
Aged,Alaska,2,"Juneau Borough",2110,.,.,72.70964614638875
Aged,Alaska,2,"Kenai Peninsula Borough",2122,.,.,40.55561188279428
Aged,Alaska,2,,2158,.,.,238.09523809523813
