ENTLMT_RSN_CURR,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
Aged,Alabama,1,479,598084,80.08908447642806
Aged,Alaska,2,56,79884,70.10164738871364
Aged,Arizona,4,579,788969,73.38691380776685
Aged,Arkansas,5,205,415286,49.36357112929403
Aged,California,6,6133,3104369,197.56027714488837
Aged,Colorado,8,358,502560,71.23527539000318
Aged,Connecticut,9,558,400736,139.24379142378024
Aged,Delaware,10,341,163336,208.77210167997256
Aged,"District of Columbia",11,756,57312,1319.0954773869346
Aged,Florida,12,4993,2530886,197.28269072569844
Aged,Georgia,13,1533,982921,155.9637041023643
Aged,Hawaii,15,111,128947,86.0818786012858
Aged,Idaho,16,68,206615,32.911453669869076
Aged,Illinois,17,1557,1556384,100.0395789213973
Aged,Indiana,18,436,812440,53.66550145241495
Aged,Iowa,19,165,455903,36.191909243852315
Aged,Kansas,20,184,387884,47.43686256715925
Aged,Kentucky,21,312,545020,57.24560566584712
Aged,Louisiana,22,748,488103,153.2463434971717
Aged,Maine,23,157,194365,80.77585985131068
Aged,Maryland,24,2062,744260,277.05371778679495
Aged,Massachusetts,25,1413,830291,170.18129788230874
Aged,Michigan,26,857,1207674,70.96285918219651
Aged,Minnesota,27,204,496838,41.059661298048866
Aged,Mississippi,28,383,414051,92.50068228310039
Aged,Missouri,29,495,729521,67.85274173053277
Aged,Montana,30,45,171116,26.297949928703336
Aged,Nebraska,31,83,260584,31.85153347864796
Aged,Nevada,32,356,307921,115.6140698425895
Aged,"New Hampshire",33,115,214357,53.648819492715425
Aged,"New Jersey",34,1797,1090699,164.75672940013698
Aged,"New Mexico",35,226,243271,92.9005101306773
Aged,"New York",36,5852,1838428,318.3154303568048
Aged,"North Carolina",37,1431,1254166,114.09972842510481
Aged,"North Dakota",38,23,99278,23.167267672596143
Aged,Ohio,39,724,1278047,56.648933881148345
Aged,Oklahoma,40,268,499199,53.68600497997792
Aged,Oregon,41,283,430764,65.6972263234625
Aged,Pennsylvania,42,1610,1403276,114.73152822395595
Aged,"Rhode Island",44,99,106730,92.75742527874074
Aged,"South Carolina",45,759,735883,103.14139611867648
Aged,"South Dakota",46,25,132832,18.82076608046254
Aged,Tennessee,47,604,785725,76.87167902255878
Aged,Texas,48,2738,2508160,109.16368971676448
Aged,Utah,49,104,226521,45.911858061724956
Aged,Vermont,50,91,110002,82.72576862238869
Aged,Virginia,51,1146,1048012,109.34989294015718
Aged,Washington,53,588,808590,72.7191778280711
Aged,"West Virginia",54,112,256135,43.72694087102504
Aged,Wisconsin,55,318,651244,48.82962453396884
Aged,Wyoming,56,29,90675,31.982354562999724
Disabled,Alabama,1,1267,149859,845.4614003830267
Disabled,Alaska,2,79,11004,717.920756088695
Disabled,Arizona,4,700,88522,790.7638779060572
Disabled,Arkansas,5,527,99496,529.6695344536464
Disabled,California,6,8138,469540,1733.1856710823358
Disabled,Colorado,8,609,71891,847.1157724889069
Disabled,Connecticut,9,839,61679,1360.268486843172
Disabled,Delaware,10,383,21799,1756.9613285013074
Disabled,"District of Columbia",11,920,12195,7544.075440754408
Disabled,Florida,12,7266,337782,2151.0915324084763
Disabled,Georgia,13,3218,198922,1617.7195081489226
Disabled,Hawaii,15,99,14336,690.5691964285714
Disabled,Idaho,16,125,33313,375.22888962266984
Disabled,Illinois,17,2512,224951,1116.6876341958916
Disabled,Indiana,18,1066,152019,701.2281359566897
Disabled,Iowa,19,262,61700,424.6353322528363
Disabled,Kansas,20,342,57646,593.2762030323006
Disabled,Kentucky,21,672,149272,450.1848973685621
Disabled,Louisiana,22,1736,118556,1464.2869192617834
Disabled,Maine,23,231,47833,482.9301946355027
Disabled,Maryland,24,2927,106373,2751.638103654123
Disabled,Massachusetts,25,2196,169657,1294.376300417902
Disabled,Michigan,26,1595,258162,617.8291150517892
Disabled,Minnesota,27,686,98208,698.5174323884002
Disabled,Mississippi,28,1009,100390,1005.0801872696485
Disabled,Missouri,29,1287,155269,828.8840657182052
Disabled,Montana,30,100,21968,455.2075746540422
Disabled,Nebraska,31,157,31922,491.8238205626214
Disabled,Nevada,32,607,44654,1359.3407085591436
Disabled,"New Hampshire",33,182,38799,469.08425474883376
Disabled,"New Jersey",34,2012,145136,1386.2859662661228
Disabled,"New Mexico",35,331,47567,695.8605756091408
Disabled,"New York",36,6120,342279,1788.0150403618102
Disabled,"North Carolina",37,2814,234338,1200.8295709616025
Disabled,"North Dakota",38,44,12252,359.12504080966374
Disabled,Ohio,39,1462,254721,573.9613145362965
Disabled,Oklahoma,40,633,97304,650.5385184576173
Disabled,Oregon,41,496,74564,665.2003647872968
Disabled,Pennsylvania,42,2599,264799,981.4991748458265
Disabled,"Rhode Island",44,184,25651,717.3209621457254
Disabled,"South Carolina",45,1464,122228,1197.7615603626011
Disabled,"South Dakota",46,55,15479,355.3201111182893
