LIS,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_N,TOTAL_N,PER_100K
No,Alabama,1,"Autauga County",1001,.,.,68.90611541774332
No,Alabama,1,"Baldwin County",1003,22,30922,71.14675635469891
No,Alabama,1,"Barbour County",1005,.,.,99.96667777407531
No,Alabama,1,"Bibb County",1007,.,.,48.56726566294317
No,Alabama,1,"Blount County",1009,.,.,32.72786777941417
No,Alabama,1,"Butler County",1013,.,.,38.40245775729647
No,Alabama,1,"Calhoun County",1015,.,.,63.564708873633364
No,Alabama,1,"Chambers County",1017,.,.,43.88852315119596
No,Alabama,1,"Cherokee County",1019,.,.,24.888003982080637
No,Alabama,1,"Chilton County",1021,.,.,72.27174174897615
No,Alabama,1,"Choctaw County",1023,.,.,90.37505648441031
No,Alabama,1,"Clay County",1027,.,.,49.45598417408506
No,Alabama,1,"Cleburne County",1029,.,.,47.48338081671415
No,Alabama,1,"Coffee County",1031,.,.,28.92681515765114
No,Alabama,1,"Colbert County",1033,.,.,23.054755043227665
No,Alabama,1,"Conecuh County",1035,.,.,53.734551316496514
No,Alabama,1,"Coosa County",1037,.,.,61.652281134401974
No,Alabama,1,"Covington County",1039,.,.,17.152658662092623
No,Alabama,1,"Cullman County",1043,.,.,45.261156875169725
No,Alabama,1,"Dale County",1045,.,.,94.50307134981887
No,Alabama,1,"Dallas County",1047,.,.,77.39938080495357
No,Alabama,1,"DeKalb County",1049,.,.,71.76175098672408
No,Alabama,1,"Elmore County",1051,.,.,92.50693802035153
No,Alabama,1,"Escambia County",1053,.,.,80.08008008008008
No,Alabama,1,"Etowah County",1055,12,14254,84.18689490669286
No,Alabama,1,"Fayette County",1057,.,.,37.764350453172206
No,Alabama,1,"Franklin County",1059,.,.,24.888003982080637
No,Alabama,1,"Geneva County",1061,.,.,126.45422357106727
No,Alabama,1,"Greene County",1063,.,.,198.60973187686196
No,Alabama,1,"Hale County",1065,.,.,105.09721492380451
