RACE_NAME,SEX_NAME,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
Unknown,Male,Alabama,1,13,4014,323.86646736422523
Unknown,Male,Alaska,2,.,.,78.74015748031496
Unknown,Male,Arizona,4,16,9877,161.9925078465121
Unknown,Male,Arkansas,5,.,.,141.5929203539823
Unknown,Male,California,6,170,34662,490.4506375858288
Unknown,Male,Colorado,8,14,9291,150.68345710903026
Unknown,Male,Connecticut,9,14,8151,171.7580664949086
Unknown,Male,Delaware,10,12,2446,490.5968928863451
Unknown,Male,"District of Columbia",11,13,768,1692.7083333333333
Unknown,Male,Florida,12,140,33309,420.3068239815065
Unknown,Male,Georgia,13,53,10531,503.2760421612383
Unknown,Male,Hawaii,15,.,.,262.4671916010499
Unknown,Male,Idaho,16,.,.,141.49274849663954
Unknown,Male,Illinois,17,37,19373,190.98745676973107
Unknown,Male,Indiana,18,17,11566,146.98253501642748
Unknown,Male,Iowa,19,.,.,141.26510751844293
Unknown,Male,Kansas,20,.,.,106.95187165775401
Unknown,Male,Kentucky,21,14,5349,261.7311647036829
Unknown,Male,Louisiana,22,34,4973,683.6919364568671
Unknown,Male,Maine,23,.,.,151.1030522816561
Unknown,Male,Maryland,24,33,11166,295.5400322407308
Unknown,Male,Massachusetts,25,61,15975,381.84663536776213
Unknown,Male,Michigan,26,27,16507,163.56697158781125
Unknown,Male,Minnesota,27,14,7542,185.62715460090163
Unknown,Male,Mississippi,28,.,.,224.9212775528565
Unknown,Male,Missouri,29,25,7845,318.6743148502231
Unknown,Male,Montana,30,.,.,37.38317757009346
Unknown,Male,Nebraska,31,.,.,101.41987829614604
Unknown,Male,Nevada,32,.,.,205.09815411661296
Unknown,Male,"New Hampshire",33,.,.,66.51884700665188
Unknown,Male,"New Jersey",34,33,15248,216.42182581322143
Unknown,Male,"New Mexico",35,.,.,309.71738288811457
Unknown,Male,"New York",36,150,34485,434.97172683775557
Unknown,Male,"North Carolina",37,28,14279,196.09216331675887
