RACE_NAME,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
Unknown,Alabama,1,14,6024,232.40371845949537
Unknown,Alaska,2,.,.,51.89413596263622
Unknown,Arizona,4,21,14908,140.8639656560236
Unknown,Arkansas,5,.,.,118.42728564661299
Unknown,California,6,189,58276,324.31875900885444
Unknown,Colorado,8,17,13958,121.79395328843674
Unknown,Connecticut,9,18,13156,136.81970203709335
Unknown,Delaware,10,13,3847,337.92565635560175
Unknown,"District of Columbia",11,16,1521,1051.939513477975
Unknown,Florida,12,177,51485,343.7894532388074
Unknown,Georgia,13,60,15847,378.62055909635893
Unknown,Hawaii,15,.,.,158.39493136219642
Unknown,Idaho,16,.,.,97.70395701025892
Unknown,Illinois,17,39,29596,131.77456413028787
Unknown,Indiana,18,22,17150,128.27988338192418
Unknown,Iowa,19,11,9256,118.84183232497838
Unknown,Kansas,20,.,.,84.87763474324517
Unknown,Kentucky,21,14,7646,183.10227569971227
Unknown,Louisiana,22,40,7459,536.2649148679448
Unknown,Maine,23,.,.,97.5800156128025
Unknown,Maryland,24,56,19150,292.42819843342033
Unknown,Massachusetts,25,79,28777,274.5247941064044
Unknown,Michigan,26,34,25976,130.89005235602096
Unknown,Minnesota,27,23,11982,191.95459856451345
Unknown,Mississippi,28,.,.,176.93895606015923
Unknown,Missouri,29,25,11737,213.001618812303
Unknown,Montana,30,.,.,24.94387627837366
Unknown,Nebraska,31,.,.,66.55574043261231
Unknown,Nevada,32,.,.,134.3054489639294
Unknown,"New Hampshire",33,.,.,41.93458205199888
Unknown,"New Jersey",34,41,25188,162.7759250436716
Unknown,"New Mexico",35,.,.,196.078431372549
Unknown,"New York",36,190,60501,314.04439596039737
Unknown,"North Carolina",37,34,21215,160.26396417629036
Unknown,"North Dakota",38,.,.,117.92452830188678
Unknown,Ohio,39,31,37740,82.14096449390567
Unknown,Oklahoma,40,.,.,117.096018735363
Unknown,Oregon,41,.,.,91.84610674558628
Unknown,Pennsylvania,42,48,32868,146.03870025556773
Unknown,"Rhode Island",44,.,.,144.55044810638913
Unknown,"South Carolina",45,27,12351,218.60578090842847
Unknown,"South Dakota",46,.,.,86.244070720138
Unknown,Tennessee,47,17,11621,146.2868944152827
Unknown,Texas,48,89,31159,285.6317596842004
Unknown,Utah,49,.,.,23.57934449422306
Unknown,Vermont,50,.,.,145.4092230992937
Unknown,Virginia,51,27,22782,118.514616802739
Unknown,Washington,53,30,19707,152.2301720200944
Unknown,Wisconsin,55,17,19844,85.66821205402137
"Non-Hispanic White",Alabama,1,640,566440,112.98637101899583
"Non-Hispanic White",Alaska,2,66,67452,97.84735812133071
"Non-Hispanic White",Arizona,4,875,704278,124.2407117643885
"Non-Hispanic White",Arkansas,5,415,435009,95.40032505074608
"Non-Hispanic White",California,6,7805,2096487,372.2894537385636
"Non-Hispanic White",Colorado,8,632,471502,134.0397283574619
"Non-Hispanic White",Connecticut,9,562,370749,151.58503461910888
"Non-Hispanic White",Delaware,10,266,143003,186.01008370453766
"Non-Hispanic White","District of Columbia",11,245,19364,1265.234455690973
"Non-Hispanic White",Florida,12,5250,2222725,236.1965605281805
"Non-Hispanic White",Georgia,13,1407,824285,170.69338881576155
"Non-Hispanic White",Hawaii,15,129,45933,280.8438377636993
"Non-Hispanic White",Idaho,16,162,220335,73.52440601810879
"Non-Hispanic White",Illinois,17,1671,1358788,122.97724148285089
"Non-Hispanic White",Indiana,18,939,848238,110.70006295402942
"Non-Hispanic White",Iowa,19,334,486411,68.66621026251462
"Non-Hispanic White",Kansas,20,366,395394,92.56589629584667
"Non-Hispanic White",Kentucky,21,707,636374,111.09819068660882
"Non-Hispanic White",Louisiana,22,857,407424,210.34597863650643
"Non-Hispanic White",Maine,23,342,231528,147.71431533119105
"Non-Hispanic White",Maryland,24,950,549790,172.793248331181
"Non-Hispanic White",Massachusetts,25,1889,817292,231.12914356190933
"Non-Hispanic White",Michigan,26,1096,1195535,91.67443864044131
"Non-Hispanic White",Minnesota,27,499,533555,93.52362924159645
"Non-Hispanic White",Mississippi,28,437,348379,125.43810045955698
"Non-Hispanic White",Missouri,29,1064,778281,136.71154762868423
"Non-Hispanic White",Montana,30,126,177915,70.82033555349464
"Non-Hispanic White",Nebraska,31,161,266027,60.52017276441865
"Non-Hispanic White",Nevada,32,523,254051,205.864176877871
"Non-Hispanic White","New Hampshire",33,236,237955,99.17841608707528
"Non-Hispanic White","New Jersey",34,1308,902038,145.00497761735093
"Non-Hispanic White","New Mexico",35,303,169858,178.384297472006
"Non-Hispanic White","New York",36,4168,1558427,267.4491650876172
"Non-Hispanic White","North Carolina",37,1389,1119923,124.02638395675417
"Non-Hispanic White","North Dakota",38,45,104036,43.25425814141259
"Non-Hispanic White",Ohio,39,1414,1300240,108.74915400233803
"Non-Hispanic White",Oklahoma,40,593,486419,121.91135625869879
"Non-Hispanic White",Oregon,41,641,451203,142.06465825803463
"Non-Hispanic White",Pennsylvania,42,1810,1421023,127.3730263338454
"Non-Hispanic White","Rhode Island",44,182,109141,166.75676418577802
"Non-Hispanic White","South Carolina",45,699,645509,108.28663891595625
"Non-Hispanic White","South Dakota",46,56,136423,41.048796757145055
"Non-Hispanic White",Tennessee,47,955,801026,119.22209765975137
"Non-Hispanic White",Texas,48,3336,1909176,174.73506895121247
"Non-Hispanic White",Utah,49,201,232192,86.56628996692393
"Non-Hispanic White",Vermont,50,172,121477,141.59058916502713
"Non-Hispanic White",Virginia,51,1030,900741,114.35029603404308
"Non-Hispanic White",Washington,53,1152,786820,146.4121400066089
"Non-Hispanic White","West Virginia",54,334,308023,108.43346113764231
"Non-Hispanic White",Wisconsin,55,502,682630,73.53910610433176
"Non-Hispanic White",Wyoming,56,62,93032,66.64373548886405
"Black or African-American",Alabama,1,1095,165179,662.9171989175379
"Black or African-American",Alaska,2,14,2371,590.4681568958246
"Black or African-American",Arizona,4,139,25793,538.9059047028263
"Black or African-American",Arkansas,5,299,62392,479.2281061674573
"Black or African-American",California,6,2630,209882,1253.0850668470855
"Black or African-American",Colorado,8,138,17977,767.6475496467708
"Black or African-American",Connecticut,9,477,34570,1379.8090830199596
"Black or African-American",Delaware,10,410,29621,1384.1531346004524
"Black or African-American","District of Columbia",11,1368,43881,3117.5223901004993
"Black or African-American",Florida,12,4916,252638,1945.8672092084325
"Black or African-American",Georgia,13,3295,294672,1118.1924309062279
"Black or African-American",Hawaii,15,14,1819,769.6536558548653
"Black or African-American",Idaho,16,.,.,1170.3511053315995
"Black or African-American",Illinois,17,1917,216531,885.3235795336465
"Black or African-American",Indiana,18,492,71143,691.5648763757503
"Black or African-American",Iowa,19,66,9423,700.4138809296403
"Black or African-American",Kansas,20,109,19692,553.5242738167784
"Black or African-American",Kentucky,21,247,41252,598.7588480558519
"Black or African-American",Louisiana,22,1603,172777,927.7855270088033
"Black or African-American",Maine,23,19,1203,1579.3848711554447
"Black or African-American",Maryland,24,3897,219253,1777.3987129024458
"Black or African-American",Massachusetts,25,823,50122,1641.9935357727147
"Black or African-American",Michigan,26,1237,184117,671.8553962969198
"Black or African-American",Minnesota,27,305,21704,1405.2709178031698
"Black or African-American",Mississippi,28,980,156629,625.6823449042004
"Black or African-American",Missouri,29,661,75206,878.9192351674068
