RACE_NAME,AGE_GROUP,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,_18-39,1424,585,2009,0.7088103534
Unknown,_40-64,5508,1510,7018,0.7848389855
Unknown,_65-69,58655,8661,67316,0.8713381663
Unknown,_70-74,99305,13803,113108,0.8779661916
Unknown,_75-79,13064,2280,15344,0.8514077164
Unknown,_80-84,3079,669,3748,0.8215048026
Unknown,_85+,2180,467,2647,0.8235738572
"Non-Hispanic White",_18-39,25215,8711,33926,0.7432352768
"Non-Hispanic White",_40-64,621796,165428,787224,0.789859049
"Non-Hispanic White",_65-69,1501725,244437,1746162,0.8600147065
"Non-Hispanic White",_70-74,2091497,313854,2405351,0.8695184196
"Non-Hispanic White",_75-79,1729968,268186,1998154,0.8657831178
"Non-Hispanic White",_80-84,1117272,186862,1304134,0.8567156443
"Non-Hispanic White",_85+,967425,181532,1148957,0.8420027904
"Black or African-American",_18-39,9846,5785,15631,0.6299021176
"Black or African-American",_40-64,215844,84952,300796,0.7175760316
"Black or African-American",_65-69,197265,58238,255503,0.7720652986
"Black or African-American",_70-74,241750,62464,304214,0.7946708567
"Black or African-American",_75-79,173590,44050,217640,0.7976015438
"Black or African-American",_80-84,104349,26988,131337,0.7945133512
"Black or African-American",_85+,83501,23066,106567,0.7835540083
Other,_18-39,272,80,352,0.7727272727
Other,_40-64,4894,1188,6082,0.8046695166
Other,_65-69,12004,2356,14360,0.8359331476
Other,_70-74,20647,3636,24283,0.8502656179
Other,_75-79,21230,3662,24892,0.8528844609
Other,_80-84,13597,2701,16298,0.8342741441
Other,_85+,8631,1789,10420,0.8283109405
"Asian/Pacific Islander",_18-39,935,292,1227,0.7620211899
"Asian/Pacific Islander",_40-64,16076,4309,20385,0.7886190827
"Asian/Pacific Islander",_65-69,54692,10816,65508,0.8348903951
"Asian/Pacific Islander",_70-74,88807,16138,104945,0.8462242127
"Asian/Pacific Islander",_75-79,76753,13415,90168,0.8512221631
"Asian/Pacific Islander",_80-84,56596,10184,66780,0.8474992513
"Asian/Pacific Islander",_85+,52781,10142,62923,0.8388188739
Hispanic,_18-39,4886,2153,7039,0.6941326893
Hispanic,_40-64,107194,33536,140730,0.7616997087
Hispanic,_65-69,138684,35560,174244,0.7959183673
Hispanic,_70-74,196691,45841,242532,0.81098989
Hispanic,_75-79,161617,37426,199043,0.8119702778
Hispanic,_80-84,104865,24535,129400,0.8103941267
Hispanic,_85+,86986,21599,108585,0.8010867063
"American Indian / Alaska Native",_18-39,517,296,813,0.6359163592
"American Indian / Alaska Native",_40-64,8362,4114,12476,0.670246874
"American Indian / Alaska Native",_65-69,7089,3041,10130,0.6998025666
"American Indian / Alaska Native",_70-74,9131,3393,12524,0.7290801661
"American Indian / Alaska Native",_75-79,6550,2393,8943,0.7324164151
"American Indian / Alaska Native",_80-84,4333,1695,6028,0.7188122097
"American Indian / Alaska Native",_85+,3194,1330,4524,0.7060123784
