RACE_NAME,SEX_NAME,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Male,124084,18354,142438,0.8711439363
Unknown,Female,59131,9621,68752,0.8600622527
"Non-Hispanic White",Male,3699385,625691,4325076,0.8553341028
"Non-Hispanic White",Female,4355513,743319,5098832,0.8542177895
"Black or African-American",Male,374451,119852,494303,0.7575333348
"Black or African-American",Female,651694,185691,837385,0.7782489536
Other,Male,41656,7978,49634,0.8392634081
Other,Female,39619,7434,47053,0.8420079485
"Asian/Pacific Islander",Male,149773,29654,179427,0.8347294443
"Asian/Pacific Islander",Female,196867,35642,232509,0.8467070092
Hispanic,Male,336270,90189,426459,0.7885165983
Hispanic,Female,464653,110461,575114,0.8079319926
"American Indian / Alaska Native",Male,16125,6479,22604,0.7133693152
"American Indian / Alaska Native",Female,23051,9783,32834,0.702046659
