RACE_NAME,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Alabama,1,1372,206,1578,0.8694550063
Unknown,Alaska,2,408,78,486,0.8395061728
Unknown,Arizona,4,3565,543,4108,0.86781889
Unknown,Arkansas,5,936,181,1117,0.8379588183
Unknown,California,6,15737,2374,18111,0.8689194412
Unknown,Colorado,8,2810,461,3271,0.8590645063
Unknown,Connecticut,9,3502,480,3982,0.879457559
Unknown,Delaware,10,992,133,1125,0.8817777778
Unknown,"District of Columbia",11,236,46,282,0.8368794326
Unknown,Florida,12,12946,2111,15057,0.8597994288
Unknown,Georgia,13,3623,627,4250,0.8524705882
Unknown,Hawaii,15,352,58,410,0.8585365854
Unknown,Idaho,16,862,127,989,0.8715874621
Unknown,Illinois,17,8017,1016,9033,0.8875235249
Unknown,Indiana,18,4932,636,5568,0.8857758621
Unknown,Iowa,19,2523,283,2806,0.89914469
Unknown,Kansas,20,1900,243,2143,0.8866075595
Unknown,Kentucky,21,1978,329,2307,0.8573905505
Unknown,Louisiana,22,1785,308,2093,0.8528428094
Unknown,Maine,23,1154,150,1304,0.8849693252
Unknown,Maryland,24,4428,727,5155,0.858971872
Unknown,Massachusetts,25,7009,1089,8098,0.8655223512
Unknown,Michigan,26,7192,1096,8288,0.8677606178
Unknown,Minnesota,27,2618,386,3004,0.8715046605
Unknown,Mississippi,28,802,158,960,0.8354166667
Unknown,Missouri,29,2910,408,3318,0.877034358
Unknown,Montana,30,809,116,925,0.8745945946
Unknown,Nebraska,31,1628,202,1830,0.8896174863
Unknown,Nevada,32,1211,236,1447,0.8369039392
Unknown,"New Hampshire",33,1568,188,1756,0.8929384966
Unknown,"New Jersey",34,6987,1045,8032,0.8698954183
Unknown,"New Mexico",35,768,117,885,0.8677966102
Unknown,"New York",36,15297,2937,18234,0.8389272787
Unknown,"North Carolina",37,5158,802,5960,0.8654362416
Unknown,"North Dakota",38,401,60,461,0.8698481562
Unknown,Ohio,39,10398,1451,11849,0.8775424086
Unknown,Oklahoma,40,1304,228,1532,0.8511749347
Unknown,Oregon,41,1928,326,2254,0.8553682343
Unknown,Pennsylvania,42,8720,1115,9835,0.8866293849
Unknown,"Rhode Island",44,927,127,1054,0.8795066414
Unknown,"South Carolina",45,3138,481,3619,0.8670903565
Unknown,"South Dakota",46,569,71,640,0.8890625
Unknown,Tennessee,47,3211,458,3669,0.8751703461
Unknown,Texas,48,7803,1347,9150,0.8527868852
Unknown,Utah,49,818,159,977,0.8372569089
Unknown,Vermont,50,1053,132,1185,0.8886075949
Unknown,Virginia,51,4899,693,5592,0.8760729614
Unknown,Washington,53,4161,710,4871,0.8542393759
Unknown,"West Virginia",54,614,94,708,0.8672316384
Unknown,Wisconsin,55,4721,515,5236,0.9016424752
Unknown,Wyoming,56,480,77,557,0.8617594255
"Non-Hispanic White",Alabama,1,143743,26519,170262,0.8442459269
"Non-Hispanic White",Alaska,2,15381,2954,18335,0.8388873739
"Non-Hispanic White",Arizona,4,156840,27643,184483,0.8501596353
"Non-Hispanic White",Arkansas,5,107459,22658,130117,0.8258644143
"Non-Hispanic White",California,6,489359,87712,577071,0.8480048382
"Non-Hispanic White",Colorado,8,96908,17050,113958,0.8503834746
"Non-Hispanic White",Connecticut,9,100603,14221,114824,0.8761495855
"Non-Hispanic White",Delaware,10,40612,5750,46362,0.8759760148
"Non-Hispanic White","District of Columbia",11,3055,517,3572,0.8552631579
"Non-Hispanic White",Florida,12,523638,93459,617097,0.848550552
"Non-Hispanic White",Georgia,13,199535,38869,238404,0.8369616282
"Non-Hispanic White",Hawaii,15,7713,1396,9109,0.8467449775
"Non-Hispanic White",Idaho,16,49697,8907,58604,0.8480137875
"Non-Hispanic White",Illinois,17,378282,56959,435241,0.8691322738
"Non-Hispanic White",Indiana,18,241590,39590,281180,0.8592005121
"Non-Hispanic White",Iowa,19,142048,18167,160215,0.8866086197
"Non-Hispanic White",Kansas,20,109109,16384,125493,0.8694429171
"Non-Hispanic White",Kentucky,21,177651,36691,214342,0.8288202965
"Non-Hispanic White",Louisiana,22,108070,21571,129641,0.8336097377
"Non-Hispanic White",Maine,23,54780,7515,62295,0.879364315
"Non-Hispanic White",Maryland,24,132649,20998,153647,0.8633360886
"Non-Hispanic White",Massachusetts,25,212074,30224,242298,0.8752610422
"Non-Hispanic White",Michigan,26,304753,51421,356174,0.8556295518
"Non-Hispanic White",Minnesota,27,132095,17199,149294,0.8847977816
"Non-Hispanic White",Mississippi,28,90601,20206,110807,0.8176468996
"Non-Hispanic White",Missouri,29,208308,35012,243320,0.856107184
"Non-Hispanic White",Montana,30,40845,6432,47277,0.8639507583
"Non-Hispanic White",Nebraska,31,74145,10624,84769,0.8746711652
"Non-Hispanic White",Nevada,32,54228,10259,64487,0.8409136725
"Non-Hispanic White","New Hampshire",33,55404,7643,63047,0.8787729789
"Non-Hispanic White","New Jersey",34,245437,38651,284088,0.8639470868
"Non-Hispanic White","New Mexico",35,33601,6658,40259,0.8346208301
"Non-Hispanic White","New York",36,393433,66620,460053,0.8551905976
"Non-Hispanic White","North Carolina",37,292710,50669,343379,0.8524400153
"Non-Hispanic White","North Dakota",38,29500,3648,33148,0.8899481115
"Non-Hispanic White",Ohio,39,351519,58919,410438,0.856448477
"Non-Hispanic White",Oklahoma,40,120144,24399,144543,0.8311990204
"Non-Hispanic White",Oregon,41,97631,17566,115197,0.8475133901
"Non-Hispanic White",Pennsylvania,42,377014,54950,431964,0.8727903251
"Non-Hispanic White","Rhode Island",44,29682,4070,33752,0.8794145532
"Non-Hispanic White","South Carolina",45,166195,29797,195992,0.8479682844
"Non-Hispanic White","South Dakota",46,36206,4977,41183,0.8791491635
"Non-Hispanic White",Tennessee,47,220542,40202,260744,0.8458181205
"Non-Hispanic White",Texas,48,487572,96033,583605,0.8354486339
"Non-Hispanic White",Utah,49,51199,10236,61435,0.8333848783
"Non-Hispanic White",Vermont,50,30150,4366,34516,0.8735079383
"Non-Hispanic White",Virginia,51,209337,34454,243791,0.8586740282
"Non-Hispanic White",Washington,53,161595,28199,189794,0.8514231219
"Non-Hispanic White","West Virginia",54,79050,14684,93734,0.8433439307
"Non-Hispanic White",Wisconsin,55,169137,21087,190224,0.8891464799
"Non-Hispanic White",Wyoming,56,20891,3860,24751,0.8440467052
"Black or African-American",Alabama,1,42774,11822,54596,0.78346399
"Black or African-American",Alaska,2,434,146,580,0.7482758621
"Black or African-American",Arizona,4,4880,1541,6421,0.7600062296
"Black or African-American",Arkansas,5,14542,4830,19372,0.7506710716
"Black or African-American",California,6,42946,12703,55649,0.7717299502
"Black or African-American",Colorado,8,2973,931,3904,0.7615266393
"Black or African-American",Connecticut,9,9630,2275,11905,0.8089038219
"Black or African-American",Delaware,10,7863,1947,9810,0.801529052
"Black or African-American","District of Columbia",11,8754,2687,11441,0.7651429071
"Black or African-American",Florida,12,60457,17829,78286,0.7722581304
"Black or African-American",Georgia,13,66533,19949,86482,0.7693277214
"Black or African-American",Hawaii,15,215,76,291,0.7388316151
"Black or African-American",Idaho,16,136,49,185,0.7351351351
"Black or African-American",Illinois,17,53323,15768,69091,0.7717792477
"Black or African-American",Indiana,18,17278,5128,22406,0.7711327323
"Black or African-American",Iowa,19,2258,618,2876,0.7851182197
"Black or African-American",Kansas,20,4688,1246,5934,0.7900235929
"Black or African-American",Kentucky,21,9866,3016,12882,0.7658748642
"Black or African-American",Louisiana,22,44178,14417,58595,0.7539551156
"Black or African-American",Maine,23,220,67,287,0.7665505226
"Black or African-American",Maryland,24,47488,13117,60605,0.7835657124
"Black or African-American",Massachusetts,25,12801,3428,16229,0.7887731838
"Black or African-American",Michigan,26,44609,14666,59275,0.7525769717
"Black or African-American",Minnesota,27,4518,1511,6029,0.7493780063
"Black or African-American",Mississippi,28,42629,14064,56693,0.7519270457
"Black or African-American",Missouri,29,17926,5337,23263,0.7705798908
"Black or African-American",Montana,30,75,27,102,0.7352941176
"Black or African-American",Nebraska,31,1800,481,2281,0.7891275756
"Black or African-American",Nevada,32,5579,1825,7404,0.7535116153
"Black or African-American","New Hampshire",33,358,80,438,0.8173515982
"Black or African-American","New Jersey",34,32909,9536,42445,0.7753327836
"Black or African-American","New Mexico",35,884,264,1148,0.7700348432
"Black or African-American","New York",36,57820,18506,76326,0.7575400257
"Black or African-American","North Carolina",37,75243,20945,96188,0.782249345
"Black or African-American","North Dakota",38,95,43,138,0.6884057971
"Black or African-American",Ohio,39,35672,10757,46429,0.7683129079
"Black or African-American",Oklahoma,40,7426,2459,9885,0.7512392514
"Black or African-American",Oregon,41,1208,386,1594,0.7578419072
"Black or African-American",Pennsylvania,42,30521,8727,39248,0.7776447208
"Black or African-American","Rhode Island",44,1431,342,1773,0.807106599
"Black or African-American","South Carolina",45,47414,14404,61818,0.7669934323
"Black or African-American","South Dakota",46,110,57,167,0.6586826347
"Black or African-American",Tennessee,47,28193,7928,36121,0.7805154896
"Black or African-American",Texas,48,69981,21768,91749,0.7627440081
"Black or African-American",Utah,49,294,113,407,0.7223587224
"Black or African-American",Vermont,50,124,28,152,0.8157894737
"Black or African-American",Virginia,51,47537,11895,59432,0.7998552968
"Black or African-American",Washington,53,4619,1385,6004,0.769320453
"Black or African-American","West Virginia",54,2141,656,2797,0.7654629961
"Black or African-American",Wisconsin,55,8327,2318,10645,0.7822451855
"Black or African-American",Wyoming,56,101,34,135,0.7481481481
Other,Alabama,1,414,100,514,0.8054474708
Other,Alaska,2,274,71,345,0.7942028986
Other,Arizona,4,1362,298,1660,0.8204819277
Other,Arkansas,5,300,70,370,0.8108108108
Other,California,6,15722,2853,18575,0.8464064603
Other,Colorado,8,684,155,839,0.8152562574
Other,Connecticut,9,1074,160,1234,0.8703403566
Other,Delaware,10,345,54,399,0.8646616541
Other,"District of Columbia",11,117,31,148,0.7905405405
Other,Florida,12,4829,901,5730,0.8427574171
Other,Georgia,13,1240,248,1488,0.8333333333
Other,Hawaii,15,4477,682,5159,0.867803838
Other,Idaho,16,296,62,358,0.8268156425
Other,Illinois,17,4012,716,4728,0.8485617597
Other,Indiana,18,907,194,1101,0.8237965486
Other,Iowa,19,447,83,530,0.8433962264
Other,Kansas,20,464,87,551,0.8421052632
Other,Kentucky,21,490,87,577,0.849220104
Other,Louisiana,22,574,115,689,0.8330914369
Other,Maine,23,246,45,291,0.8453608247
Other,Maryland,24,1794,356,2150,0.8344186047
Other,Massachusetts,25,2848,466,3314,0.8593844297
Other,Michigan,26,2736,558,3294,0.8306010929
Other,Minnesota,27,914,143,1057,0.8647114475
Other,Mississippi,28,237,54,291,0.8144329897
Other,Missouri,29,764,124,888,0.8603603604
Other,Montana,30,197,37,234,0.8418803419
Other,Nebraska,31,274,35,309,0.8867313916
Other,Nevada,32,1260,240,1500,0.84
Other,"New Hampshire",33,309,47,356,0.8679775281
Other,"New Jersey",34,3743,718,4461,0.8390495405
Other,"New Mexico",35,324,88,412,0.786407767
Other,"New York",36,7622,1733,9355,0.8147514698
Other,"North Carolina",37,2527,483,3010,0.8395348837
Other,"North Dakota",38,131,24,155,0.8451612903
Other,Ohio,39,1950,327,2277,0.8563899868
Other,Oklahoma,40,546,130,676,0.8076923077
Other,Oregon,41,898,138,1036,0.8667953668
Other,Pennsylvania,42,2070,358,2428,0.852553542
Other,"Rhode Island",44,417,64,481,0.8669438669
Other,"South Carolina",45,719,113,832,0.8641826923
Other,"South Dakota",46,120,22,142,0.8450704225
Other,Tennessee,47,771,165,936,0.8237179487
Other,Texas,48,4029,847,4876,0.8262920427
Other,Utah,49,393,91,484,0.8119834711
Other,Vermont,50,176,29,205,0.8585365854
Other,Virginia,51,1873,336,2209,0.8478949751
