AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,Alabama,1,1098,535,1633,0.6723821188
_18-39,Alaska,2,89,24,113,0.7876106195
_18-39,Arizona,4,451,271,722,0.6246537396
_18-39,Arkansas,5,769,456,1225,0.627755102
_18-39,California,6,2914,1013,3927,0.7420422715
_18-39,Colorado,8,391,146,537,0.7281191806
_18-39,Connecticut,9,420,113,533,0.7879924953
_18-39,Delaware,10,128,43,171,0.7485380117
_18-39,"District of Columbia",11,65,33,98,0.6632653061
_18-39,Florida,12,2081,853,2934,0.7092706203
_18-39,Georgia,13,1248,698,1946,0.641315519
_18-39,Hawaii,15,91,27,118,0.7711864407
_18-39,Idaho,16,277,116,393,0.7048346056
_18-39,Illinois,17,1629,616,2245,0.7256124722
_18-39,Indiana,18,1213,488,1701,0.7131099353
_18-39,Iowa,19,588,168,756,0.7777777778
_18-39,Kansas,20,535,151,686,0.7798833819
_18-39,Kentucky,21,1151,557,1708,0.6738875878
_18-39,Louisiana,22,966,561,1527,0.6326129666
_18-39,Maine,23,325,98,423,0.768321513
_18-39,Maryland,24,773,299,1072,0.7210820896
_18-39,Massachusetts,25,1054,390,1444,0.7299168975
_18-39,Michigan,26,1674,795,2469,0.6780072904
_18-39,Minnesota,27,861,233,1094,0.7870201097
_18-39,Mississippi,28,741,444,1185,0.6253164557
_18-39,Missouri,29,1283,517,1800,0.7127777778
_18-39,Montana,30,131,45,176,0.7443181818
_18-39,Nebraska,31,321,97,418,0.7679425837
_18-39,Nevada,32,222,90,312,0.7115384615
_18-39,"New Hampshire",33,217,75,292,0.7431506849
_18-39,"New Jersey",34,764,300,1064,0.7180451128
_18-39,"New Mexico",35,317,154,471,0.6730360934
_18-39,"New York",36,2046,790,2836,0.721438646
_18-39,"North Carolina",37,1688,759,2447,0.6898242746
_18-39,"North Dakota",38,141,43,184,0.7663043478
_18-39,Ohio,39,2065,864,2929,0.7050187777
_18-39,Oklahoma,40,788,355,1143,0.6894138233
_18-39,Oregon,41,404,151,555,0.7279279279
_18-39,Pennsylvania,42,1845,694,2539,0.726664041
_18-39,"Rhode Island",44,191,60,251,0.7609561753
_18-39,"South Carolina",45,812,411,1223,0.6639411284
_18-39,"South Dakota",46,138,51,189,0.7301587302
_18-39,Tennessee,47,1148,528,1676,0.6849642005
_18-39,Texas,48,2930,1355,4285,0.6837806301
_18-39,Utah,49,278,97,375,0.7413333333
_18-39,Vermont,50,152,43,195,0.7794871795
_18-39,Virginia,51,1112,469,1581,0.7033523087
_18-39,Washington,53,831,304,1135,0.7321585903
_18-39,"West Virginia",54,554,212,766,0.7232375979
_18-39,Wisconsin,55,1013,262,1275,0.7945098039
_18-39,Wyoming,56,82,22,104,0.7884615385
_40-64,Alabama,1,26758,8769,35527,0.7531736426
_40-64,Alaska,2,1386,447,1833,0.7561374795
_40-64,Arizona,4,11156,4202,15358,0.7263966662
_40-64,Arkansas,5,17124,6137,23261,0.7361678346
_40-64,California,6,71013,20543,91556,0.775623662
_40-64,Colorado,8,9523,2584,12107,0.786569753
_40-64,Connecticut,9,9773,2342,12115,0.8066859265
_40-64,Delaware,10,3736,1041,4777,0.7820808039
_40-64,"District of Columbia",11,1907,788,2695,0.707606679
_40-64,Florida,12,52861,15020,67881,0.7787304253
_40-64,Georgia,13,31874,11352,43226,0.7373802804
_40-64,Hawaii,15,1956,569,2525,0.7746534653
_40-64,Idaho,16,4780,1361,6141,0.7783748575
_40-64,Illinois,17,37664,10946,48610,0.7748199959
_40-64,Indiana,18,25992,7484,33476,0.7764368503
_40-64,Iowa,19,10275,2410,12685,0.810011825
_40-64,Kansas,20,9906,2491,12397,0.7990642897
_40-64,Kentucky,21,29016,9787,38803,0.7477772337
_40-64,Louisiana,22,21278,7875,29153,0.7298734264
_40-64,Maine,23,7661,1508,9169,0.8355327735
_40-64,Maryland,24,16088,5262,21350,0.7535362998
_40-64,Massachusetts,25,25494,6386,31880,0.7996863237
_40-64,Michigan,26,41873,12552,54425,0.7693706936
_40-64,Minnesota,27,13659,3371,17030,0.8020551967
_40-64,Mississippi,28,19551,7748,27299,0.7161800799
_40-64,Missouri,29,27811,7955,35766,0.7775820612
_40-64,Montana,30,2970,872,3842,0.7730348777
_40-64,Nebraska,31,4727,1270,5997,0.7882274471
_40-64,Nevada,32,5676,2064,7740,0.7333333333
_40-64,"New Hampshire",33,4636,1042,5678,0.8164846777
_40-64,"New Jersey",34,21832,6031,27863,0.7835480745
_40-64,"New Mexico",35,6893,2365,9258,0.7445452582
_40-64,"New York",36,50037,13803,63840,0.783787594
_40-64,"North Carolina",37,41345,12770,54115,0.7640210662
_40-64,"North Dakota",38,1744,422,2166,0.8051708218
_40-64,Ohio,39,41478,12562,54040,0.7675425611
_40-64,Oklahoma,40,15419,5728,21147,0.7291341561
_40-64,Oregon,41,10153,3104,13257,0.7658595459
_40-64,Pennsylvania,42,43059,10776,53835,0.7998328225
_40-64,"Rhode Island",44,4143,939,5082,0.8152302243
_40-64,"South Carolina",45,21212,7087,28299,0.7495671225
_40-64,"South Dakota",46,2153,606,2759,0.7803552012
_40-64,Tennessee,47,29468,9206,38674,0.7619589388
_40-64,Texas,48,59587,20460,80047,0.7444001649
_40-64,Utah,49,3860,1281,5141,0.7508266874
_40-64,Vermont,50,2767,612,3379,0.8188813258
_40-64,Virginia,51,23434,6868,30302,0.7733482938
_40-64,Washington,53,16922,4804,21726,0.778882445
_40-64,"West Virginia",54,12920,3706,16626,0.7770961145
_40-64,Wisconsin,55,17851,4006,21857,0.8167177563
_40-64,Wyoming,56,1440,440,1880,0.7659574468
_65-69,Alabama,1,31813,6579,38392,0.8286361742
_65-69,Alaska,2,4919,1087,6006,0.819014319
_65-69,Arizona,4,38093,7425,45518,0.8368777187
_65-69,Arkansas,5,25434,5547,30981,0.8209547787
_65-69,California,6,161159,32895,194054,0.8304853288
_65-69,Colorado,8,24724,4608,29332,0.8429019501
_65-69,Connecticut,9,17348,2801,20149,0.8609856569
