RACE_NAME,AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,_18-39,Alabama,1,25,15,40,0.625
Unknown,_18-39,Alaska,2,.,0,.,1
Unknown,_18-39,Arizona,4,.,.,.,0.6
Unknown,_18-39,Arkansas,5,16,12,28,0.5714285714
Unknown,_18-39,California,6,39,12,51,0.7647058824
Unknown,_18-39,Colorado,8,.,.,.,0.7272727273
Unknown,_18-39,Connecticut,9,.,.,.,0.8461538462
Unknown,_18-39,Delaware,10,.,.,.,0.8
Unknown,_18-39,"District of Columbia",11,.,.,.,0.6666666667
Unknown,_18-39,Florida,12,67,23,90,0.7444444444
Unknown,_18-39,Georgia,13,28,15,43,0.6511627907
Unknown,_18-39,Hawaii,15,.,0,.,1
Unknown,_18-39,Idaho,16,.,.,.,0.7692307692
Unknown,_18-39,Illinois,17,41,16,57,0.7192982456
Unknown,_18-39,Indiana,18,58,15,73,0.7945205479
Unknown,_18-39,Iowa,19,35,14,49,0.7142857143
Unknown,_18-39,Kansas,20,.,.,.,0.7692307692
Unknown,_18-39,Kentucky,21,33,22,55,0.6
Unknown,_18-39,Louisiana,22,26,14,40,0.65
Unknown,_18-39,Maine,23,.,.,.,0.7894736842
Unknown,_18-39,Maryland,24,38,11,49,0.7755102041
Unknown,_18-39,Massachusetts,25,73,20,93,0.7849462366
Unknown,_18-39,Michigan,26,64,31,95,0.6736842105
Unknown,_18-39,Minnesota,27,59,17,76,0.7763157895
Unknown,_18-39,Mississippi,28,20,13,33,0.6060606061
Unknown,_18-39,Missouri,29,46,17,63,0.7301587302
Unknown,_18-39,Montana,30,.,.,.,0.6153846154
Unknown,_18-39,Nebraska,31,.,.,.,0.7
Unknown,_18-39,Nevada,32,.,.,.,0.625
Unknown,_18-39,"New Hampshire",33,.,.,.,0.8148148148
Unknown,_18-39,"New Jersey",34,31,15,46,0.6739130435
Unknown,_18-39,"New Mexico",35,.,.,.,0.6363636364
Unknown,_18-39,"New York",36,70,32,102,0.6862745098
Unknown,_18-39,"North Carolina",37,52,17,69,0.7536231884
Unknown,_18-39,"North Dakota",38,.,.,.,0.5555555556
Unknown,_18-39,Ohio,39,83,42,125,0.664
Unknown,_18-39,Oklahoma,40,.,.,.,0.65
Unknown,_18-39,Oregon,41,.,.,.,0.6428571429
Unknown,_18-39,Pennsylvania,42,83,33,116,0.7155172414
Unknown,_18-39,"Rhode Island",44,.,.,.,0.8333333333
Unknown,_18-39,"South Carolina",45,19,17,36,0.5277777778
Unknown,_18-39,"South Dakota",46,.,.,.,0.75
Unknown,_18-39,Tennessee,47,.,.,.,0.8125
