RACE_NAME,AGE_GROUP,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,_18-39,1504,505,2009,0.7486311598
Unknown,_40-64,5747,1271,7018,0.8188942719
Unknown,_65-69,60353,6963,67316,0.8965624814
Unknown,_70-74,102092,11016,113108,0.9026063585
Unknown,_75-79,13512,1832,15344,0.8806047967
Unknown,_80-84,3212,536,3748,0.8569903949
Unknown,_85+,2269,378,2647,0.8571968266
"Non-Hispanic White",_18-39,26309,7617,33926,0.7754819313
"Non-Hispanic White",_40-64,646942,140282,787224,0.8218016727
"Non-Hispanic White",_65-69,1546186,199976,1746162,0.8854768343
"Non-Hispanic White",_70-74,2154242,251109,2405351,0.8956040096
"Non-Hispanic White",_75-79,1784862,213292,1998154,0.8932554748
"Non-Hispanic White",_80-84,1155127,149007,1304134,0.8857425694
"Non-Hispanic White",_85+,1002869,146088,1148957,0.8728516385
"Black or African-American",_18-39,10525,5106,15631,0.6733414369
"Black or African-American",_40-64,228586,72210,300796,0.7599369672
"Black or African-American",_65-69,206798,48705,255503,0.8093760152
"Black or African-American",_70-74,252524,51690,304214,0.8300867153
"Black or African-American",_75-79,181336,36304,217640,0.8331924279
"Black or African-American",_80-84,109048,22289,131337,0.8302915401
"Black or African-American",_85+,87459,19108,106567,0.8206949619
Other,_18-39,285,67,352,0.8096590909
Other,_40-64,5079,1003,6082,0.8350871424
Other,_65-69,12428,1932,14360,0.86545961
Other,_70-74,21425,2858,24283,0.8823044929
Other,_75-79,21980,2912,24892,0.8830146232
Other,_80-84,14112,2186,16298,0.8658731133
Other,_85+,8972,1448,10420,0.8610364683
"Asian/Pacific Islander",_18-39,965,262,1227,0.7864710676
"Asian/Pacific Islander",_40-64,16783,3602,20385,0.8233014471
"Asian/Pacific Islander",_65-69,56632,8876,65508,0.8645050986
"Asian/Pacific Islander",_70-74,91877,13068,104945,0.8754776311
"Asian/Pacific Islander",_75-79,79281,10887,90168,0.8792587171
"Asian/Pacific Islander",_80-84,58527,8253,66780,0.8764150943
"Asian/Pacific Islander",_85+,54561,8362,62923,0.867107417
Hispanic,_18-39,5184,1855,7039,0.7364682483
Hispanic,_40-64,112776,27954,140730,0.8013643146
Hispanic,_65-69,145090,29154,174244,0.8326829044
Hispanic,_70-74,205445,37087,242532,0.8470840961
Hispanic,_75-79,168770,30273,199043,0.8479072361
Hispanic,_80-84,109544,19856,129400,0.846553323
Hispanic,_85+,91019,17566,108585,0.8382281162
"American Indian / Alaska Native",_18-39,547,266,813,0.6728167282
"American Indian / Alaska Native",_40-64,8845,3631,12476,0.7089612055
"American Indian / Alaska Native",_65-69,7435,2695,10130,0.733958539
"American Indian / Alaska Native",_70-74,9563,2961,12524,0.763573938
"American Indian / Alaska Native",_75-79,6841,2102,8943,0.7649558314
"American Indian / Alaska Native",_80-84,4565,1463,6028,0.7572992701
"American Indian / Alaska Native",_85+,3366,1158,4524,0.7440318302
