RACE_NAME,ENTLMT_RSN_CURR,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Aged,Alabama,1,"Autauga County",1001,16,0,16,1
Unknown,Aged,Alabama,1,"Baldwin County",1003,.,.,.,0.9166666667
Unknown,Aged,Alabama,1,"Barbour County",1005,.,0,.,1
Unknown,Aged,Alabama,1,"Bibb County",1007,0,.,.,0
Unknown,Aged,Alabama,1,"Blount County",1009,.,0,.,1
Unknown,Aged,Alabama,1,"Butler County",1013,.,.,.,0.875
Unknown,Aged,Alabama,1,"Calhoun County",1015,.,.,.,0.8333333333
Unknown,Aged,Alabama,1,"Chambers County",1017,.,.,.,0.875
Unknown,Aged,Alabama,1,"Cherokee County",1019,.,.,.,0.7142857143
Unknown,Aged,Alabama,1,"Chilton County",1021,.,.,.,0.8333333333
Unknown,Aged,Alabama,1,"Choctaw County",1023,.,0,.,1
Unknown,Aged,Alabama,1,"Clarke County",1025,.,0,.,1
Unknown,Aged,Alabama,1,"Clay County",1027,.,0,.,1
Unknown,Aged,Alabama,1,"Cleburne County",1029,.,0,.,1
Unknown,Aged,Alabama,1,"Coffee County",1031,.,.,.,0.9090909091
Unknown,Aged,Alabama,1,"Colbert County",1033,.,.,.,0.9230769231
Unknown,Aged,Alabama,1,"Conecuh County",1035,.,0,.,1
Unknown,Aged,Alabama,1,"Coosa County",1037,.,.,.,0.7777777778
Unknown,Aged,Alabama,1,"Covington County",1039,.,.,.,0.875
Unknown,Aged,Alabama,1,"Crenshaw County",1041,.,0,.,1
Unknown,Aged,Alabama,1,"Cullman County",1043,.,.,.,0.9090909091
Unknown,Aged,Alabama,1,"Dale County",1045,.,0,.,1
Unknown,Aged,Alabama,1,"Dallas County",1047,.,.,.,0.8888888889
Unknown,Aged,Alabama,1,"DeKalb County",1049,.,.,.,0.8
Unknown,Aged,Alabama,1,"Elmore County",1051,.,.,.,0.9032258065
Unknown,Aged,Alabama,1,"Escambia County",1053,.,.,.,0.8888888889
Unknown,Aged,Alabama,1,"Etowah County",1055,.,.,.,0.8275862069
Unknown,Aged,Alabama,1,"Fayette County",1057,.,.,.,0.8333333333
Unknown,Aged,Alabama,1,"Franklin County",1059,.,.,.,0.7692307692
Unknown,Aged,Alabama,1,"Geneva County",1061,.,.,.,0.75
Unknown,Aged,Alabama,1,"Greene County",1063,.,0,.,1
Unknown,Aged,Alabama,1,"Hale County",1065,.,0,.,1
Unknown,Aged,Alabama,1,"Henry County",1067,.,.,.,0.875
Unknown,Aged,Alabama,1,"Houston County",1069,.,.,.,0.88
Unknown,Aged,Alabama,1,"Jackson County",1071,.,.,.,0.8461538462
Unknown,Aged,Alabama,1,"Jefferson County",1073,171,21,192,0.890625
Unknown,Aged,Alabama,1,"Lamar County",1075,.,.,.,0.3333333333
Unknown,Aged,Alabama,1,"Lauderdale County",1077,.,.,.,0.8936170213
Unknown,Aged,Alabama,1,"Lawrence County",1079,.,0,.,1
Unknown,Aged,Alabama,1,"Lee County",1081,.,.,.,0.8510638298
Unknown,Aged,Alabama,1,"Limestone County",1083,.,.,.,0.9545454545
Unknown,Aged,Alabama,1,"Lowndes County",1085,.,0,.,1
Unknown,Aged,Alabama,1,"Macon County",1087,.,.,.,0.6666666667
Unknown,Aged,Alabama,1,"Madison County",1089,107,14,121,0.8842975207
Unknown,Aged,Alabama,1,"Marengo County",1091,.,0,.,1
Unknown,Aged,Alabama,1,"Marion County",1093,.,.,.,0.8571428571
Unknown,Aged,Alabama,1,"Marshall County",1095,.,.,.,0.8684210526
Unknown,Aged,Alabama,1,"Mobile County",1097,71,12,83,0.8554216867
Unknown,Aged,Alabama,1,"Monroe County",1099,.,0,.,1
Unknown,Aged,Alabama,1,"Montgomery County",1101,.,.,.,0.868852459
Unknown,Aged,Alabama,1,"Morgan County",1103,.,.,.,0.8936170213
Unknown,Aged,Alabama,1,"Pickens County",1107,.,.,.,0.6666666667
Unknown,Aged,Alabama,1,"Pike County",1109,.,.,.,0.8571428571
Unknown,Aged,Alabama,1,"Randolph County",1111,.,.,.,0.6666666667
Unknown,Aged,Alabama,1,"Russell County",1113,.,.,.,0.7142857143
Unknown,Aged,Alabama,1,"St. Clair County",1115,.,.,.,0.8965517241
Unknown,Aged,Alabama,1,"Shelby County",1117,.,.,.,0.9382716049
Unknown,Aged,Alabama,1,"Sumter County",1119,.,0,.,1
Unknown,Aged,Alabama,1,"Talladega County",1121,.,.,.,0.8
Unknown,Aged,Alabama,1,"Tallapoosa County",1123,.,.,.,0.8095238095
Unknown,Aged,Alabama,1,"Tuscaloosa County",1125,.,.,.,0.9090909091
Unknown,Aged,Alabama,1,"Walker County",1127,.,.,.,0.8
Unknown,Aged,Alabama,1,"Wilcox County",1131,.,.,.,0.8
Unknown,Aged,Alabama,1,"Winston County",1133,.,.,.,0.875
Unknown,Aged,Alabama,1,,1999,.,0,.,1
Unknown,Aged,Alaska,2,"Anchorage Borough",2020,169,40,209,0.8086124402
Unknown,Aged,Alaska,2,"Bristol Bay Borough",2060,.,0,.,1
Unknown,Aged,Alaska,2,"Denali Borough (created after 1990)",2068,.,.,.,0.5
Unknown,Aged,Alaska,2,"Dillingham Census Area",2070,.,0,.,1
Unknown,Aged,Alaska,2,"Fairbanks North Star Borough",2090,.,.,.,0.9152542373
Unknown,Aged,Alaska,2,"Haines Borough",2100,.,.,.,0.75
Unknown,Aged,Alaska,2,,2105,.,.,.,0.5
Unknown,Aged,Alaska,2,"Juneau Borough",2110,.,.,.,0.8717948718
Unknown,Aged,Alaska,2,"Kenai Peninsula Borough",2122,.,.,.,0.8409090909
Unknown,Aged,Alaska,2,"Ketchikan Gateway Borough",2130,.,.,.,0.8461538462
Unknown,Aged,Alaska,2,"Kodiak Island Borough",2150,.,.,.,0.8888888889
Unknown,Aged,Alaska,2,"Matanuska-Susitna Borough",2170,.,.,.,0.8867924528
Unknown,Aged,Alaska,2,"Nome Census Area",2180,.,0,.,1
Unknown,Aged,Alaska,2,,2195,.,0,.,1
Unknown,Aged,Alaska,2,,2198,.,0,.,1
Unknown,Aged,Alaska,2,"Sitka Borough",2220,.,.,.,0.8333333333
Unknown,Aged,Alaska,2,,2230,.,.,.,0.5
