RACE_NAME,SEX_NAME,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Male,Alabama,1,993,136,1129,0.8795394154
Unknown,Male,Alaska,2,276,59,335,0.823880597
Unknown,Male,Arizona,4,2580,384,2964,0.8704453441
Unknown,Male,Arkansas,5,676,135,811,0.8335388409
Unknown,Male,California,6,9485,1438,10923,0.8683511856
Unknown,Male,Colorado,8,2036,338,2374,0.8576242628
Unknown,Male,Connecticut,9,2354,319,2673,0.8806584362
Unknown,Male,Delaware,10,694,89,783,0.8863346105
Unknown,Male,"District of Columbia",11,139,29,168,0.8273809524
Unknown,Male,Florida,12,9174,1448,10622,0.8636791565
Unknown,Male,Georgia,13,2621,433,3054,0.8582187295
Unknown,Male,Hawaii,15,210,36,246,0.8536585366
Unknown,Male,Idaho,16,623,102,725,0.8593103448
Unknown,Male,Illinois,17,5667,691,6358,0.8913180245
Unknown,Male,Indiana,18,3515,445,3960,0.8876262626
Unknown,Male,Iowa,19,1885,206,2091,0.9014825442
Unknown,Male,Kansas,20,1358,181,1539,0.8823911631
Unknown,Male,Kentucky,21,1474,236,1710,0.8619883041
Unknown,Male,Louisiana,22,1261,212,1473,0.8560760353
Unknown,Male,Maine,23,826,107,933,0.8853161844
Unknown,Male,Maryland,24,2754,416,3170,0.8687697161
Unknown,Male,Massachusetts,25,4225,605,4830,0.8747412008
Unknown,Male,Michigan,26,4595,706,5301,0.8668175816
Unknown,Male,Minnesota,27,1774,252,2026,0.8756169793
Unknown,Male,Mississippi,28,558,107,665,0.8390977444
Unknown,Male,Missouri,29,2124,286,2410,0.8813278008
Unknown,Male,Montana,30,591,83,674,0.8768545994
Unknown,Male,Nebraska,31,1133,146,1279,0.885848319
Unknown,Male,Nevada,32,805,146,951,0.8464773922
Unknown,Male,"New Hampshire",33,1078,132,1210,0.8909090909
Unknown,Male,"New Jersey",34,4541,672,5213,0.871091502
Unknown,Male,"New Mexico",35,516,87,603,0.855721393
Unknown,Male,"New York",36,9109,1581,10690,0.8521047708
Unknown,Male,"North Carolina",37,3753,575,4328,0.8671441774
Unknown,Male,"North Dakota",38,287,42,329,0.8723404255
Unknown,Male,Ohio,39,7541,1025,8566,0.8803408826
Unknown,Male,Oklahoma,40,934,169,1103,0.846781505
Unknown,Male,Oregon,41,1319,216,1535,0.8592833876
Unknown,Male,Pennsylvania,42,6035,772,6807,0.8865873366
Unknown,Male,"Rhode Island",44,569,77,646,0.8808049536
Unknown,Male,"South Carolina",45,2312,326,2638,0.8764215315
Unknown,Male,"South Dakota",46,406,52,458,0.8864628821
Unknown,Male,Tennessee,47,2364,335,2699,0.8758799555
Unknown,Male,Texas,48,5511,920,6431,0.8569429327
Unknown,Male,Utah,49,562,106,668,0.8413173653
Unknown,Male,Vermont,50,770,97,867,0.8881199539
Unknown,Male,Virginia,51,3434,475,3909,0.8784855462
Unknown,Male,Washington,53,2548,421,2969,0.8582014146
Unknown,Male,"West Virginia",54,462,66,528,0.875
Unknown,Male,Wisconsin,55,3255,363,3618,0.899668325
Unknown,Male,Wyoming,56,345,55,400,0.8625
Unknown,Female,Alabama,1,379,70,449,0.8440979955
Unknown,Female,Alaska,2,132,19,151,0.8741721854
Unknown,Female,Arizona,4,985,159,1144,0.861013986
Unknown,Female,Arkansas,5,260,46,306,0.8496732026
Unknown,Female,California,6,6252,936,7188,0.8697829716
Unknown,Female,Colorado,8,774,123,897,0.8628762542
Unknown,Female,Connecticut,9,1148,161,1309,0.8770053476
Unknown,Female,Delaware,10,298,44,342,0.8713450292
Unknown,Female,"District of Columbia",11,97,17,114,0.850877193
Unknown,Female,Florida,12,3772,663,4435,0.8505073281
Unknown,Female,Georgia,13,1002,194,1196,0.8377926421
Unknown,Female,Hawaii,15,142,22,164,0.8658536585
Unknown,Female,Idaho,16,239,25,264,0.9053030303
