RACE_NAME,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Alabama,1,1404,174,1578,0.8897338403
Unknown,Alaska,2,424,62,486,0.8724279835
Unknown,Arizona,4,3677,431,4108,0.8950827653
Unknown,Arkansas,5,962,155,1117,0.8612354521
Unknown,California,6,16193,1918,18111,0.8940975098
Unknown,Colorado,8,2901,370,3271,0.8868847447
Unknown,Connecticut,9,3596,386,3982,0.903063787
Unknown,Delaware,10,1019,106,1125,0.9057777778
Unknown,"District of Columbia",11,242,40,282,0.8581560284
Unknown,Florida,12,13413,1644,15057,0.8908149034
Unknown,Georgia,13,3742,508,4250,0.8804705882
Unknown,Hawaii,15,362,48,410,0.8829268293
Unknown,Idaho,16,893,96,989,0.9029322548
Unknown,Illinois,17,8226,807,9033,0.91066091
Unknown,Indiana,18,5055,513,5568,0.9078663793
Unknown,Iowa,19,2571,235,2806,0.9162508909
Unknown,Kansas,20,1937,206,2143,0.9038730751
Unknown,Kentucky,21,2024,283,2307,0.8773298656
Unknown,Louisiana,22,1838,255,2093,0.8781653129
Unknown,Maine,23,1180,124,1304,0.9049079755
Unknown,Maryland,24,4593,562,5155,0.8909796314
Unknown,Massachusetts,25,7226,872,8098,0.8923190911
Unknown,Michigan,26,7403,885,8288,0.893219112
Unknown,Minnesota,27,2692,312,3004,0.896138482
Unknown,Mississippi,28,823,137,960,0.8572916667
Unknown,Missouri,29,2974,344,3318,0.8963230862
Unknown,Montana,30,828,97,925,0.8951351351
Unknown,Nebraska,31,1660,170,1830,0.9071038251
Unknown,Nevada,32,1273,174,1447,0.8797512094
Unknown,"New Hampshire",33,1622,134,1756,0.923690205
Unknown,"New Jersey",34,7182,850,8032,0.8941733068
Unknown,"New Mexico",35,795,90,885,0.8983050847
Unknown,"New York",36,15873,2361,18234,0.8705166173
Unknown,"North Carolina",37,5324,636,5960,0.8932885906
Unknown,"North Dakota",38,406,55,461,0.8806941432
Unknown,Ohio,39,10684,1165,11849,0.9016794666
Unknown,Oklahoma,40,1334,198,1532,0.8707571802
Unknown,Oregon,41,1985,269,2254,0.8806566105
Unknown,Pennsylvania,42,8963,872,9835,0.9113370615
Unknown,"Rhode Island",44,945,109,1054,0.8965844402
Unknown,"South Carolina",45,3225,394,3619,0.8911301464
Unknown,"South Dakota",46,581,59,640,0.9078125
Unknown,Tennessee,47,3295,374,3669,0.8980648678
Unknown,Texas,48,8070,1080,9150,0.8819672131
Unknown,Utah,49,840,137,977,0.8597748209
Unknown,Vermont,50,1078,107,1185,0.9097046414
Unknown,Virginia,51,5032,560,5592,0.8998569385
Unknown,Washington,53,4308,563,4871,0.884417984
Unknown,"West Virginia",54,634,74,708,0.895480226
Unknown,Wisconsin,55,4830,406,5236,0.922459893
Unknown,Wyoming,56,489,68,557,0.8779174147
"Non-Hispanic White",Alabama,1,148112,22150,170262,0.8699063796
"Non-Hispanic White",Alaska,2,16094,2241,18335,0.8777747478
"Non-Hispanic White",Arizona,4,162780,21703,184483,0.882357724
"Non-Hispanic White",Arkansas,5,110983,19134,130117,0.8529477317
"Non-Hispanic White",California,6,506720,70351,577071,0.8780895245
"Non-Hispanic White",Colorado,8,100582,13376,113958,0.8826234227
"Non-Hispanic White",Connecticut,9,103484,11340,114824,0.9012401589
"Non-Hispanic White",Delaware,10,41796,4566,46362,0.9015141711
"Non-Hispanic White","District of Columbia",11,3167,405,3572,0.8866181411
"Non-Hispanic White",Florida,12,543835,73262,617097,0.8812796043
"Non-Hispanic White",Georgia,13,206536,31868,238404,0.8663277462
"Non-Hispanic White",Hawaii,15,7988,1121,9109,0.8769348995
"Non-Hispanic White",Idaho,16,51341,7263,58604,0.8760664801
"Non-Hispanic White",Illinois,17,389171,46070,435241,0.894150597
"Non-Hispanic White",Indiana,18,249219,31961,281180,0.8863325983
"Non-Hispanic White",Iowa,19,145378,14837,160215,0.9073931904
"Non-Hispanic White",Kansas,20,111712,13781,125493,0.8901851099
"Non-Hispanic White",Kentucky,21,183710,30632,214342,0.8570882048
"Non-Hispanic White",Louisiana,22,111739,17902,129641,0.8619109695
"Non-Hispanic White",Maine,23,56220,6075,62295,0.9024801348
"Non-Hispanic White",Maryland,24,136684,16963,153647,0.8895975841
"Non-Hispanic White",Massachusetts,25,218136,24162,242298,0.9002798207
"Non-Hispanic White",Michigan,26,314841,41333,356174,0.8839527871
"Non-Hispanic White",Minnesota,27,135338,13956,149294,0.9065200209
"Non-Hispanic White",Mississippi,28,93721,17086,110807,0.8458039655
"Non-Hispanic White",Missouri,29,214555,28765,243320,0.8817811935
"Non-Hispanic White",Montana,30,42078,5199,47277,0.8900310933
"Non-Hispanic White",Nebraska,31,75959,8810,84769,0.8960704975
"Non-Hispanic White",Nevada,32,56418,8069,64487,0.8748740056
"Non-Hispanic White","New Hampshire",33,57014,6033,63047,0.9043094834
"Non-Hispanic White","New Jersey",34,253646,30442,284088,0.8928430627
"Non-Hispanic White","New Mexico",35,34932,5327,40259,0.8676817606
"Non-Hispanic White","New York",36,406688,53365,460053,0.8840024954
"Non-Hispanic White","North Carolina",37,302264,41115,343379,0.8802634989
"Non-Hispanic White","North Dakota",38,30082,3066,33148,0.9075057319
"Non-Hispanic White",Ohio,39,362497,47941,410438,0.8831955131
"Non-Hispanic White",Oklahoma,40,123949,20594,144543,0.8575233667
"Non-Hispanic White",Oregon,41,101078,14119,115197,0.8774360443
"Non-Hispanic White",Pennsylvania,42,387722,44242,431964,0.8975794279
"Non-Hispanic White","Rhode Island",44,30473,3279,33752,0.9028502015
"Non-Hispanic White","South Carolina",45,171825,24167,195992,0.8766939467
"Non-Hispanic White","South Dakota",46,37063,4120,41183,0.8999587208
"Non-Hispanic White",Tennessee,47,227645,33099,260744,0.8730593993
"Non-Hispanic White",Texas,48,505953,77652,583605,0.8669442517
"Non-Hispanic White",Utah,49,53215,8220,61435,0.8662000488
"Non-Hispanic White",Vermont,50,30969,3547,34516,0.8972360644
"Non-Hispanic White",Virginia,51,215880,27911,243791,0.8855125907
"Non-Hispanic White",Washington,53,167640,22154,189794,0.8832734438
"Non-Hispanic White","West Virginia",54,81433,12301,93734,0.8687669362
"Non-Hispanic White",Wisconsin,55,173448,16776,190224,0.9118092354
"Non-Hispanic White",Wyoming,56,21568,3183,24751,0.8713991354
"Black or African-American",Alabama,1,44620,9976,54596,0.8172759909
"Black or African-American",Alaska,2,458,122,580,0.7896551724
"Black or African-American",Arizona,4,5165,1256,6421,0.8043918393
"Black or African-American",Arkansas,5,15313,4059,19372,0.7904707826
"Black or African-American",California,6,44996,10653,55649,0.8085679886
"Black or African-American",Colorado,8,3146,758,3904,0.8058401639
"Black or African-American",Connecticut,9,10005,1900,11905,0.8404031919
"Black or African-American",Delaware,10,8171,1639,9810,0.8329255861
"Black or African-American","District of Columbia",11,9284,2157,11441,0.8114675291
"Black or African-American",Florida,12,63554,14732,78286,0.811818205
"Black or African-American",Georgia,13,69812,16670,86482,0.8072431257
"Black or African-American",Hawaii,15,227,64,291,0.7800687285
"Black or African-American",Idaho,16,144,41,185,0.7783783784
