SEX_NAME,STATE_NAME,STATE_FIPS,COUNTY_NAME,COUNTY_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Male,Alabama,1,"Autauga County",1001,645,95,740,0.8716216216
Male,Alabama,1,"Baldwin County",1003,3944,657,4601,0.8572049554
Male,Alabama,1,"Barbour County",1005,504,118,622,0.8102893891
Male,Alabama,1,"Bibb County",1007,328,76,404,0.8118811881
Male,Alabama,1,"Blount County",1009,964,177,1141,0.8448729185
Male,Alabama,1,,1010,.,0,.,1
Male,Alabama,1,"Bullock County",1011,197,46,243,0.8106995885
Male,Alabama,1,"Butler County",1013,439,103,542,0.8099630996
Male,Alabama,1,"Calhoun County",1015,1953,425,2378,0.8212783852
Male,Alabama,1,"Chambers County",1017,808,125,933,0.8660235798
Male,Alabama,1,"Cherokee County",1019,736,155,891,0.8260381594
Male,Alabama,1,"Chilton County",1021,576,127,703,0.8193456615
Male,Alabama,1,"Choctaw County",1023,411,76,487,0.8439425051
Male,Alabama,1,"Clarke County",1025,507,97,604,0.8394039735
Male,Alabama,1,"Clay County",1027,359,84,443,0.8103837472
Male,Alabama,1,"Cleburne County",1029,333,63,396,0.8409090909
Male,Alabama,1,"Coffee County",1031,717,142,859,0.8346915017
Male,Alabama,1,"Colbert County",1033,1335,295,1630,0.8190184049
Male,Alabama,1,"Conecuh County",1035,308,83,391,0.7877237852
Male,Alabama,1,"Coosa County",1037,311,68,379,0.8205804749
Male,Alabama,1,"Covington County",1039,869,180,1049,0.8284080076
Male,Alabama,1,"Crenshaw County",1041,305,50,355,0.8591549296
Male,Alabama,1,"Cullman County",1043,1966,298,2264,0.8683745583
Male,Alabama,1,"Dale County",1045,717,161,878,0.8166287016
Male,Alabama,1,"Dallas County",1047,785,228,1013,0.7749259625
Male,Alabama,1,"DeKalb County",1049,1510,291,1801,0.8384230983
Male,Alabama,1,"Elmore County",1051,1088,207,1295,0.8401544402
