SEX_NAME,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Male,Alabama,1,81397,16635,98032,0.8303105109
Male,Alaska,2,9884,2287,12171,0.8120943226
Male,Arizona,3,93865,19022,112887,0.831495212
Male,Arkansas,4,55429,12613,68042,0.8146291996
Male,California,5,407744,83845,491589,0.829440854
Male,Colorado,6,56266,10635,66901,0.8410337663
Male,Connecticut,7,56036,8800,64836,0.8642729348
Male,Delaware,8,23729,3728,27457,0.8642240594
Male,"District of Columbia",9,5364,1501,6865,0.7813546977
Male,Florida,10,329870,62199,392069,0.841357006
Male,Georgia,11,123332,26989,150321,0.8204575542
Male,Hawaii,12,15361,2733,18094,0.8489554548
Male,Idaho,13,25662,4747,30409,0.8438948995
Male,Illinois,14,215457,37376,252833,0.852171196
Male,Indiana,15,119776,20448,140224,0.8541761753
Male,Iowa,16,66866,9069,75935,0.8805689076
Male,Kansas,17,53947,8449,62396,0.8645906789
Male,Kentucky,18,87462,18379,105841,0.8263527367
Male,Louisiana,19,69267,16187,85454,0.8105764505
Male,Maine,20,26535,3795,30330,0.87487636
Male,Maryland,21,86054,16137,102191,0.8420898122
Male,Massachusetts,22,121088,19235,140323,0.8629233982
Male,Michigan,23,169431,32265,201696,0.8400315326
Male,Minnesota,24,66913,9925,76838,0.8708321403
Male,Mississippi,25,56983,14700,71683,0.7949304577
Male,Missouri,26,105038,18821,123859,0.8480449543
Male,Montana,27,20746,3463,24209,0.8569540254
Male,Nebraska,28,34960,5329,40289,0.8677306461
Male,Nevada,29,35672,7583,43255,0.8246907872
Male,"New Hampshire",30,27665,3866,31531,0.8773905046
Male,"New Jersey",31,148108,26764,174872,0.8469509127
Male,"New Mexico",32,27575,6648,34223,0.8057446746
Male,"New York",33,245120,47600,292720,0.8373872643
Male,"North Carolina",34,170475,33216,203691,0.8369294667
Male,"North Dakota",35,13922,1828,15750,0.8839365079
Male,Ohio,36,188050,33403,221453,0.8491643825
Male,Oklahoma,37,62662,13647,76309,0.8211613309
Male,Oregon,38,51471,9762,61233,0.8405761599
Male,Pennsylvania,39,199285,32155,231440,0.8610655029
Male,"Rhode Island",41,16513,2511,19024,0.868008831
Male,"South Carolina",42,97686,19825,117511,0.8312923896
Male,"South Dakota",43,17237,2618,19855,0.8681440443
Male,Tennessee,44,114944,21943,136887,0.8396998985
Male,Texas,45,331460,72303,403763,0.820927128
Male,Utah,46,26725,5555,32280,0.8279120198
Male,Vermont,47,15054,2246,17300,0.8701734104
Male,Virginia,49,123379,22140,145519,0.8478549193
Male,Washington,50,91416,16874,108290,0.8441776711
Male,"West Virginia",51,37621,7140,44761,0.8404861375
Male,Wisconsin,52,88563,12153,100716,0.8793339688
Male,Wyoming,53,10614,2014,12628,0.8405131454
Female,Alabama,1,108950,22546,131496,0.8285423131
Female,Alaska,2,10307,2198,12505,0.8242303079
Female,Arizona,3,100972,20254,121226,0.8329236302
Female,Arkansas,4,70504,16007,86511,0.8149715065
Female,California,5,488394,95931,584325,0.835825953
Female,Colorado,6,61836,11689,73525,0.8410200612
Female,Connecticut,7,70158,10959,81117,0.8648988498
Female,Delaware,8,28214,4611,32825,0.8595277989
Female,"District of Columbia",9,7852,2051,9903,0.7928910431
Female,Florida,10,373055,72658,445713,0.8369847862
Female,Georgia,11,158225,35363,193588,0.8173285534
Female,Hawaii,12,18227,3071,21298,0.8558080571
Female,Idaho,13,28456,5242,33698,0.8444418066
Female,Illinois,14,275120,47963,323083,0.8515458876
Female,Indiana,15,151738,26660,178398,0.8505588628
Female,Iowa,16,83218,10741,93959,0.8856841814
Female,Kansas,17,67838,10770,78608,0.8629910442
Female,Kentucky,18,104310,22247,126557,0.8242135955
Female,Louisiana,19,90362,21374,111736,0.808709816
Female,Maine,20,30587,4125,34712,0.881165015
Female,Maryland,21,115014,22288,137302,0.8376717018
Female,Massachusetts,22,141470,21976,163446,0.8655458072
Female,Michigan,23,203444,38744,242188,0.8400251045
Female,Minnesota,24,78780,10877,89657,0.8786820884
Female,Mississippi,25,78690,20177,98867,0.7959177481
Female,Missouri,26,129172,23080,152252,0.8484092163
Female,Montana,27,22937,3803,26740,0.8577786088
Female,Nebraska,28,45466,6743,52209,0.8708460227
Female,Nevada,29,40857,8836,49693,0.8221882358
Female,"New Hampshire",30,31089,4315,35404,0.8781211163
Female,"New Jersey",31,190040,34371,224411,0.8468390587
Female,"New Mexico",32,32279,7665,39944,0.8081063489
Female,"New York",33,311330,60926,372256,0.8363330611
Female,"North Carolina",34,216959,42811,259770,0.83519652
Female,"North Dakota",35,17102,2225,19327,0.8848760801
Female,Ohio,36,220827,40213,261040,0.8459508121
Female,Oklahoma,37,81004,18549,99553,0.8136771368
Female,Oregon,38,57902,10674,68576,0.8443478768
Female,Pennsylvania,39,239112,37609,276721,0.8640905461
Female,"Rhode Island",41,20214,2966,23180,0.8720448663
Female,"South Carolina",42,123361,25864,149225,0.8266778355
Female,"South Dakota",43,21008,3131,24139,0.870292887
Female,Tennessee,44,141551,27738,169289,0.8361500157
Female,Texas,45,417491,93749,511240,0.816624286
Female,Utah,46,30014,6307,36321,0.8263538999
Female,Vermont,47,16798,2388,19186,0.8755342437
Female,Virginia,49,154768,28266,183034,0.8455696756
Female,Washington,50,103689,18894,122583,0.8458676978
Female,"West Virginia",51,45031,8459,53490,0.8418582913
Female,Wisconsin,52,101338,13558,114896,0.8819976326
Female,Wyoming,53,12188,2334,14522,0.8392783363
