AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,Alabama,1,924,355,1279,0.7224394058
_18-39,Alaska,2,70,17,87,0.8045977011
_18-39,Arizona,4,464,195,659,0.7040971168
_18-39,Arkansas,5,645,296,941,0.6854410202
_18-39,California,6,2975,912,3887,0.765371752
_18-39,Colorado,8,414,110,524,0.7900763359
_18-39,Connecticut,9,497,93,590,0.8423728814
_18-39,Delaware,10,125,36,161,0.7763975155
_18-39,"District of Columbia",11,55,22,77,0.7142857143
_18-39,Florida,12,2385,769,3154,0.7561826252
_18-39,Georgia,13,1070,450,1520,0.7039473684
_18-39,Hawaii,15,73,22,95,0.7684210526
_18-39,Idaho,16,242,60,302,0.8013245033
_18-39,Illinois,17,1610,506,2116,0.7608695652
_18-39,Indiana,18,1214,375,1589,0.7640025173
_18-39,Iowa,19,637,130,767,0.8305084746
_18-39,Kansas,20,569,117,686,0.8294460641
_18-39,Kentucky,21,1055,417,1472,0.7167119565
_18-39,Louisiana,22,857,408,1265,0.6774703557
_18-39,Maine,23,323,60,383,0.8433420366
_18-39,Maryland,24,786,239,1025,0.7668292683
_18-39,Massachusetts,25,1029,300,1329,0.7742663657
_18-39,Michigan,26,1635,608,2243,0.7289344628
_18-39,Minnesota,27,795,173,968,0.8212809917
_18-39,Mississippi,28,607,243,850,0.7141176471
_18-39,Missouri,29,1391,397,1788,0.7779642058
_18-39,Montana,30,138,28,166,0.8313253012
_18-39,Nebraska,31,350,79,429,0.8158508159
_18-39,Nevada,32,219,95,314,0.6974522293
_18-39,"New Hampshire",33,225,53,278,0.809352518
_18-39,"New Jersey",34,853,305,1158,0.7366148532
_18-39,"New Mexico",35,246,100,346,0.710982659
_18-39,"New York",36,2262,730,2992,0.7560160428
_18-39,"North Carolina",37,1519,555,2074,0.7324011572
_18-39,"North Dakota",38,124,17,141,0.8794326241
_18-39,Ohio,39,2012,656,2668,0.7541229385
_18-39,Oklahoma,40,623,199,822,0.7579075426
_18-39,Oregon,41,385,97,482,0.7987551867
_18-39,Pennsylvania,42,1803,530,2333,0.7728246892
_18-39,"Rhode Island",44,158,41,199,0.7939698492
_18-39,"South Carolina",45,709,281,990,0.7161616162
_18-39,"South Dakota",46,152,32,184,0.8260869565
_18-39,Tennessee,47,1045,340,1385,0.7545126354
