RACE_NAME,AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,_18-39,Alabama,1,.,.,.,0.75
Unknown,_18-39,Alaska,2,.,0,.,1
Unknown,_18-39,Arizona,4,.,.,.,0.6111111111
Unknown,_18-39,Arkansas,5,.,.,.,0.5714285714
Unknown,_18-39,California,6,42,13,55,0.7636363636
Unknown,_18-39,Colorado,8,.,.,.,0.7
Unknown,_18-39,Connecticut,9,.,.,.,0.8823529412
Unknown,_18-39,Delaware,10,.,0,.,1
Unknown,_18-39,"District of Columbia",11,.,0,.,1
Unknown,_18-39,Florida,12,66,30,96,0.6875
Unknown,_18-39,Georgia,13,19,11,30,0.6333333333
Unknown,_18-39,Hawaii,15,.,0,.,1
Unknown,_18-39,Idaho,16,11,0,11,1
Unknown,_18-39,Illinois,17,39,14,53,0.7358490566
Unknown,_18-39,Indiana,18,53,15,68,0.7794117647
Unknown,_18-39,Iowa,19,.,.,.,0.8979591837
Unknown,_18-39,Kansas,20,.,.,.,0.8333333333
Unknown,_18-39,Kentucky,21,.,.,.,0.72
Unknown,_18-39,Louisiana,22,.,.,.,0.7297297297
Unknown,_18-39,Maine,23,.,.,.,0.8235294118
Unknown,_18-39,Maryland,24,.,.,.,0.8
Unknown,_18-39,Massachusetts,25,61,18,79,0.7721518987
Unknown,_18-39,Michigan,26,40,15,55,0.7272727273
Unknown,_18-39,Minnesota,27,42,16,58,0.724137931
Unknown,_18-39,Mississippi,28,.,.,.,0.619047619
Unknown,_18-39,Missouri,29,52,14,66,0.7878787879
Unknown,_18-39,Montana,30,.,0,.,1
Unknown,_18-39,Nebraska,31,.,.,.,0.8
Unknown,_18-39,Nevada,32,.,.,.,0.875
Unknown,_18-39,"New Hampshire",33,.,.,.,0.875
Unknown,_18-39,"New Jersey",34,.,.,.,0.75
Unknown,_18-39,"New Mexico",35,.,0,.,1
Unknown,_18-39,"New York",36,77,31,108,0.712962963
Unknown,_18-39,"North Carolina",37,35,13,48,0.7291666667
Unknown,_18-39,"North Dakota",38,.,0,.,1
Unknown,_18-39,Ohio,39,71,28,99,0.7171717172
Unknown,_18-39,Oklahoma,40,.,.,.,0.8
Unknown,_18-39,Oregon,41,.,.,.,0.6923076923
Unknown,_18-39,Pennsylvania,42,75,15,90,0.8333333333
Unknown,_18-39,"Rhode Island",44,.,.,.,0.3333333333
Unknown,_18-39,"South Carolina",45,.,.,.,0.7916666667
Unknown,_18-39,"South Dakota",46,.,.,.,0.875
Unknown,_18-39,Tennessee,47,.,.,.,0.7692307692
Unknown,_18-39,Texas,48,48,17,65,0.7384615385
Unknown,_18-39,Utah,49,.,.,.,0.9090909091
Unknown,_18-39,Vermont,50,.,.,.,0.7142857143
Unknown,_18-39,Virginia,51,.,.,.,0.8
Unknown,_18-39,Washington,53,.,.,.,0.7647058824
Unknown,_18-39,"West Virginia",54,.,.,.,0.7058823529
Unknown,_18-39,Wisconsin,55,.,.,.,0.8301886792
Unknown,_18-39,Wyoming,56,.,0,.,1
Unknown,_40-64,Alabama,1,77,25,102,0.7549019608
Unknown,_40-64,Alaska,2,.,.,.,0.875
Unknown,_40-64,Arizona,4,63,14,77,0.8181818182
Unknown,_40-64,Arkansas,5,35,11,46,0.7608695652
Unknown,_40-64,California,6,470,94,564,0.8333333333
Unknown,_40-64,Colorado,8,68,12,80,0.85
Unknown,_40-64,Connecticut,9,143,33,176,0.8125
Unknown,_40-64,Delaware,10,.,.,.,0.8125
Unknown,_40-64,"District of Columbia",11,.,.,.,0.7142857143
Unknown,_40-64,Florida,12,382,97,479,0.7974947808
Unknown,_40-64,Georgia,13,156,28,184,0.847826087
Unknown,_40-64,Hawaii,15,.,.,.,0.8235294118
Unknown,_40-64,Idaho,16,.,.,.,0.7941176471
Unknown,_40-64,Illinois,17,294,59,353,0.8328611898
Unknown,_40-64,Indiana,18,148,39,187,0.7914438503
Unknown,_40-64,Iowa,19,73,16,89,0.8202247191
Unknown,_40-64,Kansas,20,.,.,.,0.8461538462
Unknown,_40-64,Kentucky,21,112,28,140,0.8
Unknown,_40-64,Louisiana,22,79,22,101,0.7821782178
Unknown,_40-64,Maine,23,.,.,.,0.8611111111
Unknown,_40-64,Maryland,24,105,20,125,0.84
Unknown,_40-64,Massachusetts,25,440,104,544,0.8088235294
Unknown,_40-64,Michigan,26,477,104,581,0.8209982788
Unknown,_40-64,Minnesota,27,143,14,157,0.9108280255
Unknown,_40-64,Mississippi,28,35,15,50,0.7
Unknown,_40-64,Missouri,29,162,29,191,0.8481675393
Unknown,_40-64,Montana,30,.,.,.,0.8947368421
Unknown,_40-64,Nebraska,31,.,.,.,0.847826087
Unknown,_40-64,Nevada,32,.,.,.,0.8181818182
Unknown,_40-64,"New Hampshire",33,.,.,.,0.9444444444
Unknown,_40-64,"New Jersey",34,274,50,324,0.8456790123
Unknown,_40-64,"New Mexico",35,.,.,.,0.875
Unknown,_40-64,"New York",36,754,197,951,0.792849632
Unknown,_40-64,"North Carolina",37,192,48,240,0.8
Unknown,_40-64,"North Dakota",38,.,.,.,0.8333333333
Unknown,_40-64,Ohio,39,315,78,393,0.8015267176
Unknown,_40-64,Oklahoma,40,43,15,58,0.7413793103
Unknown,_40-64,Oregon,41,65,14,79,0.8227848101
Unknown,_40-64,Pennsylvania,42,316,73,389,0.8123393316
Unknown,_40-64,"Rhode Island",44,69,17,86,0.8023255814
Unknown,_40-64,"South Carolina",45,88,20,108,0.8148148148
Unknown,_40-64,"South Dakota",46,.,.,.,0.9166666667
Unknown,_40-64,Tennessee,47,114,37,151,0.7549668874
Unknown,_40-64,Texas,48,155,32,187,0.8288770053
Unknown,_40-64,Utah,49,.,.,.,0.8787878788
Unknown,_40-64,Vermont,50,.,.,.,0.8780487805
Unknown,_40-64,Virginia,51,122,30,152,0.8026315789
Unknown,_40-64,Washington,53,120,26,146,0.8219178082
Unknown,_40-64,"West Virginia",54,56,12,68,0.8235294118
Unknown,_40-64,Wisconsin,55,123,24,147,0.8367346939
Unknown,_40-64,Wyoming,56,.,.,.,0.9090909091
Unknown,_65-69,Alabama,1,407,63,470,0.8659574468
Unknown,_65-69,Alaska,2,148,23,171,0.865497076
Unknown,_65-69,Arizona,4,1357,187,1544,0.8788860104
Unknown,_65-69,Arkansas,5,349,52,401,0.8703241895
Unknown,_65-69,California,6,5616,705,6321,0.8884670147
Unknown,_65-69,Colorado,8,1247,161,1408,0.8856534091
Unknown,_65-69,Connecticut,9,1337,168,1505,0.888372093
Unknown,_65-69,Delaware,10,455,56,511,0.8904109589
Unknown,_65-69,"District of Columbia",11,116,18,134,0.8656716418
Unknown,_65-69,Florida,12,4843,710,5553,0.8721411849
Unknown,_65-69,Georgia,13,1512,221,1733,0.8724754761
Unknown,_65-69,Hawaii,15,110,20,130,0.8461538462
Unknown,_65-69,Idaho,16,287,50,337,0.8516320475
Unknown,_65-69,Illinois,17,3479,399,3878,0.8971119134
Unknown,_65-69,Indiana,18,2024,233,2257,0.8967656181
Unknown,_65-69,Iowa,19,1053,110,1163,0.9054170249
Unknown,_65-69,Kansas,20,854,100,954,0.8951781971
Unknown,_65-69,Kentucky,21,811,105,916,0.885371179
Unknown,_65-69,Louisiana,22,789,129,918,0.8594771242
Unknown,_65-69,Maine,23,365,46,411,0.8880778589
Unknown,_65-69,Maryland,24,1707,225,1932,0.8835403727
Unknown,_65-69,Massachusetts,25,2740,352,3092,0.8861578266
Unknown,_65-69,Michigan,26,2641,319,2960,0.8922297297
Unknown,_65-69,Minnesota,27,1082,124,1206,0.8971807629
Unknown,_65-69,Mississippi,28,308,52,360,0.8555555556
Unknown,_65-69,Missouri,29,1141,153,1294,0.8817619784
Unknown,_65-69,Montana,30,341,38,379,0.8997361478
Unknown,_65-69,Nebraska,31,780,91,871,0.8955223881
Unknown,_65-69,Nevada,32,416,61,477,0.8721174004
Unknown,_65-69,"New Hampshire",33,614,62,676,0.9082840237
Unknown,_65-69,"New Jersey",34,2343,357,2700,0.8677777778
Unknown,_65-69,"New Mexico",35,290,37,327,0.8868501529
Unknown,_65-69,"New York",36,5415,928,6343,0.8536969888
Unknown,_65-69,"North Carolina",37,2030,315,2345,0.8656716418
Unknown,_65-69,"North Dakota",38,184,23,207,0.8888888889
Unknown,_65-69,Ohio,39,4618,565,5183,0.8909897743
Unknown,_65-69,Oklahoma,40,466,64,530,0.879245283
Unknown,_65-69,Oregon,41,729,104,833,0.87515006
Unknown,_65-69,Pennsylvania,42,3529,386,3915,0.9014048531
Unknown,_65-69,"Rhode Island",44,339,45,384,0.8828125
Unknown,_65-69,"South Carolina",45,1403,188,1591,0.8818353237
Unknown,_65-69,"South Dakota",46,257,26,283,0.9081272085
Unknown,_65-69,Tennessee,47,1225,171,1396,0.8775071633
Unknown,_65-69,Texas,48,3129,445,3574,0.8754896475
Unknown,_65-69,Utah,49,313,55,368,0.8505434783
Unknown,_65-69,Vermont,50,437,39,476,0.9180672269
Unknown,_65-69,Virginia,51,2079,250,2329,0.892657793
Unknown,_65-69,Washington,53,1389,189,1578,0.8802281369
Unknown,_65-69,"West Virginia",54,198,33,231,0.8571428571
Unknown,_65-69,Wisconsin,55,2314,203,2517,0.9193484307
Unknown,_65-69,Wyoming,56,182,43,225,0.8088888889
Unknown,_70-74,Alabama,1,922,109,1031,0.8942774006
Unknown,_70-74,Alaska,2,230,24,254,0.905511811
Unknown,_70-74,Arizona,4,2645,296,2941,0.8993539612
Unknown,_70-74,Arkansas,5,528,73,601,0.8785357737
Unknown,_70-74,California,6,10081,1281,11362,0.8872557648
Unknown,_70-74,Colorado,8,2143,268,2411,0.8888428038
Unknown,_70-74,Connecticut,9,2827,314,3141,0.900031837
Unknown,_70-74,Delaware,10,859,79,938,0.9157782516
Unknown,_70-74,"District of Columbia",11,199,22,221,0.9004524887
Unknown,_70-74,Florida,12,9641,1259,10900,0.8844954128
Unknown,_70-74,Georgia,13,2433,331,2764,0.8802460203
Unknown,_70-74,Hawaii,15,230,23,253,0.9090909091
Unknown,_70-74,Idaho,16,512,51,563,0.9094138544
Unknown,_70-74,Illinois,17,5671,586,6257,0.9063448937
Unknown,_70-74,Indiana,18,3250,356,3606,0.9012756517
Unknown,_70-74,Iowa,19,1763,147,1910,0.9230366492
Unknown,_70-74,Kansas,20,1256,119,1375,0.9134545455
Unknown,_70-74,Kentucky,21,1217,141,1358,0.8961708395
Unknown,_70-74,Louisiana,22,1089,152,1241,0.8775181305
Unknown,_70-74,Maine,23,839,97,936,0.8963675214
