RACE_NAME,ENTLMT_RSN_CURR,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Aged,Alabama,1,1452,191,1643,0.8837492392
Unknown,Aged,Alaska,2,417,54,471,0.8853503185
Unknown,Aged,Arizona,4,4260,517,4777,0.8917730793
Unknown,Aged,Arkansas,5,944,135,1079,0.874884152
Unknown,Aged,California,6,19639,2469,22108,0.8883209698
Unknown,Aged,Colorado,8,3583,462,4045,0.8857849197
Unknown,Aged,Connecticut,9,4498,521,5019,0.896194461
Unknown,Aged,Delaware,10,1396,145,1541,0.9059052563
Unknown,Aged,"District of Columbia",11,345,49,394,0.8756345178
Unknown,Aged,Florida,12,15955,2226,18181,0.8775644904
Unknown,Aged,Georgia,13,4249,603,4852,0.875721352
Unknown,Aged,Hawaii,15,415,54,469,0.8848614072
Unknown,Aged,Idaho,16,860,112,972,0.8847736626
Unknown,Aged,Illinois,17,9712,1056,10768,0.9019316493
Unknown,Aged,Indiana,18,5595,614,6209,0.9011112901
Unknown,Aged,Iowa,19,3024,276,3300,0.9163636364
Unknown,Aged,Kansas,20,2247,231,2478,0.906779661
Unknown,Aged,Kentucky,21,2165,268,2433,0.8898479244
Unknown,Aged,Louisiana,22,2031,310,2341,0.8675779581
Unknown,Aged,Maine,23,1303,158,1461,0.8918548939
Unknown,Aged,Maryland,24,5417,759,6176,0.8771049223
Unknown,Aged,Massachusetts,25,9001,1126,10127,0.8888120865
Unknown,Aged,Michigan,26,8244,973,9217,0.8944341977
Unknown,Aged,Minnesota,27,3208,355,3563,0.9003648611
Unknown,Aged,Mississippi,28,841,129,970,0.8670103093
Unknown,Aged,Missouri,29,3253,388,3641,0.8934358693
Unknown,Aged,Montana,30,882,100,982,0.8981670061
Unknown,Aged,Nebraska,31,1894,193,2087,0.9075227599
Unknown,Aged,Nevada,32,1396,214,1610,0.8670807453
Unknown,Aged,"New Hampshire",33,1934,171,2105,0.9187648456
Unknown,Aged,"New Jersey",34,8329,1229,9558,0.8714166144
Unknown,Aged,"New Mexico",35,851,115,966,0.880952381
Unknown,Aged,"New York",36,18843,3069,21912,0.859939759
Unknown,Aged,"North Carolina",37,5946,829,6775,0.8776383764
Unknown,Aged,"North Dakota",38,464,54,518,0.8957528958
Unknown,Aged,Ohio,39,12162,1488,13650,0.890989011
Unknown,Aged,Oklahoma,40,1346,169,1515,0.8884488449
Unknown,Aged,Oregon,41,2274,271,2545,0.8935166994
Unknown,Aged,Pennsylvania,42,10551,1119,11670,0.9041131105
Unknown,Aged,"Rhode Island",44,1040,146,1186,0.8768971332
Unknown,Aged,"South Carolina",45,3906,482,4388,0.8901549681
Unknown,Aged,"South Dakota",46,669,65,734,0.9114441417
Unknown,Aged,Tennessee,47,3415,455,3870,0.8824289406
Unknown,Aged,Texas,48,8933,1230,10163,0.8789727443
Unknown,Aged,Utah,49,963,130,1093,0.8810612992
Unknown,Aged,Vermont,50,1253,115,1368,0.9159356725
Unknown,Aged,Virginia,51,6135,708,6843,0.8965366068
Unknown,Aged,Washington,53,4787,651,5438,0.8802868702
Unknown,Aged,"West Virginia",54,593,72,665,0.8917293233
Unknown,Aged,Wisconsin,55,5882,518,6400,0.9190625
Unknown,Aged,Wyoming,56,473,81,554,0.8537906137
Unknown,Disabled,Alabama,1,101,33,134,0.7537313433
Unknown,Disabled,Alaska,2,.,.,.,0.8888888889
Unknown,Disabled,Arizona,4,74,21,95,0.7789473684
Unknown,Disabled,Arkansas,5,47,20,67,0.7014925373
Unknown,Disabled,California,6,506,106,612,0.8267973856
Unknown,Disabled,Colorado,8,81,17,98,0.8265306122
Unknown,Disabled,Connecticut,9,157,35,192,0.8177083333
Unknown,Disabled,Delaware,10,.,.,.,0.8285714286
