RACE_NAME,ENTLMT_RSN_CURR,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Aged,219046,27876,246922,0.8871060497
Unknown,Disabled,7934,1889,9823,0.8076962231
Unknown,ESRD,44,17,61,0.7213114754
Unknown,"Disabled and ESRD",.,.,.,0
"Non-Hispanic White",Aged,8794603,1198654,9993257,0.8800537202
"Non-Hispanic White",Disabled,827269,169907,997176,0.8296118238
"Non-Hispanic White",ESRD,683,121,804,0.8495024876
"Non-Hispanic White","Disabled and ESRD",619,160,779,0.7946084724
"Black or African-American",Aged,840172,211316,1051488,0.7990314678
"Black or African-American",Disabled,236595,78343,314938,0.7512431018
"Black or African-American",ESRD,485,138,623,0.7784911717
"Black or African-American","Disabled and ESRD",505,201,706,0.7152974504
Other,Aged,90580,14618,105198,0.8610429856
Other,Disabled,6366,1221,7587,0.8390668248
Other,ESRD,.,.,.,0.8235294118
Other,"Disabled and ESRD",.,.,.,0
"Asian/Pacific Islander",Aged,397407,64616,462023,0.8601454906
"Asian/Pacific Islander",Disabled,22784,4889,27673,0.8233295992
"Asian/Pacific Islander",ESRD,197,33,230,0.8565217391
"Asian/Pacific Islander","Disabled and ESRD",.,.,.,0.8333333333
Hispanic,Aged,716946,164721,881667,0.8131709591
Hispanic,Disabled,128305,34798,163103,0.7866501536
Hispanic,ESRD,466,128,594,0.7845117845
Hispanic,"Disabled and ESRD",197,56,253,0.7786561265
"American Indian / Alaska Native",Aged,28292,9991,38283,0.7390225426
"American Indian / Alaska Native",Disabled,8920,3612,12532,0.7117778487
"American Indian / Alaska Native",ESRD,.,.,.,0.6315789474
"American Indian / Alaska Native","Disabled and ESRD",.,.,.,0.2666666667
