RACE_NAME,SEX_NAME,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Male,150464,22867,173331,0.8680732241
Unknown,Female,70474,13007,83481,0.8441920916
"Non-Hispanic White",Male,4447017,735071,5182088,0.8581515791
"Non-Hispanic White",Female,4897826,912102,5809928,0.8430097585
"Black or African-American",Male,396620,130823,527443,0.7519675112
"Black or African-American",Female,633234,207078,840312,0.7535701025
Other,Male,49657,9681,59338,0.8368499107
Other,Female,44134,9339,53473,0.8253511118
"Asian/Pacific Islander",Male,180042,36625,216667,0.8309617985
"Asian/Pacific Islander",Female,227277,46012,273289,0.8316361068
Hispanic,Male,354555,101670,456225,0.7771494328
Hispanic,Female,455055,134337,589392,0.7720752911
"American Indian / Alaska Native",Male,15362,6321,21683,0.7084812987
"American Indian / Alaska Native",Female,20228,8938,29166,0.6935472811
