RACE_NAME,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,Alabama,1,1553,224,1777,0.8739448509
Unknown,Alaska,2,433,56,489,0.8854805726
Unknown,Arizona,4,4334,538,4872,0.8895730706
Unknown,Arkansas,5,991,155,1146,0.8647469459
Unknown,California,6,20152,2577,22729,0.8866206168
Unknown,Colorado,8,3665,479,4144,0.8844111969
Unknown,Connecticut,9,4656,556,5212,0.8933231005
Unknown,Delaware,10,1425,151,1576,0.9041878173
Unknown,"District of Columbia",11,355,53,408,0.8700980392
Unknown,Florida,12,16403,2353,18756,0.8745468117
Unknown,Georgia,13,4424,642,5066,0.8732727991
Unknown,Hawaii,15,432,57,489,0.8834355828
Unknown,Idaho,16,898,119,1017,0.8829891839
Unknown,Illinois,17,10044,1129,11173,0.8989528327
Unknown,Indiana,18,5795,668,6463,0.8966424261
Unknown,Iowa,19,3141,297,3438,0.9136125654
Unknown,Kansas,20,2311,243,2554,0.9048551292
Unknown,Kentucky,21,2295,303,2598,0.8833718245
Unknown,Louisiana,22,2137,342,2479,0.8620411456
Unknown,Maine,23,1379,171,1550,0.8896774194
Unknown,Maryland,24,5549,786,6335,0.8759273875
Unknown,Massachusetts,25,9502,1247,10749,0.8839892083
Unknown,Michigan,26,8761,1092,9853,0.8891708109
Unknown,Minnesota,27,3393,385,3778,0.8980942298
Unknown,Mississippi,28,889,152,1041,0.8539865514
Unknown,Missouri,29,3467,431,3898,0.8894304772
Unknown,Montana,30,903,102,1005,0.8985074627
Unknown,Nebraska,31,1945,203,2148,0.9054934823
Unknown,Nevada,32,1439,223,1662,0.8658243081
Unknown,"New Hampshire",33,1999,176,2175,0.9190804598
Unknown,"New Jersey",34,8628,1288,9916,0.8701089149
Unknown,"New Mexico",35,880,118,998,0.8817635271
Unknown,"New York",36,19674,3297,22971,0.8564712028
Unknown,"North Carolina",37,6173,890,7063,0.8739912219
