state_fips_code,COUNTY_FIPS,rate
01,01001,0.097
01,01003,0.091
01,01005,0.134
01,01007,0.121
01,01009,0.099
01,01011,0.164
01,01013,0.167
01,01015,0.108
01,01017,0.186
01,01019,0.118
01,01021,0.099
01,01023,0.127
01,01025,0.17
01,01027,0.159
01,01029,0.104
01,01031,0.085
01,01033,0.114
01,01035,0.195
01,01037,0.14
01,01039,0.101
01,01041,0.097
01,01043,0.096
01,01045,0.093
01,01047,0.211
01,01049,0.143
01,01051,0.09
01,01053,0.129
01,01055,0.107
01,01057,0.128
01,01059,0.123
01,01061,0.1
01,01063,0.147
01,01065,0.127
01,01067,0.099
01,01069,0.089
01,01071,0.118
01,01073,0.107
01,01075,0.148
01,01077,0.105
01,01079,0.136
01,01081,0.086
01,01083,0.093
01,01085,0.185
01,01087,0.114
01,01089,0.075
01,01091,0.148
01,01093,0.152
01,01095,0.092
01,01097,0.111
01,01099,0.187
01,01101,0.102
01,01103,0.104
01,01105,0.198
01,01107,0.13
01,01109,0.087
01,01111,0.151
01,01113,0.126
01,01115,0.107
01,01117,0.076
01,01119,0.139
01,01121,0.136
01,01123,0.137
01,01125,0.09
01,01127,0.119
01,01129,0.151
01,01131,0.256
01,01133,0.175
02,02013,0.101
02,02016,0.084
02,02020,0.07
02,02050,0.148
02,02060,0.036
02,02068,0.034
02,02070,0.084
02,02090,0.069
02,02100,0.062
02,02110,0.057
02,02122,0.097
02,02130,0.061
02,02150,0.066
02,02164,0.059
02,02170,0.088
02,02180,0.121
02,02185,0.057
02,02188,0.132
02,02201,0.136
02,02220,0.059
02,02232,0.073
02,02240,0.081
02,02261,0.064
02,02270,0.204
02,02280,0.098
02,02282,0.063
02,02290,0.136
04,04001,0.148
04,04003,0.074
04,04005,0.077
04,04007,0.109
04,04009,0.144
04,04011,0.215
04,04012,0.089
04,04013,0.085
04,04015,0.102
04,04017,0.142
04,04019,0.084
04,04021,0.118
04,04023,0.172
04,04025,0.095
04,04027,0.242
05,05001,0.143
05,05003,0.091
05,05005,0.082
05,05007,0.053
05,05009,0.064
05,05011,0.078
05,05013,0.062
05,05015,0.043
05,05017,0.096
05,05019,0.063
05,05021,0.104
05,05023,0.059
05,05025,0.06
05,05027,0.081
05,05029,0.065
05,05031,0.059
05,05033,0.066
05,05035,0.099
05,05037,0.071
05,05039,0.076
05,05041,0.099
05,05043,0.091
05,05045,0.06
05,05047,0.059
05,05049,0.061
05,05051,0.066
05,05053,0.057
05,05055,0.082
05,05057,0.086
05,05059,0.073
05,05061,0.072
05,05063,0.078
05,05065,0.077
05,05067,0.092
05,05069,0.092
05,05071,0.061
05,05073,0.086
05,05075,0.079
05,05077,0.082
05,05079,0.082
05,05081,0.056
05,05083,0.077
05,05085,0.052
05,05087,0.053
05,05089,0.112
05,05091,0.045
05,05093,0.113
05,05095,0.074
05,05097,0.058
05,05099,0.087
05,05101,0.062
05,05103,0.071
05,05105,0.056
05,05107,0.088
05,05109,0.063
05,05111,0.075
05,05113,0.064
05,05115,0.062
05,05117,0.067
05,05119,0.06
05,05121,0.073
05,05123,0.094
05,05125,0.058
05,05127,0.063
05,05129,0.059
05,05131,0.062
05,05133,0.051
05,05135,0.078
05,05137,0.066
05,05139,0.095
05,05141,0.091
05,05143,0.05
05,05145,0.067
05,05147,0.091
05,05149,0.064
06,06001,0.113
06,06003,0.152
06,06005,0.121
06,06007,0.122
06,06009,0.143
06,06011,0.145
06,06013,0.112
06,06015,0.119
06,06017,0.112
06,06019,0.141
06,06021,0.138
06,06023,0.103
06,06025,0.301
06,06027,0.095
06,06029,0.139
06,06031,0.139
06,06033,0.147
06,06035,0.118
06,06037,0.127
06,06039,0.123
06,06041,0.08
06,06043,0.088
06,06045,0.101
06,06047,0.157
06,06049,0.111
06,06051,0.103
06,06053,0.1
06,06055,0.087
06,06057,0.109
06,06059,0.094
06,06061,0.113
06,06063,0.139
06,06065,0.147
06,06067,0.122
06,06069,0.125
06,06071,0.136
06,06073,0.102
06,06075,0.097
06,06077,0.155
06,06079,0.09
06,06081,0.09
06,06083,0.085
06,06085,0.118
06,06087,0.102
06,06089,0.147
06,06091,0.137
06,06093,0.135
06,06095,0.115
06,06097,0.099
