state_fips,county_fips,county_name,age,population,population_pct
01,01001,"Autauga County, Alabama",0-9,6916.0,11.5
01,01001,"Autauga County, Alabama",10-19,8531.0,14.2
01,01001,"Autauga County, Alabama",20-29,7047.0,11.8
01,01001,"Autauga County, Alabama",30-39,8095.0,13.5
01,01001,"Autauga County, Alabama",40-49,7770.0,13.0
01,01001,"Autauga County, Alabama",50-59,8212.0,13.7
01,01001,"Autauga County, Alabama",60-69,6598.0,11.0
01,01001,"Autauga County, Alabama",70-79,4828.0,8.1
01,01001,"Autauga County, Alabama",80+,1950.0,3.3
01,01001,"Autauga County, Alabama",All,59947.0,100.0
01,01003,"Baldwin County, Alabama",0-9,26012.0,10.5
01,01003,"Baldwin County, Alabama",10-19,31184.0,12.6
01,01003,"Baldwin County, Alabama",20-29,25243.0,10.2
01,01003,"Baldwin County, Alabama",30-39,29154.0,11.8
01,01003,"Baldwin County, Alabama",40-49,30223.0,12.2
01,01003,"Baldwin County, Alabama",50-59,31775.0,12.9
01,01003,"Baldwin County, Alabama",60-69,36417.0,14.7
01,01003,"Baldwin County, Alabama",70-79,26006.0,10.5
01,01003,"Baldwin County, Alabama",80+,10975.0,4.4
01,01003,"Baldwin County, Alabama",All,246989.0,100.0
01,01005,"Barbour County, Alabama",0-9,2790.0,11.3
01,01005,"Barbour County, Alabama",10-19,2931.0,11.9
01,01005,"Barbour County, Alabama",20-29,2979.0,12.1
01,01005,"Barbour County, Alabama",30-39,3281.0,13.3
01,01005,"Barbour County, Alabama",40-49,2952.0,12.0
01,01005,"Barbour County, Alabama",50-59,3208.0,13.0
01,01005,"Barbour County, Alabama",60-69,3206.0,13.0
01,01005,"Barbour County, Alabama",70-79,2324.0,9.4
01,01005,"Barbour County, Alabama",80+,972.0,3.9
01,01005,"Barbour County, Alabama",All,24643.0,100.0
01,01007,"Bibb County, Alabama",0-9,2314.0,10.5
01,01007,"Bibb County, Alabama",10-19,2615.0,11.8
01,01007,"Bibb County, Alabama",20-29,2788.0,12.6
01,01007,"Bibb County, Alabama",30-39,2809.0,12.7
01,01007,"Bibb County, Alabama",40-49,3241.0,14.6
01,01007,"Bibb County, Alabama",50-59,3336.0,15.1
01,01007,"Bibb County, Alabama",60-69,2441.0,11.0
01,01007,"Bibb County, Alabama",70-79,1791.0,8.1
01,01007,"Bibb County, Alabama",80+,795.0,3.6
01,01007,"Bibb County, Alabama",All,22130.0,100.0
01,01009,"Blount County, Alabama",0-9,6954.0,11.7
01,01009,"Blount County, Alabama",10-19,8021.0,13.5
01,01009,"Blount County, Alabama",20-29,6902.0,11.6
01,01009,"Blount County, Alabama",30-39,6883.0,11.6
01,01009,"Blount County, Alabama",40-49,7537.0,12.7
01,01009,"Blount County, Alabama",50-59,7809.0,13.1
01,01009,"Blount County, Alabama",60-69,8073.0,13.6
01,01009,"Blount County, Alabama",70-79,4996.0,8.4
01,01009,"Blount County, Alabama",80+,2343.0,3.9
01,01009,"Blount County, Alabama",All,59518.0,100.0
01,01011,"Bullock County, Alabama",0-9,1142.0,11.4
01,01011,"Bullock County, Alabama",10-19,1449.0,14.4
01,01011,"Bullock County, Alabama",20-29,997.0,9.9
01,01011,"Bullock County, Alabama",30-39,1144.0,11.4
01,01011,"Bullock County, Alabama",40-49,1521.0,15.1
01,01011,"Bullock County, Alabama",50-59,1249.0,12.4
01,01011,"Bullock County, Alabama",60-69,1403.0,13.9
01,01011,"Bullock County, Alabama",70-79,825.0,8.2
01,01011,"Bullock County, Alabama",80+,328.0,3.3
01,01011,"Bullock County, Alabama",All,10058.0,100.0
01,01013,"Butler County, Alabama",0-9,2093.0,11.2
01,01013,"Butler County, Alabama",10-19,2368.0,12.7
01,01013,"Butler County, Alabama",20-29,2071.0,11.1
01,01013,"Butler County, Alabama",30-39,2116.0,11.4
01,01013,"Butler County, Alabama",40-49,2329.0,12.5
01,01013,"Butler County, Alabama",50-59,2310.0,12.4
01,01013,"Butler County, Alabama",60-69,2731.0,14.7
01,01013,"Butler County, Alabama",70-79,1649.0,8.9
01,01013,"Butler County, Alabama",80+,963.0,5.2
01,01013,"Butler County, Alabama",All,18630.0,100.0
01,01015,"Calhoun County, Alabama",0-9,13124.0,11.3
01,01015,"Calhoun County, Alabama",10-19,16087.0,13.9
01,01015,"Calhoun County, Alabama",20-29,15557.0,13.4
01,01015,"Calhoun County, Alabama",30-39,14241.0,12.3
01,01015,"Calhoun County, Alabama",40-49,14075.0,12.1
01,01015,"Calhoun County, Alabama",50-59,14549.0,12.5
01,01015,"Calhoun County, Alabama",60-69,14693.0,12.7
01,01015,"Calhoun County, Alabama",70-79,9893.0,8.5
01,01015,"Calhoun County, Alabama",80+,3871.0,3.3
01,01015,"Calhoun County, Alabama",All,116090.0,100.0
01,01017,"Chambers County, Alabama",0-9,3731.0,10.9
01,01017,"Chambers County, Alabama",10-19,4131.0,12.1
01,01017,"Chambers County, Alabama",20-29,4279.0,12.5
01,01017,"Chambers County, Alabama",30-39,4512.0,13.2
01,01017,"Chambers County, Alabama",40-49,3382.0,9.9
01,01017,"Chambers County, Alabama",50-59,4534.0,13.3
01,01017,"Chambers County, Alabama",60-69,5017.0,14.7
01,01017,"Chambers County, Alabama",70-79,2872.0,8.4
01,01017,"Chambers County, Alabama",80+,1734.0,5.1
01,01017,"Chambers County, Alabama",All,34192.0,100.0
01,01019,"Cherokee County, Alabama",0-9,2128.0,8.4
01,01019,"Cherokee County, Alabama",10-19,3042.0,12.0
01,01019,"Cherokee County, Alabama",20-29,2617.0,10.3
01,01019,"Cherokee County, Alabama",30-39,2809.0,11.0
01,01019,"Cherokee County, Alabama",40-49,2916.0,11.5
01,01019,"Cherokee County, Alabama",50-59,3719.0,14.6
01,01019,"Cherokee County, Alabama",60-69,4163.0,16.4
01,01019,"Cherokee County, Alabama",70-79,2693.0,10.6
01,01019,"Cherokee County, Alabama",80+,1356.0,5.3
01,01019,"Cherokee County, Alabama",All,25443.0,100.0
01,01021,"Chilton County, Alabama",0-9,5871.0,12.8
01,01021,"Chilton County, Alabama",10-19,6228.0,13.5
01,01021,"Chilton County, Alabama",20-29,5654.0,12.3
01,01021,"Chilton County, Alabama",30-39,6053.0,13.2
01,01021,"Chilton County, Alabama",40-49,5315.0,11.6
01,01021,"Chilton County, Alabama",50-59,6171.0,13.4
01,01021,"Chilton County, Alabama",60-69,5410.0,11.8
01,01021,"Chilton County, Alabama",70-79,3670.0,8.0
01,01021,"Chilton County, Alabama",80+,1620.0,3.5
01,01021,"Chilton County, Alabama",All,45992.0,100.0
01,01023,"Choctaw County, Alabama",0-9,1384.0,11.2
01,01023,"Choctaw County, Alabama",10-19,1397.0,11.3
01,01023,"Choctaw County, Alabama",20-29,1202.0,9.7
01,01023,"Choctaw County, Alabama",30-39,1268.0,10.2
01,01023,"Choctaw County, Alabama",40-49,1409.0,11.4
01,01023,"Choctaw County, Alabama",50-59,1710.0,13.8
01,01023,"Choctaw County, Alabama",60-69,1760.0,14.2
01,01023,"Choctaw County, Alabama",70-79,1627.0,13.1
01,01023,"Choctaw County, Alabama",80+,623.0,5.0
01,01023,"Choctaw County, Alabama",All,12380.0,100.0
01,01025,"Clarke County, Alabama",0-9,2834.0,12.6
01,01025,"Clarke County, Alabama",10-19,2547.0,11.3
01,01025,"Clarke County, Alabama",20-29,2618.0,11.6
01,01025,"Clarke County, Alabama",30-39,2579.0,11.4
01,01025,"Clarke County, Alabama",40-49,2603.0,11.5
01,01025,"Clarke County, Alabama",50-59,2975.0,13.2
01,01025,"Clarke County, Alabama",60-69,3295.0,14.6
01,01025,"Clarke County, Alabama",70-79,1796.0,8.0
01,01025,"Clarke County, Alabama",80+,1296.0,5.7
01,01025,"Clarke County, Alabama",All,22543.0,100.0
01,01027,"Clay County, Alabama",0-9,1481.0,10.4
01,01027,"Clay County, Alabama",10-19,1798.0,12.7
01,01027,"Clay County, Alabama",20-29,1368.0,9.6
01,01027,"Clay County, Alabama",30-39,1447.0,10.2
01,01027,"Clay County, Alabama",40-49,1923.0,13.5
01,01027,"Clay County, Alabama",50-59,1948.0,13.7
01,01027,"Clay County, Alabama",60-69,2190.0,15.4
01,01027,"Clay County, Alabama",70-79,1518.0,10.7
01,01027,"Clay County, Alabama",80+,519.0,3.7
01,01027,"Clay County, Alabama",All,14192.0,100.0
01,01029,"Cleburne County, Alabama",0-9,1851.0,12.0
01,01029,"Cleburne County, Alabama",10-19,1792.0,11.6
01,01029,"Cleburne County, Alabama",20-29,1689.0,10.9
01,01029,"Cleburne County, Alabama",30-39,1960.0,12.7
01,01029,"Cleburne County, Alabama",40-49,1787.0,11.6
01,01029,"Cleburne County, Alabama",50-59,2042.0,13.2
01,01029,"Cleburne County, Alabama",60-69,2079.0,13.5
01,01029,"Cleburne County, Alabama",70-79,1570.0,10.2
01,01029,"Cleburne County, Alabama",80+,656.0,4.3
01,01029,"Cleburne County, Alabama",All,15426.0,100.0
01,01031,"Coffee County, Alabama",0-9,6505.0,11.8
01,01031,"Coffee County, Alabama",10-19,7939.0,14.5
01,01031,"Coffee County, Alabama",20-29,6467.0,11.8
01,01031,"Coffee County, Alabama",30-39,7325.0,13.3
01,01031,"Coffee County, Alabama",40-49,7139.0,13.0
01,01031,"Coffee County, Alabama",50-59,6510.0,11.9
01,01031,"Coffee County, Alabama",60-69,6457.0,11.8
01,01031,"Coffee County, Alabama",70-79,4537.0,8.3
01,01031,"Coffee County, Alabama",80+,2041.0,3.7
01,01031,"Coffee County, Alabama",All,54920.0,100.0
01,01033,"Colbert County, Alabama",0-9,6747.0,11.6
01,01033,"Colbert County, Alabama",10-19,6772.0,11.7
01,01033,"Colbert County, Alabama",20-29,6540.0,11.3
01,01033,"Colbert County, Alabama",30-39,7337.0,12.6
01,01033,"Colbert County, Alabama",40-49,6988.0,12.0
01,01033,"Colbert County, Alabama",50-59,7735.0,13.3
01,01033,"Colbert County, Alabama",60-69,7985.0,13.8
01,01033,"Colbert County, Alabama",70-79,5215.0,9.0
01,01033,"Colbert County, Alabama",80+,2703.0,4.7
01,01033,"Colbert County, Alabama",All,58022.0,100.0
01,01035,"Conecuh County, Alabama",0-9,1303.0,11.6
01,01035,"Conecuh County, Alabama",10-19,1154.0,10.2
01,01035,"Conecuh County, Alabama",20-29,1225.0,10.9
01,01035,"Conecuh County, Alabama",30-39,1287.0,11.4
01,01035,"Conecuh County, Alabama",40-49,1110.0,9.8
01,01035,"Conecuh County, Alabama",50-59,1471.0,13.0
01,01035,"Conecuh County, Alabama",60-69,1859.0,16.5
01,01035,"Conecuh County, Alabama",70-79,1239.0,11.0
01,01035,"Conecuh County, Alabama",80+,627.0,5.6
01,01035,"Conecuh County, Alabama",All,11275.0,100.0
01,01037,"Coosa County, Alabama",0-9,1031.0,10.0
01,01037,"Coosa County, Alabama",10-19,902.0,8.8
01,01037,"Coosa County, Alabama",20-29,1077.0,10.5
01,01037,"Coosa County, Alabama",30-39,1009.0,9.8
01,01037,"Coosa County, Alabama",40-49,1096.0,10.6
01,01037,"Coosa County, Alabama",50-59,1570.0,15.2
01,01037,"Coosa County, Alabama",60-69,1976.0,19.2
01,01037,"Coosa County, Alabama",70-79,1197.0,11.6
01,01037,"Coosa County, Alabama",80+,442.0,4.3
01,01037,"Coosa County, Alabama",All,10300.0,100.0
01,01039,"Covington County, Alabama",0-9,4445.0,11.8
01,01039,"Covington County, Alabama",10-19,4789.0,12.7
01,01039,"Covington County, Alabama",20-29,3886.0,10.3
01,01039,"Covington County, Alabama",30-39,3944.0,10.5
01,01039,"Covington County, Alabama",40-49,4632.0,12.3
01,01039,"Covington County, Alabama",50-59,5092.0,13.5
01,01039,"Covington County, Alabama",60-69,5149.0,13.7
01,01039,"Covington County, Alabama",70-79,3602.0,9.6
01,01039,"Covington County, Alabama",80+,2089.0,5.6
01,01039,"Covington County, Alabama",All,37628.0,100.0
01,01041,"Crenshaw County, Alabama",0-9,1687.0,12.9
01,01041,"Crenshaw County, Alabama",10-19,1591.0,12.1
01,01041,"Crenshaw County, Alabama",20-29,1453.0,11.1
01,01041,"Crenshaw County, Alabama",30-39,1422.0,10.8
01,01041,"Crenshaw County, Alabama",40-49,1592.0,12.1
01,01041,"Crenshaw County, Alabama",50-59,1644.0,12.5
01,01041,"Crenshaw County, Alabama",60-69,1902.0,14.5
01,01041,"Crenshaw County, Alabama",70-79,1270.0,9.7
01,01041,"Crenshaw County, Alabama",80+,561.0,4.3
01,01041,"Crenshaw County, Alabama",All,13122.0,100.0
01,01043,"Cullman County, Alabama",0-9,10874.0,12.0
01,01043,"Cullman County, Alabama",10-19,11535.0,12.7
01,01043,"Cullman County, Alabama",20-29,10472.0,11.6
01,01043,"Cullman County, Alabama",30-39,11271.0,12.4
01,01043,"Cullman County, Alabama",40-49,11128.0,12.3
01,01043,"Cullman County, Alabama",50-59,12088.0,13.3
01,01043,"Cullman County, Alabama",60-69,11231.0,12.4
01,01043,"Cullman County, Alabama",70-79,8360.0,9.2
01,01043,"Cullman County, Alabama",80+,3607.0,4.0
01,01043,"Cullman County, Alabama",All,90566.0,100.0
01,01045,"Dale County, Alabama",0-9,6640.0,13.4
01,01045,"Dale County, Alabama",10-19,6042.0,12.2
01,01045,"Dale County, Alabama",20-29,6606.0,13.3
01,01045,"Dale County, Alabama",30-39,6591.0,13.3
01,01045,"Dale County, Alabama",40-49,5615.0,11.3
01,01045,"Dale County, Alabama",50-59,5883.0,11.9
01,01045,"Dale County, Alabama",60-69,6189.0,12.5
01,01045,"Dale County, Alabama",70-79,4077.0,8.2
01,01045,"Dale County, Alabama",80+,1956.0,3.9
01,01045,"Dale County, Alabama",All,49599.0,100.0
01,01047,"Dallas County, Alabama",0-9,4142.0,11.2
01,01047,"Dallas County, Alabama",10-19,5359.0,14.5
01,01047,"Dallas County, Alabama",20-29,4199.0,11.4
01,01047,"Dallas County, Alabama",30-39,4268.0,11.6
01,01047,"Dallas County, Alabama",40-49,4080.0,11.1
01,01047,"Dallas County, Alabama",50-59,4292.0,11.6
01,01047,"Dallas County, Alabama",60-69,5553.0,15.1
01,01047,"Dallas County, Alabama",70-79,3393.0,9.2
01,01047,"Dallas County, Alabama",80+,1572.0,4.3
01,01047,"Dallas County, Alabama",All,36858.0,100.0
01,01049,"DeKalb County, Alabama",0-9,8307.0,11.5
01,01049,"DeKalb County, Alabama",10-19,10718.0,14.8
01,01049,"DeKalb County, Alabama",20-29,8882.0,12.3
01,01049,"DeKalb County, Alabama",30-39,8768.0,12.1
01,01049,"DeKalb County, Alabama",40-49,8778.0,12.1
01,01049,"DeKalb County, Alabama",50-59,9073.0,12.6
01,01049,"DeKalb County, Alabama",60-69,9016.0,12.5
01,01049,"DeKalb County, Alabama",70-79,5857.0,8.1
01,01049,"DeKalb County, Alabama",80+,2870.0,4.0
01,01049,"DeKalb County, Alabama",All,72269.0,100.0
01,01051,"Elmore County, Alabama",0-9,9696.0,10.8
01,01051,"Elmore County, Alabama",10-19,11601.0,13.0
01,01051,"Elmore County, Alabama",20-29,11459.0,12.8
01,01051,"Elmore County, Alabama",30-39,12492.0,14.0
01,01051,"Elmore County, Alabama",40-49,11682.0,13.0
01,01051,"Elmore County, Alabama",50-59,11771.0,13.1
01,01051,"Elmore County, Alabama",60-69,10966.0,12.2
01,01051,"Elmore County, Alabama",70-79,7165.0,8.0
01,01051,"Elmore County, Alabama",80+,2694.0,3.0
01,01051,"Elmore County, Alabama",All,89526.0,100.0
01,01053,"Escambia County, Alabama",0-9,4337.0,11.8
01,01053,"Escambia County, Alabama",10-19,5055.0,13.8
01,01053,"Escambia County, Alabama",20-29,3919.0,10.7
01,01053,"Escambia County, Alabama",30-39,4765.0,13.0
01,01053,"Escambia County, Alabama",40-49,4708.0,12.9
01,01053,"Escambia County, Alabama",50-59,4449.0,12.1
01,01053,"Escambia County, Alabama",60-69,4580.0,12.5
01,01053,"Escambia County, Alabama",70-79,3281.0,9.0
01,01053,"Escambia County, Alabama",80+,1535.0,4.2
01,01053,"Escambia County, Alabama",All,36629.0,100.0
01,01055,"Etowah County, Alabama",0-9,11902.0,11.5
01,01055,"Etowah County, Alabama",10-19,12607.0,12.2
01,01055,"Etowah County, Alabama",20-29,12437.0,12.1
01,01055,"Etowah County, Alabama",30-39,11959.0,11.6
01,01055,"Etowah County, Alabama",40-49,13003.0,12.6
01,01055,"Etowah County, Alabama",50-59,14350.0,13.9
01,01055,"Etowah County, Alabama",60-69,13482.0,13.1
01,01055,"Etowah County, Alabama",70-79,9283.0,9.0
01,01055,"Etowah County, Alabama",80+,4082.0,4.0
01,01055,"Etowah County, Alabama",All,103105.0,100.0
01,01057,"Fayette County, Alabama",0-9,1739.0,10.8
01,01057,"Fayette County, Alabama",10-19,2141.0,13.3
01,01057,"Fayette County, Alabama",20-29,1731.0,10.8
01,01057,"Fayette County, Alabama",30-39,1834.0,11.4
01,01057,"Fayette County, Alabama",40-49,1831.0,11.4
01,01057,"Fayette County, Alabama",50-59,2118.0,13.2
01,01057,"Fayette County, Alabama",60-69,2435.0,15.2
01,01057,"Fayette County, Alabama",70-79,1545.0,9.6
01,01057,"Fayette County, Alabama",80+,679.0,4.2
01,01057,"Fayette County, Alabama",All,16053.0,100.0
01,01059,"Franklin County, Alabama",0-9,4201.0,13.1
01,01059,"Franklin County, Alabama",10-19,4773.0,14.9
01,01059,"Franklin County, Alabama",20-29,3582.0,11.2
01,01059,"Franklin County, Alabama",30-39,4443.0,13.9
01,01059,"Franklin County, Alabama",40-49,3639.0,11.4
01,01059,"Franklin County, Alabama",50-59,4217.0,13.2
01,01059,"Franklin County, Alabama",60-69,3379.0,10.6
01,01059,"Franklin County, Alabama",70-79,2491.0,7.8
01,01059,"Franklin County, Alabama",80+,1241.0,3.9
01,01059,"Franklin County, Alabama",All,31966.0,100.0
01,01061,"Geneva County, Alabama",0-9,3107.0,11.6
01,01061,"Geneva County, Alabama",10-19,3315.0,12.3
01,01061,"Geneva County, Alabama",20-29,2838.0,10.6
01,01061,"Geneva County, Alabama",30-39,3064.0,11.4
01,01061,"Geneva County, Alabama",40-49,3252.0,12.1
01,01061,"Geneva County, Alabama",50-59,3897.0,14.5
01,01061,"Geneva County, Alabama",60-69,3833.0,14.3
01,01061,"Geneva County, Alabama",70-79,2504.0,9.3
01,01061,"Geneva County, Alabama",80+,1077.0,4.0
01,01061,"Geneva County, Alabama",All,26887.0,100.0
01,01063,"Greene County, Alabama",0-9,912.0,12.3
01,01063,"Greene County, Alabama",10-19,814.0,11.0
01,01063,"Greene County, Alabama",20-29,884.0,11.9
01,01063,"Greene County, Alabama",30-39,909.0,12.2
01,01063,"Greene County, Alabama",40-49,646.0,8.7
01,01063,"Greene County, Alabama",50-59,699.0,9.4
01,01063,"Greene County, Alabama",60-69,1471.0,19.8
01,01063,"Greene County, Alabama",70-79,752.0,10.1
01,01063,"Greene County, Alabama",80+,337.0,4.5
01,01063,"Greene County, Alabama",All,7424.0,100.0
01,01065,"Hale County, Alabama",0-9,2266.0,15.3
01,01065,"Hale County, Alabama",10-19,1799.0,12.1
01,01065,"Hale County, Alabama",20-29,1639.0,11.1
01,01065,"Hale County, Alabama",30-39,1614.0,10.9
01,01065,"Hale County, Alabama",40-49,1738.0,11.7
01,01065,"Hale County, Alabama",50-59,1793.0,12.1
01,01065,"Hale County, Alabama",60-69,1953.0,13.2
01,01065,"Hale County, Alabama",70-79,1405.0,9.5
01,01065,"Hale County, Alabama",80+,622.0,4.2
01,01065,"Hale County, Alabama",All,14829.0,100.0
01,01067,"Henry County, Alabama",0-9,1900.0,10.8
01,01067,"Henry County, Alabama",10-19,2088.0,11.8
01,01067,"Henry County, Alabama",20-29,1668.0,9.5
01,01067,"Henry County, Alabama",30-39,2198.0,12.5
01,01067,"Henry County, Alabama",40-49,2034.0,11.5
01,01067,"Henry County, Alabama",50-59,2180.0,12.4
01,01067,"Henry County, Alabama",60-69,2801.0,15.9
01,01067,"Henry County, Alabama",70-79,1995.0,11.3
01,01067,"Henry County, Alabama",80+,783.0,4.4
01,01067,"Henry County, Alabama",All,17647.0,100.0
01,01069,"Houston County, Alabama",0-9,13539.0,12.5
01,01069,"Houston County, Alabama",10-19,13468.0,12.5
