state_fips,state_name,population,population_pct,age
00,United States,6532331.0,1.9,85+
00,United States,6722068.0,2.0,80-84
00,United States,8895630.0,2.6,18-19
00,United States,10659763.0,3.2,75-79
00,United States,13254399.0,3.9,80+
00,United States,15563987.0,4.6,70-74
00,United States,17381831.0,5.1,75-84
00,United States,18913565.0,5.6,65-69
00,United States,20200014.0,6.0,45-49
00,United States,20954756.0,6.2,50-54
00,United States,21143505.0,6.3,55-59
00,United States,21680386.0,6.4,60-64
00,United States,21993476.0,6.5,20-24
00,United States,21897818.0,6.5,40-44
00,United States,22608055.0,6.7,25-29
00,United States,22723031.0,6.7,35-39
00,United States,23629200.0,7.0,30-34
00,United States,26223750.0,7.8,70-79
00,United States,30889106.0,9.1,18-24
00,United States,34477552.0,10.2,65-74
00,United States,39097968.0,11.6,0-9
00,United States,40593951.0,12.0,60-69
00,United States,41154770.0,12.2,45-54
00,United States,42097832.0,12.4,40-49
00,United States,42098261.0,12.4,50-59
00,United States,42823891.0,12.7,55-64
00,United States,43836885.0,13.0,10-19
00,United States,44194088.0,13.1,15-24
00,United States,44601531.0,13.2,20-29
00,United States,44620849.0,13.2,35-44
00,United States,46237255.0,13.7,25-34
00,United States,46352231.0,13.7,30-39
00,United States,58391714.0,17.3,65+
00,United States,60734241.0,18.0,0-14
00,United States,74039223.0,21.9,0-17
00,United States,83978661.0,24.8,45-64
00,United States,99849392.0,29.5,18-39
00,United States,105876479.0,31.3,40-64
00,United States,121747210.0,36.0,18-44
00,United States,264117585.0,78.1,18+
00,United States,277422567.0,82.0,15+
00,United States,338156808.0,100.0,All
