state_fips,county_fips,county_name,age,population,population_pct
01,01001,"Autauga County, Alabama",0-9,6684.0,11.4
01,01001,"Autauga County, Alabama",10-19,8300.0,14.1
01,01001,"Autauga County, Alabama",20-29,7316.0,12.5
01,01001,"Autauga County, Alabama",30-39,7721.0,13.1
01,01001,"Autauga County, Alabama",40-49,7971.0,13.6
01,01001,"Autauga County, Alabama",50-59,8091.0,13.8
01,01001,"Autauga County, Alabama",60-69,6180.0,10.5
01,01001,"Autauga County, Alabama",70-79,4748.0,8.1
01,01001,"Autauga County, Alabama",80+,1750.0,3.0
01,01001,"Autauga County, Alabama",All,58761.0,100.0
01,01003,"Baldwin County, Alabama",0-9,24269.0,10.4
01,01003,"Baldwin County, Alabama",10-19,30457.0,13.0
01,01003,"Baldwin County, Alabama",20-29,24159.0,10.4
01,01003,"Baldwin County, Alabama",30-39,28095.0,12.0
01,01003,"Baldwin County, Alabama",40-49,27999.0,12.0
01,01003,"Baldwin County, Alabama",50-59,31128.0,13.3
01,01003,"Baldwin County, Alabama",60-69,33087.0,14.2
01,01003,"Baldwin County, Alabama",70-79,24192.0,10.4
01,01003,"Baldwin County, Alabama",80+,10034.0,4.3
01,01003,"Baldwin County, Alabama",All,233420.0,100.0
01,01005,"Barbour County, Alabama",0-9,2915.0,11.7
01,01005,"Barbour County, Alabama",10-19,2793.0,11.2
01,01005,"Barbour County, Alabama",20-29,3184.0,12.8
01,01005,"Barbour County, Alabama",30-39,3349.0,13.5
01,01005,"Barbour County, Alabama",40-49,2907.0,11.7
01,01005,"Barbour County, Alabama",50-59,3137.0,12.6
01,01005,"Barbour County, Alabama",60-69,3240.0,13.0
01,01005,"Barbour County, Alabama",70-79,2414.0,9.7
01,01005,"Barbour County, Alabama",80+,938.0,3.8
01,01005,"Barbour County, Alabama",All,24877.0,100.0
01,01007,"Bibb County, Alabama",0-9,2595.0,11.7
01,01007,"Bibb County, Alabama",10-19,2610.0,11.7
01,01007,"Bibb County, Alabama",20-29,2810.0,12.6
