state_fips,state_name,age,population,population_pct
01,Alabama,0-14,917070.0,18.2
01,Alabama,0-17,1110642.0,22.1
01,Alabama,0-9,591060.0,11.8
01,Alabama,10-19,667547.0,13.3
01,Alabama,15+,4111022.0,81.8
01,Alabama,15-24,682502.0,13.6
01,Alabama,18+,3917450.0,77.9
01,Alabama,18-19,147965.0,2.9
01,Alabama,18-24,488930.0,9.7
01,Alabama,18-39,1445010.0,28.7
01,Alabama,18-44,1754002.0,34.9
01,Alabama,20-24,340965.0,6.8
01,Alabama,20-29,669190.0,13.3
01,Alabama,25-29,328225.0,6.5
01,Alabama,25-34,648666.0,12.9
01,Alabama,30-34,320441.0,6.4
01,Alabama,30-39,627855.0,12.5
01,Alabama,35-39,307414.0,6.1
01,Alabama,35-44,616406.0,12.3
01,Alabama,40-44,308992.0,6.1
01,Alabama,40-49,616003.0,12.3
01,Alabama,40-64,1601406.0,31.8
01,Alabama,45-49,307011.0,6.1
01,Alabama,45-54,624704.0,12.4
01,Alabama,45-64,1292414.0,25.7
01,Alabama,50-54,317693.0,6.3
01,Alabama,50-59,649740.0,12.9
01,Alabama,55-59,332047.0,6.6
01,Alabama,55-64,667710.0,13.3
01,Alabama,60-64,335663.0,6.7
01,Alabama,60-69,621766.0,12.4
01,Alabama,65+,871034.0,17.3
01,Alabama,65-69,286103.0,5.7
01,Alabama,65-74,519600.0,10.3
01,Alabama,70-74,233497.0,4.6
01,Alabama,70-79,392892.0,7.8
01,Alabama,75-79,159395.0,3.2
01,Alabama,75-84,263845.0,5.2
01,Alabama,80+,192039.0,3.8
01,Alabama,80-84,104450.0,2.1
01,Alabama,85+,87589.0,1.7
01,Alabama,All,5028092.0,100.0
02,Alaska,0-14,150397.0,20.5
02,Alaska,0-17,179338.0,24.4
02,Alaska,0-9,101021.0,13.7
02,Alaska,10-19,96682.0,13.2
02,Alaska,15+,584424.0,79.5
02,Alaska,15-24,98553.0,13.4
02,Alaska,18+,555483.0,75.6
02,Alaska,18-19,18365.0,2.5
02,Alaska,18-24,69612.0,9.5
02,Alaska,18-39,237728.0,32.4
02,Alaska,18-44,283821.0,38.6
02,Alaska,20-24,51247.0,7.0
02,Alaska,20-29,108834.0,14.8
02,Alaska,25-29,57587.0,7.8
02,Alaska,25-34,115277.0,15.7
02,Alaska,30-34,57690.0,7.9
02,Alaska,30-39,110529.0,15.0
02,Alaska,35-39,52839.0,7.2
02,Alaska,35-44,98932.0,13.5
02,Alaska,40-44,46093.0,6.3
02,Alaska,40-49,88341.0,12.0
02,Alaska,40-64,223595.0,30.4
02,Alaska,45-49,42248.0,5.7
02,Alaska,45-54,86027.0,11.7
02,Alaska,45-64,177502.0,24.2
02,Alaska,50-54,43779.0,6.0
02,Alaska,50-59,89719.0,12.2
02,Alaska,55-59,45940.0,6.3
02,Alaska,55-64,91475.0,12.4
02,Alaska,60-64,45535.0,6.2
02,Alaska,60-69,84044.0,11.4
02,Alaska,65+,94160.0,12.8
02,Alaska,65-69,38509.0,5.2
02,Alaska,65-74,63415.0,8.6
02,Alaska,70-74,24906.0,3.4
02,Alaska,70-79,39766.0,5.4
02,Alaska,75-79,14860.0,2.0
02,Alaska,75-84,24092.0,3.3
02,Alaska,80+,15885.0,2.2
02,Alaska,80-84,9232.0,1.3
02,Alaska,85+,6653.0,0.9
02,Alaska,All,734821.0,100.0
04,Arizona,0-14,1310864.0,18.3
04,Arizona,0-17,1593463.0,22.2
04,Arizona,0-9,837050.0,11.7
04,Arizona,10-19,954649.0,13.3
04,Arizona,15+,5861418.0,81.7
04,Arizona,15-24,982459.0,13.7
04,Arizona,18+,5578819.0,77.8
04,Arizona,18-19,198236.0,2.8
04,Arizona,18-24,699860.0,9.8
04,Arizona,18-39,2138906.0,29.8
04,Arizona,18-44,2577191.0,35.9
04,Arizona,20-24,501624.0,7.0
04,Arizona,20-29,1002986.0,14.0
04,Arizona,25-29,501362.0,7.0
04,Arizona,25-34,982717.0,13.7
04,Arizona,30-34,481355.0,6.7
04,Arizona,30-39,937684.0,13.1
04,Arizona,35-39,456329.0,6.4
04,Arizona,35-44,894614.0,12.5
04,Arizona,40-44,438285.0,6.1
04,Arizona,40-49,859861.0,12.0
04,Arizona,40-64,2142111.0,29.9
04,Arizona,45-49,421576.0,5.9
04,Arizona,45-54,841045.0,11.7
04,Arizona,45-64,1703826.0,23.8
04,Arizona,50-54,419469.0,5.8
04,Arizona,50-59,848059.0,11.8
04,Arizona,55-59,428590.0,6.0
04,Arizona,55-64,862781.0,12.0
04,Arizona,60-64,434191.0,6.1
04,Arizona,60-69,831071.0,11.6
04,Arizona,65+,1297802.0,18.1
04,Arizona,65-69,396880.0,5.5
04,Arizona,65-74,747196.0,10.4
04,Arizona,70-74,350316.0,4.9
04,Arizona,70-79,605361.0,8.4
04,Arizona,75-79,255045.0,3.6
04,Arizona,75-84,411711.0,5.7
04,Arizona,80+,295561.0,4.1
04,Arizona,80-84,156666.0,2.2
04,Arizona,85+,138895.0,1.9
04,Arizona,All,7172282.0,100.0
05,Arkansas,0-14,575677.0,19.1
