state_fips,state_name,age,population,population_pct,time_period
01,Alabama,0-14,919205.0,19.0,2015
01,Alabama,0-17,1111974.0,23.0,2015
01,Alabama,0-9,600768.0,12.4,2015
01,Alabama,10-19,642457.0,13.3,2015
01,Alabama,15+,3911415.0,81.0,2015
01,Alabama,15-24,672064.0,13.9,2015
01,Alabama,18+,3718646.0,77.0,2015
01,Alabama,18-19,131251.0,2.7,2015
01,Alabama,18-24,479295.0,9.9,2015
01,Alabama,18-39,1394774.0,28.9,2015
01,Alabama,18-44,1710302.0,35.4,2015
01,Alabama,20-24,348044.0,7.2,2015
01,Alabama,20-29,662836.0,13.7,2015
01,Alabama,25-29,314792.0,6.5,2015
01,Alabama,25-34,621592.0,12.9,2015
01,Alabama,30-34,306800.0,6.4,2015
01,Alabama,30-39,600687.0,12.4,2015
01,Alabama,35-39,293887.0,6.1,2015
01,Alabama,35-44,609415.0,12.6,2015
01,Alabama,40-44,315528.0,6.5,2015
01,Alabama,40-49,635850.0,13.2,2015
01,Alabama,40-64,1604546.0,33.2,2015
01,Alabama,45-49,320322.0,6.6,2015
01,Alabama,45-54,665372.0,13.8,2015
01,Alabama,45-64,1289018.0,26.7,2015
01,Alabama,50-54,345050.0,7.1,2015
01,Alabama,50-59,671399.0,13.9,2015
01,Alabama,55-59,326349.0,6.8,2015
01,Alabama,55-64,623646.0,12.9,2015
01,Alabama,60-64,297297.0,6.2,2015
01,Alabama,60-69,538515.0,11.1,2015
01,Alabama,65+,719326.0,14.9,2015
01,Alabama,65-69,241218.0,5.0,2015
01,Alabama,65-74,416983.0,8.6,2015
01,Alabama,70-74,175765.0,3.6,2015
01,Alabama,70-79,306258.0,6.3,2015
01,Alabama,75-79,130493.0,2.7,2015
01,Alabama,75-84,220721.0,4.6,2015
01,Alabama,80+,171850.0,3.6,2015
01,Alabama,80-84,90228.0,1.9,2015
01,Alabama,85+,81622.0,1.7,2015
01,Alabama,All,4830620.0,100.0,2015
01,Alabama,0-14,931884.0,19.6,2011
01,Alabama,0-17,1132205.0,23.8,2011
01,Alabama,0-9,613359.0,12.9,2011
01,Alabama,10-19,660825.0,13.9,2011
01,Alabama,15+,3815540.0,80.4,2011
01,Alabama,15-24,677462.0,14.3,2011
01,Alabama,18+,3615219.0,76.2,2011
01,Alabama,18-19,141979.0,3.0,2011
01,Alabama,18-24,477141.0,10.1,2011
01,Alabama,18-39,1386934.0,29.2,2011
01,Alabama,18-44,1704837.0,35.9,2011
01,Alabama,20-24,335162.0,7.1,2011
01,Alabama,20-29,644129.0,13.6,2011
01,Alabama,25-29,308967.0,6.5,2011
01,Alabama,25-34,602512.0,12.7,2011
01,Alabama,30-34,293545.0,6.2,2011
01,Alabama,30-39,600826.0,12.7,2011
01,Alabama,35-39,307281.0,6.5,2011
01,Alabama,35-44,625184.0,13.2,2011
01,Alabama,40-44,317903.0,6.7,2011
01,Alabama,40-49,663669.0,14.0,2011
01,Alabama,40-64,1580951.0,33.3,2011
01,Alabama,45-49,345766.0,7.3,2011
01,Alabama,45-54,688821.0,14.5,2011
01,Alabama,45-64,1263048.0,26.6,2011
01,Alabama,50-54,343055.0,7.2,2011
01,Alabama,50-59,648087.0,13.7,2011
01,Alabama,55-59,305032.0,6.4,2011
01,Alabama,55-64,574227.0,12.1,2011
01,Alabama,60-64,269195.0,5.7,2011
01,Alabama,60-69,474289.0,10.0,2011
01,Alabama,65+,647334.0,13.6,2011
01,Alabama,65-69,205094.0,4.3,2011
01,Alabama,65-74,362130.0,7.6,2011
01,Alabama,70-74,157036.0,3.3,2011
01,Alabama,70-79,278152.0,5.9,2011
01,Alabama,75-79,121116.0,2.6,2011
01,Alabama,75-84,210022.0,4.4,2011
01,Alabama,80+,164088.0,3.5,2011
01,Alabama,80-84,88906.0,1.9,2011
01,Alabama,85+,75182.0,1.6,2011
01,Alabama,All,4747424.0,100.0,2011
01,Alabama,0-14,927465.0,20.0,2009
01,Alabama,0-17,1123783.0,24.3,2009
01,Alabama,0-9,613630.0,13.2,2009
01,Alabama,10-19,642550.0,13.9,2009
01,Alabama,15+,3705895.0,80.0,2009
01,Alabama,15-24,656232.0,14.2,2009
01,Alabama,18+,3509577.0,75.7,2009
01,Alabama,18-19,132397.0,2.9,2009
01,Alabama,18-24,459914.0,9.9,2009
01,Alabama,18-39,1366555.0,29.5,2009
01,Alabama,18-44,1692659.0,36.5,2009
01,Alabama,20-24,327517.0,7.1,2009
01,Alabama,20-29,640167.0,13.8,2009
01,Alabama,25-29,312650.0,6.7,2009
01,Alabama,25-34,601870.0,13.0,2009
01,Alabama,30-34,289220.0,6.2,2009
01,Alabama,30-39,593991.0,12.8,2009
01,Alabama,35-39,304771.0,6.6,2009
01,Alabama,35-44,630875.0,13.6,2009
01,Alabama,40-44,326104.0,7.0,2009
01,Alabama,40-49,668326.0,14.4,2009
01,Alabama,40-64,1516891.0,32.7,2009
01,Alabama,45-49,342222.0,7.4,2009
01,Alabama,45-54,665660.0,14.4,2009
01,Alabama,45-64,1190787.0,25.7,2009
01,Alabama,50-54,323438.0,7.0,2009
01,Alabama,50-59,609274.0,13.1,2009
01,Alabama,55-59,285836.0,6.2,2009
01,Alabama,55-64,525127.0,11.3,2009
01,Alabama,60-64,239291.0,5.2,2009
01,Alabama,60-69,425127.0,9.2,2009
01,Alabama,65+,626131.0,13.5,2009
01,Alabama,65-69,185836.0,4.0,2009
01,Alabama,65-74,336414.0,7.3,2009
01,Alabama,70-74,150578.0,3.2,2009
01,Alabama,70-79,274099.0,5.9,2009
01,Alabama,75-79,123521.0,2.7,2009
01,Alabama,75-84,213325.0,4.6,2009
01,Alabama,80+,166196.0,3.6,2009
01,Alabama,80-84,89804.0,1.9,2009
01,Alabama,85+,76392.0,1.6,2009
01,Alabama,All,4633360.0,100.0,2009
01,Alabama,0-14,932935.0,19.5,2012
01,Alabama,0-17,1130229.0,23.7,2012
01,Alabama,0-9,614451.0,12.9,2012
01,Alabama,10-19,655643.0,13.7,2012
01,Alabama,15+,3844391.0,80.5,2012
01,Alabama,15-24,677967.0,14.2,2012
01,Alabama,18+,3647097.0,76.3,2012
01,Alabama,18-19,139865.0,2.9,2012
01,Alabama,18-24,480673.0,10.1,2012
01,Alabama,18-39,1391784.0,29.1,2012
01,Alabama,18-44,1707582.0,35.7,2012
01,Alabama,20-24,340808.0,7.1,2012
01,Alabama,20-29,650524.0,13.6,2012
01,Alabama,25-29,309716.0,6.5,2012
01,Alabama,25-34,607797.0,12.7,2012
01,Alabama,30-34,298081.0,6.2,2012
01,Alabama,30-39,601395.0,12.6,2012
01,Alabama,35-39,303314.0,6.3,2012
01,Alabama,35-44,619112.0,13.0,2012
01,Alabama,40-44,315798.0,6.6,2012
01,Alabama,40-49,657203.0,13.8,2012
