state_fips,state_name,sex,age,population
01,Alabama,All,0-9,591060.0
01,Alabama,All,10-19,667547.0
01,Alabama,All,20-29,669190.0
01,Alabama,All,30-39,627855.0
01,Alabama,All,40-49,616003.0
01,Alabama,All,50-59,649740.0
01,Alabama,All,60-69,621766.0
01,Alabama,All,70-79,392892.0
01,Alabama,All,80+,192039.0
01,Alabama,All,All,5028092.0
01,Alabama,Female,0-9,287848.0
01,Alabama,Female,10-19,330045.0
01,Alabama,Female,20-29,332618.0
01,Alabama,Female,30-39,321813.0
01,Alabama,Female,40-49,313300.0
01,Alabama,Female,50-59,332587.0
01,Alabama,Female,60-69,326650.0
01,Alabama,Female,70-79,216157.0
01,Alabama,Female,80+,121079.0
01,Alabama,Female,All,2582097.0
01,Alabama,Male,0-9,303212.0
01,Alabama,Male,10-19,337502.0
01,Alabama,Male,20-29,336572.0
01,Alabama,Male,30-39,306042.0
01,Alabama,Male,40-49,302703.0
01,Alabama,Male,50-59,317153.0
01,Alabama,Male,60-69,295116.0
01,Alabama,Male,70-79,176735.0
01,Alabama,Male,80+,70960.0
01,Alabama,Male,All,2445995.0
02,Alaska,All,0-9,101021.0
02,Alaska,All,10-19,96682.0
02,Alaska,All,20-29,108834.0
02,Alaska,All,30-39,110529.0
02,Alaska,All,40-49,88341.0
02,Alaska,All,50-59,89719.0
02,Alaska,All,60-69,84044.0
02,Alaska,All,70-79,39766.0
02,Alaska,All,80+,15885.0
02,Alaska,All,All,734821.0
02,Alaska,Female,0-9,48945.0
02,Alaska,Female,10-19,46408.0
02,Alaska,Female,20-29,47786.0
02,Alaska,Female,30-39,52172.0
02,Alaska,Female,40-49,41673.0
02,Alaska,Female,50-59,42192.0
02,Alaska,Female,60-69,39785.0
02,Alaska,Female,70-79,20344.0
02,Alaska,Female,80+,8867.0
02,Alaska,Female,All,348172.0
02,Alaska,Male,0-9,52076.0
02,Alaska,Male,10-19,50274.0
02,Alaska,Male,20-29,61048.0
02,Alaska,Male,30-39,58357.0
02,Alaska,Male,40-49,46668.0
02,Alaska,Male,50-59,47527.0
02,Alaska,Male,60-69,44259.0
02,Alaska,Male,70-79,19422.0
02,Alaska,Male,80+,7018.0
02,Alaska,Male,All,386649.0
04,Arizona,All,0-9,837050.0
04,Arizona,All,10-19,954649.0
04,Arizona,All,20-29,1002986.0
04,Arizona,All,30-39,937684.0
04,Arizona,All,40-49,859861.0
04,Arizona,All,50-59,848059.0
04,Arizona,All,60-69,831071.0
04,Arizona,All,70-79,605361.0
04,Arizona,All,80+,295561.0
04,Arizona,All,All,7172282.0
04,Arizona,Female,0-9,410189.0
04,Arizona,Female,10-19,465441.0
04,Arizona,Female,20-29,480881.0
04,Arizona,Female,30-39,453101.0
04,Arizona,Female,40-49,421849.0
04,Arizona,Female,50-59,427026.0
04,Arizona,Female,60-69,438457.0
04,Arizona,Female,70-79,318848.0
04,Arizona,Female,80+,167980.0
04,Arizona,Female,All,3583772.0
04,Arizona,Male,0-9,426861.0
04,Arizona,Male,10-19,489208.0
04,Arizona,Male,20-29,522105.0
04,Arizona,Male,30-39,484583.0
04,Arizona,Male,40-49,438012.0
04,Arizona,Male,50-59,421033.0
04,Arizona,Male,60-69,392614.0
04,Arizona,Male,70-79,286513.0
04,Arizona,Male,80+,127581.0
04,Arizona,Male,All,3588510.0
05,Arkansas,All,0-9,375137.0
05,Arkansas,All,10-19,406467.0
05,Arkansas,All,20-29,400796.0
05,Arkansas,All,30-39,387024.0
05,Arkansas,All,40-49,365471.0
05,Arkansas,All,50-59,373812.0
05,Arkansas,All,60-69,357925.0
05,Arkansas,All,70-79,234334.0
05,Arkansas,All,80+,117703.0
05,Arkansas,All,All,3018669.0
05,Arkansas,Female,0-9,182734.0
05,Arkansas,Female,10-19,197665.0
05,Arkansas,Female,20-29,196840.0
05,Arkansas,Female,30-39,193674.0
05,Arkansas,Female,40-49,181792.0
