state_fips,state_name,sex,age,population,time_period
01,Alabama,All,0-9,613359.0,2011
01,Alabama,All,10-19,660825.0,2011
01,Alabama,All,20-29,644129.0,2011
01,Alabama,All,30-39,600826.0,2011
01,Alabama,All,40-49,663669.0,2011
01,Alabama,All,50-59,648087.0,2011
01,Alabama,All,60-69,474289.0,2011
01,Alabama,All,70-79,278152.0,2011
01,Alabama,All,80+,164088.0,2011
01,Alabama,All,All,4747424.0,2011
01,Alabama,All,0-9,613258.0,2010
01,Alabama,All,10-19,661083.0,2010
01,Alabama,All,20-29,637567.0,2010
01,Alabama,All,30-39,599231.0,2010
01,Alabama,All,40-49,671622.0,2010
01,Alabama,All,50-59,638793.0,2010
01,Alabama,All,60-69,453078.0,2010
01,Alabama,All,70-79,276485.0,2010
01,Alabama,All,80+,161534.0,2010
01,Alabama,All,All,4712651.0,2010
01,Alabama,All,0-9,608381.0,2013
01,Alabama,All,10-19,652318.0,2013
01,Alabama,All,20-29,656580.0,2013
01,Alabama,All,30-39,601149.0,2013
01,Alabama,All,40-49,650874.0,2013
01,Alabama,All,50-59,663521.0,2013
01,Alabama,All,60-69,508248.0,2013
01,Alabama,All,70-79,291524.0,2013
01,Alabama,All,80+,166682.0,2013
01,Alabama,All,All,4799277.0,2013
01,Alabama,All,0-9,603983.0,2014
01,Alabama,All,10-19,648683.0,2014
01,Alabama,All,20-29,660087.0,2014
01,Alabama,All,30-39,599889.0,2014
01,Alabama,All,40-49,644917.0,2014
01,Alabama,All,50-59,668855.0,2014
01,Alabama,All,60-69,523049.0,2014
01,Alabama,All,70-79,298806.0,2014
01,Alabama,All,80+,169409.0,2014
01,Alabama,All,All,4817678.0,2014
01,Alabama,All,0-9,600768.0,2015
01,Alabama,All,10-19,642457.0,2015
01,Alabama,All,20-29,662836.0,2015
01,Alabama,All,30-39,600687.0,2015
01,Alabama,All,40-49,635850.0,2015
01,Alabama,All,50-59,671399.0,2015
01,Alabama,All,60-69,538515.0,2015
01,Alabama,All,70-79,306258.0,2015
01,Alabama,All,80+,171850.0,2015
01,Alabama,All,All,4830620.0,2015
01,Alabama,All,0-9,613630.0,2009
01,Alabama,All,10-19,642550.0,2009
01,Alabama,All,20-29,640167.0,2009
01,Alabama,All,30-39,593991.0,2009
01,Alabama,All,40-49,668326.0,2009
01,Alabama,All,50-59,609274.0,2009
01,Alabama,All,60-69,425127.0,2009
01,Alabama,All,70-79,274099.0,2009
01,Alabama,All,80+,166196.0,2009
01,Alabama,All,All,4633360.0,2009
01,Alabama,All,0-9,614451.0,2012
01,Alabama,All,10-19,655643.0,2012
01,Alabama,All,20-29,650524.0,2012
01,Alabama,All,30-39,601395.0,2012
01,Alabama,All,40-49,657203.0,2012
01,Alabama,All,50-59,655603.0,2012
01,Alabama,All,60-69,492786.0,2012
01,Alabama,All,70-79,283483.0,2012
01,Alabama,All,80+,166238.0,2012
01,Alabama,All,All,4777326.0,2012
01,Alabama,All,0-9,588708.0,2020
01,Alabama,All,10-19,636512.0,2020
01,Alabama,All,20-29,658610.0,2020
01,Alabama,All,30-39,608621.0,2020
01,Alabama,All,40-49,602688.0,2020
01,Alabama,All,50-59,648899.0,2020
01,Alabama,All,60-69,595362.0,2020
01,Alabama,All,70-79,363220.0,2020
01,Alabama,All,80+,190566.0,2020
01,Alabama,All,All,4893186.0,2020
01,Alabama,All,0-9,594251.0,2019
01,Alabama,All,10-19,632942.0,2019
01,Alabama,All,20-29,660802.0,2019
01,Alabama,All,30-39,605766.0,2019
01,Alabama,All,40-49,605502.0,2019
01,Alabama,All,50-59,656313.0,2019
01,Alabama,All,60-69,582830.0,2019
01,Alabama,All,70-79,354740.0,2019
01,Alabama,All,80+,183104.0,2019
01,Alabama,All,All,4876250.0,2019
01,Alabama,All,0-9,594299.0,2018
01,Alabama,All,10-19,636007.0,2018
01,Alabama,All,20-29,662638.0,2018
01,Alabama,All,30-39,602280.0,2018
01,Alabama,All,40-49,611847.0,2018
01,Alabama,All,50-59,664773.0,2018
01,Alabama,All,60-69,572103.0,2018
01,Alabama,All,70-79,341138.0,2018
01,Alabama,All,80+,179595.0,2018
01,Alabama,All,All,4864680.0,2018
01,Alabama,All,0-9,597446.0,2021
01,Alabama,All,10-19,659526.0,2021
01,Alabama,All,20-29,658335.0,2021
01,Alabama,All,30-39,625608.0,2021
01,Alabama,All,40-49,618703.0,2021
01,Alabama,All,50-59,657897.0,2021
01,Alabama,All,60-69,618646.0,2021
01,Alabama,All,70-79,377120.0,2021
01,Alabama,All,80+,184394.0,2021
01,Alabama,All,All,4997675.0,2021
01,Alabama,All,0-9,596101.0,2017
01,Alabama,All,10-19,637914.0,2017
01,Alabama,All,20-29,663069.0,2017
01,Alabama,All,30-39,603226.0,2017
01,Alabama,All,40-49,614927.0,2017
01,Alabama,All,50-59,669909.0,2017
01,Alabama,All,60-69,561293.0,2017
01,Alabama,All,70-79,327274.0,2017
01,Alabama,All,80+,177058.0,2017
01,Alabama,All,All,4850771.0,2017
01,Alabama,All,0-9,598478.0,2016
01,Alabama,All,10-19,638789.0,2016
01,Alabama,All,20-29,661666.0,2016
01,Alabama,All,30-39,603013.0,2016
01,Alabama,All,40-49,625599.0,2016
01,Alabama,All,50-59,673864.0,2016
01,Alabama,All,60-69,548376.0,2016
01,Alabama,All,70-79,316598.0,2016
01,Alabama,All,80+,174781.0,2016
01,Alabama,All,All,4841164.0,2016
01,Alabama,All,0-9,591060.0,2022
01,Alabama,All,10-19,667547.0,2022
01,Alabama,All,20-29,669190.0,2022
01,Alabama,All,30-39,627855.0,2022
01,Alabama,All,40-49,616003.0,2022
01,Alabama,All,50-59,649740.0,2022
01,Alabama,All,60-69,621766.0,2022
