state_fips,county_fips,county_name,sex,age,population
01,01001,"Autauga County, Alabama",All,0-9,6684.0
01,01001,"Autauga County, Alabama",All,10-19,8300.0
01,01001,"Autauga County, Alabama",All,20-29,7316.0
01,01001,"Autauga County, Alabama",All,30-39,7721.0
01,01001,"Autauga County, Alabama",All,40-49,7971.0
01,01001,"Autauga County, Alabama",All,50-59,8091.0
01,01001,"Autauga County, Alabama",All,60-69,6180.0
01,01001,"Autauga County, Alabama",All,70-79,4748.0
01,01001,"Autauga County, Alabama",All,80+,1750.0
01,01001,"Autauga County, Alabama",All,All,58761.0
01,01001,"Autauga County, Alabama",Female,0-9,3101.0
01,01001,"Autauga County, Alabama",Female,10-19,4327.0
01,01001,"Autauga County, Alabama",Female,20-29,3600.0
01,01001,"Autauga County, Alabama",Female,30-39,3666.0
01,01001,"Autauga County, Alabama",Female,40-49,4408.0
01,01001,"Autauga County, Alabama",Female,50-59,4077.0
01,01001,"Autauga County, Alabama",Female,60-69,3127.0
01,01001,"Autauga County, Alabama",Female,70-79,2680.0
01,01001,"Autauga County, Alabama",Female,80+,1112.0
01,01001,"Autauga County, Alabama",Female,All,30098.0
01,01001,"Autauga County, Alabama",Male,0-9,3583.0
01,01001,"Autauga County, Alabama",Male,10-19,3973.0
01,01001,"Autauga County, Alabama",Male,20-29,3716.0
01,01001,"Autauga County, Alabama",Male,30-39,4055.0
01,01001,"Autauga County, Alabama",Male,40-49,3563.0
01,01001,"Autauga County, Alabama",Male,50-59,4014.0
01,01001,"Autauga County, Alabama",Male,60-69,3053.0
01,01001,"Autauga County, Alabama",Male,70-79,2068.0
01,01001,"Autauga County, Alabama",Male,80+,638.0
01,01001,"Autauga County, Alabama",Male,All,28663.0
01,01003,"Baldwin County, Alabama",All,0-9,24269.0
01,01003,"Baldwin County, Alabama",All,10-19,30457.0
01,01003,"Baldwin County, Alabama",All,20-29,24159.0
01,01003,"Baldwin County, Alabama",All,30-39,28095.0
01,01003,"Baldwin County, Alabama",All,40-49,27999.0
01,01003,"Baldwin County, Alabama",All,50-59,31128.0
01,01003,"Baldwin County, Alabama",All,60-69,33087.0
01,01003,"Baldwin County, Alabama",All,70-79,24192.0
01,01003,"Baldwin County, Alabama",All,80+,10034.0
01,01003,"Baldwin County, Alabama",All,All,233420.0
01,01003,"Baldwin County, Alabama",Female,0-9,11967.0
01,01003,"Baldwin County, Alabama",Female,10-19,14723.0
01,01003,"Baldwin County, Alabama",Female,20-29,12079.0
01,01003,"Baldwin County, Alabama",Female,30-39,14063.0
01,01003,"Baldwin County, Alabama",Female,40-49,14401.0
01,01003,"Baldwin County, Alabama",Female,50-59,15952.0
01,01003,"Baldwin County, Alabama",Female,60-69,17777.0
01,01003,"Baldwin County, Alabama",Female,70-79,12640.0
01,01003,"Baldwin County, Alabama",Female,80+,5741.0
01,01003,"Baldwin County, Alabama",Female,All,119343.0
01,01003,"Baldwin County, Alabama",Male,0-9,12302.0
01,01003,"Baldwin County, Alabama",Male,10-19,15734.0
01,01003,"Baldwin County, Alabama",Male,20-29,12080.0
01,01003,"Baldwin County, Alabama",Male,30-39,14032.0
01,01003,"Baldwin County, Alabama",Male,40-49,13598.0
01,01003,"Baldwin County, Alabama",Male,50-59,15176.0
01,01003,"Baldwin County, Alabama",Male,60-69,15310.0
01,01003,"Baldwin County, Alabama",Male,70-79,11552.0
01,01003,"Baldwin County, Alabama",Male,80+,4293.0
01,01003,"Baldwin County, Alabama",Male,All,114077.0
01,01005,"Barbour County, Alabama",All,0-9,2915.0
01,01005,"Barbour County, Alabama",All,10-19,2793.0
01,01005,"Barbour County, Alabama",All,20-29,3184.0
01,01005,"Barbour County, Alabama",All,30-39,3349.0
01,01005,"Barbour County, Alabama",All,40-49,2907.0
01,01005,"Barbour County, Alabama",All,50-59,3137.0
01,01005,"Barbour County, Alabama",All,60-69,3240.0
01,01005,"Barbour County, Alabama",All,70-79,2414.0
01,01005,"Barbour County, Alabama",All,80+,938.0
01,01005,"Barbour County, Alabama",All,All,24877.0
01,01005,"Barbour County, Alabama",Female,0-9,1594.0
01,01005,"Barbour County, Alabama",Female,10-19,1221.0
01,01005,"Barbour County, Alabama",Female,20-29,1271.0
01,01005,"Barbour County, Alabama",Female,30-39,1518.0
01,01005,"Barbour County, Alabama",Female,40-49,1169.0
01,01005,"Barbour County, Alabama",Female,50-59,1518.0
01,01005,"Barbour County, Alabama",Female,60-69,1643.0
01,01005,"Barbour County, Alabama",Female,70-79,1340.0
01,01005,"Barbour County, Alabama",Female,80+,630.0
01,01005,"Barbour County, Alabama",Female,All,11904.0
01,01005,"Barbour County, Alabama",Male,0-9,1321.0
01,01005,"Barbour County, Alabama",Male,10-19,1572.0
01,01005,"Barbour County, Alabama",Male,20-29,1913.0
01,01005,"Barbour County, Alabama",Male,30-39,1831.0
01,01005,"Barbour County, Alabama",Male,40-49,1738.0
01,01005,"Barbour County, Alabama",Male,50-59,1619.0
01,01005,"Barbour County, Alabama",Male,60-69,1597.0
01,01005,"Barbour County, Alabama",Male,70-79,1074.0
01,01005,"Barbour County, Alabama",Male,80+,308.0
01,01005,"Barbour County, Alabama",Male,All,12973.0
01,01007,"Bibb County, Alabama",All,0-9,2595.0
01,01007,"Bibb County, Alabama",All,10-19,2610.0
01,01007,"Bibb County, Alabama",All,20-29,2810.0
01,01007,"Bibb County, Alabama",All,30-39,2976.0
01,01007,"Bibb County, Alabama",All,40-49,3282.0
01,01007,"Bibb County, Alabama",All,50-59,2774.0
01,01007,"Bibb County, Alabama",All,60-69,2768.0
01,01007,"Bibb County, Alabama",All,70-79,1720.0
01,01007,"Bibb County, Alabama",All,80+,716.0
01,01007,"Bibb County, Alabama",All,All,22251.0
01,01007,"Bibb County, Alabama",Female,0-9,1327.0
01,01007,"Bibb County, Alabama",Female,10-19,1171.0
01,01007,"Bibb County, Alabama",Female,20-29,1228.0
01,01007,"Bibb County, Alabama",Female,30-39,1289.0
01,01007,"Bibb County, Alabama",Female,40-49,1248.0
01,01007,"Bibb County, Alabama",Female,50-59,1274.0
01,01007,"Bibb County, Alabama",Female,60-69,1475.0
01,01007,"Bibb County, Alabama",Female,70-79,901.0
01,01007,"Bibb County, Alabama",Female,80+,441.0
01,01007,"Bibb County, Alabama",Female,All,10354.0
01,01007,"Bibb County, Alabama",Male,0-9,1268.0
01,01007,"Bibb County, Alabama",Male,10-19,1439.0
01,01007,"Bibb County, Alabama",Male,20-29,1582.0
01,01007,"Bibb County, Alabama",Male,30-39,1687.0
01,01007,"Bibb County, Alabama",Male,40-49,2034.0
01,01007,"Bibb County, Alabama",Male,50-59,1500.0
01,01007,"Bibb County, Alabama",Male,60-69,1293.0
01,01007,"Bibb County, Alabama",Male,70-79,819.0
01,01007,"Bibb County, Alabama",Male,80+,275.0
01,01007,"Bibb County, Alabama",Male,All,11897.0
01,01009,"Blount County, Alabama",All,0-9,6935.0
01,01009,"Blount County, Alabama",All,10-19,7840.0
01,01009,"Blount County, Alabama",All,20-29,7165.0
01,01009,"Blount County, Alabama",All,30-39,6875.0
01,01009,"Blount County, Alabama",All,40-49,7433.0
01,01009,"Blount County, Alabama",All,50-59,8033.0
01,01009,"Blount County, Alabama",All,60-69,7274.0
01,01009,"Blount County, Alabama",All,70-79,4927.0
01,01009,"Blount County, Alabama",All,80+,2595.0
01,01009,"Blount County, Alabama",All,All,59077.0
01,01009,"Blount County, Alabama",Female,0-9,3314.0
01,01009,"Blount County, Alabama",Female,10-19,3642.0
01,01009,"Blount County, Alabama",Female,20-29,3366.0
01,01009,"Blount County, Alabama",Female,30-39,3439.0
01,01009,"Blount County, Alabama",Female,40-49,3694.0
01,01009,"Blount County, Alabama",Female,50-59,3714.0
01,01009,"Blount County, Alabama",Female,60-69,3740.0
01,01009,"Blount County, Alabama",Female,70-79,2912.0
01,01009,"Blount County, Alabama",Female,80+,1392.0
01,01009,"Blount County, Alabama",Female,All,29213.0
01,01009,"Blount County, Alabama",Male,0-9,3621.0
01,01009,"Blount County, Alabama",Male,10-19,4198.0
01,01009,"Blount County, Alabama",Male,20-29,3799.0
01,01009,"Blount County, Alabama",Male,30-39,3436.0
01,01009,"Blount County, Alabama",Male,40-49,3739.0
01,01009,"Blount County, Alabama",Male,50-59,4319.0
01,01009,"Blount County, Alabama",Male,60-69,3534.0
01,01009,"Blount County, Alabama",Male,70-79,2015.0
01,01009,"Blount County, Alabama",Male,80+,1203.0
01,01009,"Blount County, Alabama",Male,All,29864.0
01,01011,"Bullock County, Alabama",All,0-9,1164.0
01,01011,"Bullock County, Alabama",All,10-19,1643.0
01,01011,"Bullock County, Alabama",All,20-29,1117.0
01,01011,"Bullock County, Alabama",All,30-39,1416.0
01,01011,"Bullock County, Alabama",All,40-49,1088.0
01,01011,"Bullock County, Alabama",All,50-59,1452.0
01,01011,"Bullock County, Alabama",All,60-69,1316.0
01,01011,"Bullock County, Alabama",All,70-79,785.0
01,01011,"Bullock County, Alabama",All,80+,347.0
01,01011,"Bullock County, Alabama",All,All,10328.0
01,01011,"Bullock County, Alabama",Female,0-9,617.0
01,01011,"Bullock County, Alabama",Female,10-19,705.0
01,01011,"Bullock County, Alabama",Female,20-29,586.0
01,01011,"Bullock County, Alabama",Female,30-39,700.0
