state_fips,state_name,sex,age,population,race_category_id,race_and_ethnicity
01,Alabama,All,0-4,291856.0,ALL,All
01,Alabama,All,10-14,326010.0,ALL,All
01,Alabama,All,15-17,193572.0,ALL,All
01,Alabama,All,18-19,147965.0,ALL,All
01,Alabama,All,20-20,78597.0,ALL,All
01,Alabama,All,21-21,71124.0,ALL,All
01,Alabama,All,22-24,191244.0,ALL,All
01,Alabama,All,25-29,328225.0,ALL,All
01,Alabama,All,30-34,320441.0,ALL,All
01,Alabama,All,35-39,307414.0,ALL,All
01,Alabama,All,40-44,308992.0,ALL,All
01,Alabama,All,45-49,307011.0,ALL,All
01,Alabama,All,5-9,299204.0,ALL,All
01,Alabama,All,50-54,317693.0,ALL,All
01,Alabama,All,55-59,332047.0,ALL,All
01,Alabama,All,60-61,137680.0,ALL,All
01,Alabama,All,62-64,197983.0,ALL,All
01,Alabama,All,65-66,120335.0,ALL,All
01,Alabama,All,67-69,165768.0,ALL,All
01,Alabama,All,70-74,233497.0,ALL,All
01,Alabama,All,75-79,159395.0,ALL,All
01,Alabama,All,80-84,104450.0,ALL,All
01,Alabama,All,85+,87589.0,ALL,All
01,Alabama,All,All,5028092.0,ALL,All
01,Alabama,Female,0-4,142382.0,ALL,All
01,Alabama,Female,10-14,160525.0,ALL,All
01,Alabama,Female,15-17,94666.0,ALL,All
01,Alabama,Female,18-19,74854.0,ALL,All
01,Alabama,Female,20-20,37355.0,ALL,All
01,Alabama,Female,21-21,35716.0,ALL,All
01,Alabama,Female,22-24,95876.0,ALL,All
01,Alabama,Female,25-29,163671.0,ALL,All
01,Alabama,Female,30-34,163924.0,ALL,All
01,Alabama,Female,35-39,157889.0,ALL,All
01,Alabama,Female,40-44,156701.0,ALL,All
01,Alabama,Female,45-49,156599.0,ALL,All
01,Alabama,Female,5-9,145466.0,ALL,All
01,Alabama,Female,50-54,161577.0,ALL,All
01,Alabama,Female,55-59,171010.0,ALL,All
01,Alabama,Female,60-61,72095.0,ALL,All
01,Alabama,Female,62-64,101922.0,ALL,All
01,Alabama,Female,65-66,62705.0,ALL,All
01,Alabama,Female,67-69,89928.0,ALL,All
01,Alabama,Female,70-74,125889.0,ALL,All
01,Alabama,Female,75-79,90268.0,ALL,All
01,Alabama,Female,80-84,61942.0,ALL,All
01,Alabama,Female,85+,59137.0,ALL,All
01,Alabama,Female,All,2582097.0,ALL,All
01,Alabama,Male,0-4,149474.0,ALL,All
01,Alabama,Male,10-14,165485.0,ALL,All
01,Alabama,Male,15-17,98906.0,ALL,All
01,Alabama,Male,18-19,73111.0,ALL,All
01,Alabama,Male,20-20,41242.0,ALL,All
01,Alabama,Male,21-21,35408.0,ALL,All
01,Alabama,Male,22-24,95368.0,ALL,All
01,Alabama,Male,25-29,164554.0,ALL,All
01,Alabama,Male,30-34,156517.0,ALL,All
01,Alabama,Male,35-39,149525.0,ALL,All
01,Alabama,Male,40-44,152291.0,ALL,All
01,Alabama,Male,45-49,150412.0,ALL,All
01,Alabama,Male,5-9,153738.0,ALL,All
01,Alabama,Male,50-54,156116.0,ALL,All
01,Alabama,Male,55-59,161037.0,ALL,All
01,Alabama,Male,60-61,65585.0,ALL,All
01,Alabama,Male,62-64,96061.0,ALL,All
01,Alabama,Male,65-66,57630.0,ALL,All
01,Alabama,Male,67-69,75840.0,ALL,All
01,Alabama,Male,70-74,107608.0,ALL,All
01,Alabama,Male,75-79,69127.0,ALL,All
01,Alabama,Male,80-84,42508.0,ALL,All
01,Alabama,Male,85+,28452.0,ALL,All
01,Alabama,Male,All,2445995.0,ALL,All
02,Alaska,All,0-4,48991.0,ALL,All
02,Alaska,All,10-14,49376.0,ALL,All
02,Alaska,All,15-17,28941.0,ALL,All
02,Alaska,All,18-19,18365.0,ALL,All
02,Alaska,All,20-20,10116.0,ALL,All
02,Alaska,All,21-21,10037.0,ALL,All
02,Alaska,All,22-24,31094.0,ALL,All
02,Alaska,All,25-29,57587.0,ALL,All
02,Alaska,All,30-34,57690.0,ALL,All
02,Alaska,All,35-39,52839.0,ALL,All
02,Alaska,All,40-44,46093.0,ALL,All
02,Alaska,All,45-49,42248.0,ALL,All
02,Alaska,All,5-9,52030.0,ALL,All
02,Alaska,All,50-54,43779.0,ALL,All
02,Alaska,All,55-59,45940.0,ALL,All
02,Alaska,All,60-61,19309.0,ALL,All
02,Alaska,All,62-64,26226.0,ALL,All
02,Alaska,All,65-66,17099.0,ALL,All
02,Alaska,All,67-69,21410.0,ALL,All
02,Alaska,All,70-74,24906.0,ALL,All
02,Alaska,All,75-79,14860.0,ALL,All
02,Alaska,All,80-84,9232.0,ALL,All
02,Alaska,All,85+,6653.0,ALL,All
02,Alaska,All,All,734821.0,ALL,All
02,Alaska,Female,0-4,23849.0,ALL,All
02,Alaska,Female,10-14,24177.0,ALL,All
02,Alaska,Female,15-17,14029.0,ALL,All
02,Alaska,Female,18-19,8202.0,ALL,All
02,Alaska,Female,20-20,4358.0,ALL,All
02,Alaska,Female,21-21,4047.0,ALL,All
02,Alaska,Female,22-24,13379.0,ALL,All
02,Alaska,Female,25-29,26002.0,ALL,All
02,Alaska,Female,30-34,27380.0,ALL,All
02,Alaska,Female,35-39,24792.0,ALL,All
