state_fips,state_name,population,population_pct,race_category_id,race_and_ethnicity
00,United States,3102524.0,0.9,AIAN,Indigenous
00,United States,23677141.0,7.0,AIAN_API,"American Indian, Alaska Native, Asian & Pacific Islander"
00,United States,1698456.0,0.5,AIAN_NH,Indigenous (NH)
00,United States,338156808.0,100.0,ALL,All
00,United States,20247816.0,6.0,API_NH,"Asian, Native Hawaiian, and Pacific Islander (NH)"
00,United States,19942944.0,5.9,ASIAN,Asian
00,United States,19681255.0,5.8,ASIAN_NH,Asian (NH)
00,United States,41110654.0,12.2,BLACK,Black or African American
00,United States,39899833.0,11.8,BLACK_NH,Black or African American (NH)
00,United States,67960243.0,20.1,HISP,Hispanic or Latino
00,United States,43497486.0,12.9,MULTI,Two or more races
00,United States,14243559.0,4.2,MULTI_NH,Two or more races (NH)
00,United States,68372750.0,20.2,MULTI_OR_OTHER_STANDARD,Two or more races & Unrepresented race
00,United States,16115966.0,4.8,MULTI_OR_OTHER_STANDARD_NH,Two or more races & Unrepresented race (NH)
00,United States,270196565.0,79.9,NH,Not Hispanic or Latino
00,United States,631673.0,0.2,NHPI,Native Hawaiian and Pacific Islander
00,United States,566561.0,0.2,NHPI_NH,Native Hawaiian and Pacific Islander (NH)
00,United States,24875264.0,7.4,OTHER_STANDARD,Unrepresented race
00,United States,1872407.0,0.6,OTHER_STANDARD_NH,Unrepresented race (NH)
00,United States,204996263.0,60.6,WHITE,White
00,United States,192234494.0,56.8,WHITE_NH,White (NH)
