state_fips,state_name,sex,population,population_pct
01,Alabama,All,5086768.0,100.0
02,Alaska,All,735706.0,100.0
04,Arizona,All,7378838.0,100.0
05,Arkansas,All,3049391.0,100.0
06,California,All,39287377.0,100.0
08,Colorado,All,5862189.0,100.0
09,Connecticut,All,3624508.0,100.0
10,Delaware,All,1021191.0,100.0
11,District of Columbia,All,681294.0,100.0
12,Florida,All,22416077.0,100.0
13,Georgia,All,10940407.0,100.0
15,Hawaii,All,1445235.0,100.0
16,Idaho,All,1934262.0,100.0
17,Illinois,All,12694798.0,100.0
18,Indiana,All,6851073.0,100.0
19,Iowa,All,3210507.0,100.0
20,Kansas,All,2947197.0,100.0
21,Kentucky,All,4534824.0,100.0
22,Louisiana,All,4611961.0,100.0
23,Maine,All,1387817.0,100.0
24,Maryland,All,6206011.0,100.0
25,Massachusetts,All,7044056.0,100.0
26,Michigan,All,10077761.0,100.0
27,Minnesota,All,5739445.0,100.0
28,Mississippi,All,2946779.0,100.0
29,Missouri,All,6191814.0,100.0
30,Montana,All,1116875.0,100.0
31,Nebraska,All,1978707.0,100.0
32,Nevada,All,3184612.0,100.0
33,New Hampshire,All,1394868.0,100.0
34,New Jersey,All,9343809.0,100.0
35,New Mexico,All,2120246.0,100.0
36,New York,All,19852366.0,100.0
37,North Carolina,All,10730404.0,100.0
38,North Dakota,All,784841.0,100.0
39,Ohio,All,11810293.0,100.0
40,Oklahoma,All,4028634.0,100.0
41,Oregon,All,4254293.0,100.0
42,Pennsylvania,All,13018639.0,100.0
44,Rhode Island,All,1101801.0,100.0
45,South Carolina,All,5296225.0,100.0
46,South Dakota,All,907428.0,100.0
47,Tennessee,All,7066383.0,100.0
48,Texas,All,30188424.0,100.0
49,Utah,All,3392331.0,100.0
50,Vermont,All,647106.0,100.0
51,Virginia,All,8705170.0,100.0
53,Washington,All,7816116.0,100.0
54,West Virginia,All,1778373.0,100.0
55,Wisconsin,All,5914872.0,100.0
56,Wyoming,All,582397.0,100.0
72,Puerto Rico,All,3234309.0,100.0
02,Alaska,Female,349326.0,47.5
38,North Dakota,Female,382719.0,48.8
56,Wyoming,Female,284836.0,48.9
46,South Dakota,Female,446735.0,49.2
08,Colorado,Female,2892789.0,49.3
30,Montana,Female,550959.0,49.3
49,Utah,Female,1673849.0,49.3
32,Nevada,Female,1580195.0,49.6
53,Washington,Female,3880642.0,49.6
16,Idaho,Female,961100.0,49.7
31,Nebraska,Female,984351.0,49.7
15,Hawaii,Female,719236.0,49.8
19,Iowa,Female,1600241.0,49.8
20,Kansas,Female,1468651.0,49.8
27,Minnesota,Female,2864058.0,49.9
55,Wisconsin,Female,2952490.0,49.9
04,Arizona,Female,3695365.0,50.1
06,California,Female,19664026.0,50.1
33,New Hampshire,Female,698371.0,50.1
41,Oregon,Female,2133094.0,50.1
48,Texas,Female,15122467.0,50.1
54,West Virginia,Female,890084.0,50.1
40,Oklahoma,Female,2023162.0,50.2
35,New Mexico,Female,1066611.0,50.3
18,Indiana,Female,3452807.0,50.4
26,Michigan,Female,5084042.0,50.4
50,Vermont,Female,325951.0,50.4
21,Kentucky,Female,2288055.0,50.5
05,Arkansas,Female,1544327.0,50.6
17,Illinois,Female,6422318.0,50.6
51,Virginia,Female,4404435.0,50.6
23,Maine,Female,703934.0,50.7
29,Missouri,Female,3139370.0,50.7
39,Ohio,Female,5985666.0,50.7
42,Pennsylvania,Female,6600139.0,50.7
34,New Jersey,Female,4745416.0,50.8
09,Connecticut,Female,1846239.0,50.9
12,Florida,Female,11399997.0,50.9
44,Rhode Island,Female,561164.0,50.9
47,Tennessee,Female,3598649.0,50.9
22,Louisiana,Female,2355388.0,51.1
25,Massachusetts,Female,3601725.0,51.1
37,North Carolina,Female,5485368.0,51.1
13,Georgia,Female,5603983.0,51.2
36,New York,Female,10157152.0,51.2
24,Maryland,Female,3186135.0,51.3
45,South Carolina,Female,2718500.0,51.3
01,Alabama,Female,2616836.0,51.4
28,Mississippi,Female,1517517.0,51.5
10,Delaware,Female,526539.0,51.6
11,District of Columbia,Female,357472.0,52.5
72,Puerto Rico,Female,1705040.0,52.7
72,Puerto Rico,Male,1529269.0,47.3
11,District of Columbia,Male,323822.0,47.5
10,Delaware,Male,494652.0,48.4
28,Mississippi,Male,1429262.0,48.5
01,Alabama,Male,2469932.0,48.6
24,Maryland,Male,3019876.0,48.7
45,South Carolina,Male,2577725.0,48.7
13,Georgia,Male,5336424.0,48.8
36,New York,Male,9695214.0,48.8
22,Louisiana,Male,2256573.0,48.9
25,Massachusetts,Male,3442331.0,48.9
37,North Carolina,Male,5245036.0,48.9
09,Connecticut,Male,1778269.0,49.1
12,Florida,Male,11016080.0,49.1
44,Rhode Island,Male,540637.0,49.1
47,Tennessee,Male,3467734.0,49.1
34,New Jersey,Male,4598393.0,49.2
23,Maine,Male,683883.0,49.3
29,Missouri,Male,3052444.0,49.3
39,Ohio,Male,5824627.0,49.3
42,Pennsylvania,Male,6418500.0,49.3
05,Arkansas,Male,1505064.0,49.4
17,Illinois,Male,6272480.0,49.4
51,Virginia,Male,4300735.0,49.4
21,Kentucky,Male,2246769.0,49.5
18,Indiana,Male,3398266.0,49.6
26,Michigan,Male,4993719.0,49.6
50,Vermont,Male,321155.0,49.6
35,New Mexico,Male,1053635.0,49.7
40,Oklahoma,Male,2005472.0,49.8
04,Arizona,Male,3683473.0,49.9
06,California,Male,19623351.0,49.9
33,New Hampshire,Male,696497.0,49.9
41,Oregon,Male,2121199.0,49.9
48,Texas,Male,15065957.0,49.9
54,West Virginia,Male,888289.0,49.9
27,Minnesota,Male,2875387.0,50.1
55,Wisconsin,Male,2962382.0,50.1
15,Hawaii,Male,725999.0,50.2
19,Iowa,Male,1610266.0,50.2
20,Kansas,Male,1478546.0,50.2
16,Idaho,Male,973162.0,50.3
31,Nebraska,Male,994356.0,50.3
32,Nevada,Male,1604417.0,50.4
53,Washington,Male,3935474.0,50.4
08,Colorado,Male,2969400.0,50.7
30,Montana,Male,565916.0,50.7
49,Utah,Male,1718482.0,50.7
46,South Dakota,Male,460693.0,50.8
56,Wyoming,Male,297561.0,51.1
38,North Dakota,Male,402122.0,51.2
02,Alaska,Male,386380.0,52.5
