state_fips,state_name,population,age,population_pct
60,American Samoa,55519.0,All,100.0
60,American Samoa,13146.0,0-9,23.7
60,American Samoa,12576.0,10-19,22.7
60,American Samoa,7215.0,20-29,13.0
60,American Samoa,7110.0,30-39,12.8
60,American Samoa,6989.0,40-49,12.6
60,American Samoa,4735.0,50-59,8.5
60,American Samoa,2438.0,60-69,4.4
60,American Samoa,993.0,70-79,1.8
60,American Samoa,317.0,80+,0.6
66,Guam,159358.0,All,100.0
66,Guam,28273.0,0-9,17.7
66,Guam,29453.0,10-19,18.5
66,Guam,23125.0,20-29,14.5
66,Guam,21750.0,30-39,13.6
66,Guam,22731.0,40-49,14.3
66,Guam,16918.0,50-59,10.6
66,Guam,10250.0,60-69,6.4
66,Guam,5014.0,70-79,3.1
66,Guam,1844.0,80+,1.2
69,Northern Mariana Islands,53883.0,All,100.0
69,Northern Mariana Islands,9440.0,0-9,17.5
69,Northern Mariana Islands,9171.0,10-19,17.0
69,Northern Mariana Islands,5697.0,20-29,10.6
69,Northern Mariana Islands,8955.0,30-39,16.6
69,Northern Mariana Islands,10775.0,40-49,20.0
69,Northern Mariana Islands,6735.0,50-59,12.5
69,Northern Mariana Islands,2243.0,60-69,4.2
69,Northern Mariana Islands,690.0,70-79,1.3
69,Northern Mariana Islands,177.0,80+,0.3
78,U.S. Virgin Islands,106405.0,All,100.0
78,U.S. Virgin Islands,14650.0,0-9,13.8
78,U.S. Virgin Islands,15047.0,10-19,14.1
78,U.S. Virgin Islands,11869.0,20-29,11.2
78,U.S. Virgin Islands,12813.0,30-39,12.0
78,U.S. Virgin Islands,15181.0,40-49,14.3
78,U.S. Virgin Islands,15086.0,50-59,14.2
78,U.S. Virgin Islands,13225.0,60-69,12.4
78,U.S. Virgin Islands,6043.0,70-79,5.7
78,U.S. Virgin Islands,2491.0,80+,2.3
