time_period,state_name,state_fips,sex,hiv_care,hiv_deaths,hiv_diagnoses,hiv_prep,hiv_prevalence,hiv_stigma_index,hiv_care_linkage,hiv_prep_coverage,hiv_deaths_per_100k,hiv_diagnoses_per_100k,hiv_prevalence_per_100k,hiv_care_pct_share,hiv_deaths_pct_share,hiv_diagnoses_pct_share,hiv_prep_pct_share,hiv_prevalence_pct_share,hiv_prep_population_pct,hiv_population_pct,hiv_care_population_pct,hiv_care_pct_relative_inequity,hiv_deaths_pct_relative_inequity,hiv_diagnoses_pct_relative_inequity,hiv_prep_pct_relative_inequity,hiv_prevalence_pct_relative_inequity,hiv_care_total_additional_gender,hiv_care_total_trans_men,hiv_care_total_trans_women,hiv_deaths_total_additional_gender,hiv_deaths_total_trans_men,hiv_deaths_total_trans_women,hiv_diagnoses_total_additional_gender,hiv_diagnoses_total_trans_men,hiv_diagnoses_total_trans_women,hiv_prevalence_total_additional_gender,hiv_prevalence_total_trans_men,hiv_prevalence_total_trans_women
2019,United States,00,Female,5110.0,3835,6939,21065.0,242496,37.3,80.2,9.3,2.7,4.9,171.9,18.6,23.6,19.0,7.7,23.3,18.7,51.1,18.9,-1.6,-53.8,-62.8,-58.8,-54.4,,,,,,,,,,,,
2019,United States,00,Male,22369.0,12395,29589,253974.0,798026,29.0,81.6,25.7,9.2,21.9,591.2,81.4,76.4,81.0,92.3,76.7,81.3,48.9,81.1,0.4,56.2,65.6,13.5,56.9,,,,,,,,,,,,
2018,United States,00,Female,5061.0,3989,7086,15806.0,238747,36.5,79.8,7.0,2.8,5.1,170.3,18.8,24.6,18.9,7.2,23.4,18.7,51.1,18.9,-0.5,-51.9,-63.0,-61.5,-54.2,,,,,,,,,,,,
2018,United States,00,Male,21797.0,12220,30331,204105.0,779554,29.7,80.3,20.6,9.1,22.6,581.3,81.2,75.4,81.1,92.8,76.6,81.3,48.9,81.1,0.1,54.2,65.8,14.1,56.6,,,,,,,,,,,,
2017,United States,00,Female,5059.0,3999,7275,11274.0,234953,,78.2,5.0,2.9,5.2,168.8,19.1,24.5,19.0,7.3,23.6,18.6,51.1,19.0,0.5,-52.1,-62.8,-60.8,-53.8,,,,,,,,,,,,
2017,United States,00,Male,21458.0,12351,31041,143689.0,760344,,77.7,14.5,9.3,23.3,570.9,80.9,75.5,81.0,92.7,76.4,81.4,48.9,81.0,-0.1,54.4,65.6,13.9,56.2,,,,,,,,,,,,
2016,United States,00,Female,,4027,7470,,230894,,,,2.9,5.4,167.1,,24.6,18.9,,23.8,,51.1,,,-51.9,-63.0,,-53.4,,,,,,,,,,,,
2016,United States,00,Male,,12344,31952,,740486,,,,9.3,24.2,560.5,,75.4,81.1,,76.2,,48.9,,,54.2,65.8,,55.8,,,,,,,,,,,,
2015,United States,00,Female,,3887,7362,,226800,,,,2.8,5.4,165.5,,24.6,18.5,,24.0,,51.1,,,-51.9,-63.8,,-53.0,,,,,,,,,,,,
2015,United States,00,Male,,11931,32356,,719969,,,,9.1,24.7,549.8,,75.4,81.5,,76.0,,48.9,,,54.2,66.7,,55.4,,,,,,,,,,,,
2014,United States,00,Female,,4180,7534,,222809,,,,3.1,5.5,163.9,,25.9,18.9,,24.2,,51.2,,,-49.4,-63.1,,-52.7,,,,,,,,,,,,
2014,United States,00,Male,,11948,32310,,698875,,,,9.2,24.9,538.4,,74.1,81.1,,75.8,,48.8,,,51.8,66.2,,55.3,,,,,,,,,,,,
2013,United States,00,Female,,4068,7586,,219003,,,,3.0,5.6,162.5,,25.6,19.4,,24.4,,51.2,,,-50.0,-62.1,,-52.3,,,,,,,,,,,,
2013,United States,00,Male,,11812,31510,,678016,,,,9.2,24.5,527.3,,74.4,80.6,,75.6,,48.8,,,52.5,65.2,,54.9,,,,,,,,,,,,
2012,United States,00,Female,,4202,8077,,215098,,,,3.1,6.0,161.0,,26.3,20.0,,24.6,,51.2,,,-48.6,-60.9,,-52.0,,,,,,,,,,,,
2012,United States,00,Male,,11778,32320,,657935,,,,9.2,25.4,516.4,,73.7,80.0,,75.4,,48.8,,,51.0,63.9,,54.5,,,,,,,,,,,,
2011,United States,00,Female,,4228,8672,,210834,,,,3.2,6.5,159.1,,26.0,21.1,,24.9,,51.2,,,-49.2,-58.8,,-51.4,,,,,,,,,,,,
2011,United States,00,Male,,12023,32436,,636944,,,,9.5,25.7,504.8,,74.0,78.9,,75.1,,48.8,,,51.6,61.7,,53.9,,,,,,,,,,,,
2010,United States,00,Female,,4366,9400,,205970,,,,3.3,7.2,156.8,,26.1,21.9,,25.1,,51.2,,,-49.0,-57.2,,-51.0,,,,,,,,,,,,
2010,United States,00,Male,,12335,33477,,616099,,,,9.9,26.8,492.7,,73.9,78.1,,74.9,,48.8,,,51.4,60.0,,53.5,,,,,,,,,,,,
2009,United States,00,Female,,4769,10123,,199683,,,,3.7,7.8,154.5,,26.6,22.7,,25.2,,51.0,,,-47.8,-55.5,,-50.6,,,,,,,,,,,,
2009,United States,00,Male,,13186,34412,,593409,,,,10.6,27.8,478.7,,73.4,77.3,,74.8,,49.0,,,49.8,57.8,,52.7,,,,,,,,,,,,
2008,United States,00,Female,,4953,11306,,193998,,,,3.9,8.8,151.3,,26.8,24.0,,25.3,,51.1,,,-47.6,-53.0,,-50.5,,,,,,,,,,,,
2008,United States,00,Male,,13512,35712,,571906,,,,11.0,29.1,465.8,,73.2,76.0,,74.7,,48.9,,,49.7,55.4,,52.8,,,,,,,,,,,,
2019,United States,00,All,27479.0,16230,36528,275182.0,1040522,30.7,81.3,22.6,5.9,13.2,376.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,15.0,40.0,484.0,2.0,5.0,145.0,32.0,45.0,692.0,292.0,489.0,11935.0
2018,United States,00,All,26858.0,16209,37417,220030.0,1018301,31.2,80.2,18.1,5.9,13.6,371.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,9.0,32.0,396.0,1.0,5.0,118.0,19.0,48.0,661.0,260.0,447.0,11345.0
2017,United States,00,All,26517.0,16350,38316,155062.0,995297,,77.8,12.7,6.0,14.1,365.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,12.0,27.0,375.0,3.0,5.0,108.0,18.0,32.0,651.0,239.0,400.0,10773.0
2016,United States,00,All,,16371,39422,,971380,,,,6.1,14.6,359.4,,100.0,100.0,,100.0,,100.0,,,0.0,0.0,,0.0,,,,1.0,2.0,120.0,21.0,23.0,702.0,218.0,374.0,10213.0
2015,United States,00,All,,15818,39718,,946769,,,,5.9,14.8,353.3,,100.0,100.0,,100.0,,100.0,,,0.0,0.0,,0.0,,,,1.0,5.0,107.0,18.0,34.0,635.0,196.0,351.0,9612.0
2014,United States,00,All,,16128,39844,,921684,,,,6.1,15.0,346.9,,100.0,100.0,,100.0,,100.0,,,0.0,0.0,,0.0,,,,0.0,3.0,88.0,13.0,30.0,594.0,179.0,320.0,9074.0
2013,United States,00,All,,15880,39096,,897019,,,,6.0,14.8,340.6,,100.0,100.0,,100.0,,100.0,,,0.0,0.0,,0.0,,,,0.0,3.0,85.0,7.0,17.0,605.0,164.0,291.0,8564.0
2012,United States,00,All,,15980,40397,,873033,,,,6.1,15.5,334.5,,100.0,100.0,,100.0,,100.0,,,0.0,0.0,,0.0,,,,1.0,2.0,80.0,15.0,14.0,612.0,157.0,278.0,8042.0
2011,United States,00,All,,16251,41108,,847778,,,,6.3,15.9,327.8,,100.0,100.0,,100.0,,100.0,,,0.0,0.0,,0.0,,,,2.0,1.0,75.0,9.0,18.0,593.0,144.0,265.0,7505.0
2010,United States,00,All,,16701,42877,,822069,,,,6.5,16.7,320.6,,100.0,100.0,,100.0,,100.0,,,0.0,0.0,,0.0,,,,4.0,0.0,45.0,12.0,11.0,571.0,136.0,247.0,6983.0
2009,United States,00,All,,17955,44535,,793092,,,,7.1,17.6,313.2,,100.0,100.0,,100.0,,100.0,,,0.0,0.0,,0.0,,,,2.0,3.0,58.0,10.0,15.0,549.0,127.0,234.0,6429.0
2008,United States,00,All,,18465,47018,,765904,,,,7.4,18.7,305.1,,100.0,100.0,,100.0,,100.0,,,0.0,0.0,,0.0,,,,2.0,1.0,56.0,11.0,24.0,534.0,118.0,221.0,5938.0
