Indicator,time_period,state_name,state_fips,age,race_category_id,sex,Transmission Category,hiv_diagnoses,hiv_diagnoses_per_100k,population
HIV diagnoses,2019,United States,00,All,ALL,Female,All transmission categories,"6,939",4.9,141074630
HIV diagnoses,2019,United States,00,All,ALL,Male,All transmission categories,"29,589",21.9,134988583
HIV diagnoses,2018,United States,00,All,ALL,Female,All transmission categories,"7,086",5.1,140176915
HIV diagnoses,2018,United States,00,All,ALL,Male,All transmission categories,"30,331",22.6,134107685
HIV diagnoses,2017,United States,00,All,ALL,Female,All transmission categories,"7,275",5.2,139222563
HIV diagnoses,2017,United States,00,All,ALL,Male,All transmission categories,"31,041",23.3,133173155
HIV diagnoses,2016,United States,00,All,ALL,Female,All transmission categories,"7,470",5.4,138154274
HIV diagnoses,2016,United States,00,All,ALL,Male,All transmission categories,"31,952",24.2,132106266
HIV diagnoses,2015,United States,00,All,ALL,Female,All transmission categories,"7,362",5.4,137019206
HIV diagnoses,2015,United States,00,All,ALL,Male,All transmission categories,"32,356",24.7,130955708
HIV diagnoses,2014,United States,00,All,ALL,Female,All transmission categories,"7,534",5.5,135915908
HIV diagnoses,2014,United States,00,All,ALL,Male,All transmission categories,"32,310",24.9,129794041
HIV diagnoses,2013,United States,00,All,ALL,Female,All transmission categories,"7,586",5.6,134746814
HIV diagnoses,2013,United States,00,All,ALL,Male,All transmission categories,"31,510",24.5,128593502
HIV diagnoses,2012,United States,00,All,ALL,Female,All transmission categories,"8,077",6.0,133620059
HIV diagnoses,2012,United States,00,All,ALL,Male,All transmission categories,"32,320",25.4,127402542
HIV diagnoses,2011,United States,00,All,ALL,Female,All transmission categories,"8,672",6.5,132481994
HIV diagnoses,2011,United States,00,All,ALL,Male,All transmission categories,"32,436",25.7,126180234
HIV diagnoses,2010,United States,00,All,ALL,Female,All transmission categories,"9,400",7.2,131356635
HIV diagnoses,2010,United States,00,All,ALL,Male,All transmission categories,"33,477",26.8,125033230
HIV diagnoses,2009,United States,00,All,ALL,Female,All transmission categories,"10,123",7.8,129285690
HIV diagnoses,2009,United States,00,All,ALL,Male,All transmission categories,"34,412",27.8,123967448
HIV diagnoses,2008,United States,00,All,ALL,Female,All transmission categories,"11,306",8.8,128222223
HIV diagnoses,2008,United States,00,All,ALL,Male,All transmission categories,"35,712",29.1,122787775
HIV diagnoses,2019,United States,00,All,ALL,All,All transmission categories,"36,528",13.2,276063213
HIV diagnoses,2018,United States,00,All,ALL,All,All transmission categories,"37,417",13.6,274284600
HIV diagnoses,2017,United States,00,All,ALL,All,All transmission categories,"38,316",14.1,272395718
HIV diagnoses,2016,United States,00,All,ALL,All,All transmission categories,"39,422",14.6,270260540
HIV diagnoses,2015,United States,00,All,ALL,All,All transmission categories,"39,718",14.8,267974914
HIV diagnoses,2014,United States,00,All,ALL,All,All transmission categories,"39,844",15.0,265709949
HIV diagnoses,2013,United States,00,All,ALL,All,All transmission categories,"39,096",14.8,263340316
HIV diagnoses,2012,United States,00,All,ALL,All,All transmission categories,"40,397",15.5,261022601
HIV diagnoses,2011,United States,00,All,ALL,All,All transmission categories,"41,108",15.9,258662228
HIV diagnoses,2010,United States,00,All,ALL,All,All transmission categories,"42,877",16.7,256389865
HIV diagnoses,2009,United States,00,All,ALL,All,All transmission categories,"44,535",17.6,253253138
HIV diagnoses,2008,United States,00,All,ALL,All,All transmission categories,"47,018",18.7,251009998
